date, close, open, high, low, volume
Sep 03, 1999, 59.18, 59.35, 59.97, 58.89, 12.40M
Sep 02, 1999, 59.02, 59.99, 60.13, 58.66, 18.80M
Sep 01, 1999, 60.81, 60.75, 61.52, 58.31, 34.35M
Aug 31, 1999, 60.35, 61.68, 61.68, 59.35, 18.37M
Aug 30, 1999, 61.71, 63.69, 64.11, 61.26, 18.90M
Aug 27, 1999, 63.44, 63.23, 64.30, 62.33, 28.53M
Aug 26, 1999, 62.98, 60.28, 64.07, 60.28, 44.21M
Aug 25, 1999, 59.32, 58.03, 60.98, 57.34, 58.74M
Aug 24, 1999, 56.46, 55.38, 57.15, 55.01, 36.21M
Aug 23, 1999, 55.10, 54.46, 55.77, 54.46, 16.18M
Aug 20, 1999, 54.16, 54.24, 54.51, 53.34, 13.45M
Aug 19, 1999, 54.56, 55.32, 56.79, 53.93, 35.97M
Aug 18, 1999, 55.03, 54.69, 58.11, 54.55, 25.06M
Aug 17, 1999, 53.90, 55.00, 55.01, 53.54, 19.03M
Aug 16, 1999, 54.90, 52.66, 55.51, 52.53, 34.96M
Aug 13, 1999, 51.60, 51.14, 52.81, 50.83, 31.73M
Aug 12, 1999, 51.11, 51.47, 52.30, 50.91, 14.52M
Aug 11, 1999, 51.62, 50.53, 52.51, 49.59, 23.24M
Aug 10, 1999, 51.35, 52.22, 52.22, 50.91, 17.81M
Aug 09, 1999, 52.19, 51.53, 52.67, 51.46, 27.70M
Aug 06, 1999, 51.45, 50.75, 52.05, 50.36, 24.69M
Aug 05, 1999, 50.85, 52.53, 52.68, 50.52, 20.31M
Aug 04, 1999, 52.79, 50.52, 53.32, 50.52, 50.79M
Aug 03, 1999, 49.36, 47.30, 49.96, 47.28, 34.16M
Aug 02, 1999, 47.71, 49.31, 49.74, 47.45, 17.40M
Jul 30, 1999, 50.22, 50.83, 50.98, 49.77, 14.42M
Jul 29, 1999, 51.14, 50.42, 51.90, 48.81, 52.99M
Jul 28, 1999, 50.47, 52.46, 52.46, 49.91, 21.32M
Jul 27, 1999, 51.28, 51.91, 52.38, 50.98, 20.89M
Jul 26, 1999, 52.57, 53.46, 53.58, 50.46, 39.28M
Jul 23, 1999, 53.28, 53.93, 54.08, 53.01, 12.39M
Jul 22, 1999, 53.77, 55.17, 56.02, 53.46, 20.61M
Jul 21, 1999, 54.99, 53.45, 56.10, 51.29, 35.38M
Jul 20, 1999, 53.11, 54.88, 54.88, 52.85, 22.88M
Jul 19, 1999, 54.97, 56.25, 56.55, 54.70, 14.52M
Jul 16, 1999, 55.41, 54.97, 56.10, 54.39, 19.33M
Jul 15, 1999, 54.92, 55.79, 57.72, 53.93, 38.12M
Jul 14, 1999, 55.58, 55.62, 56.20, 53.65, 38.11M
Jul 13, 1999, 55.06, 57.62, 57.94, 54.00, 50.73M
Jul 12, 1999, 56.85, 53.15, 56.85, 52.69, 76.35M
Jul 09, 1999, 52.63, 53.75, 54.05, 52.09, 41.11M
Jul 08, 1999, 53.66, 50.65, 54.06, 50.36, 84.50M
Jul 07, 1999, 50.22, 50.14, 51.20, 49.90, 51.71M
Jul 06, 1999, 49.63, 48.15, 49.88, 48.15, 51.55M
Jul 05, 1999, 47.97, 45.68, 48.22, 45.68, 50.02M
Jul 02, 1999, 45.28, 44.16, 45.68, 44.16, 31.80M
Jul 01, 1999, 44.03, 44.33, 44.47, 43.67, 18.72M
Jun 30, 1999, 44.36, 44.78, 44.78, 43.94, 10.07M
Jun 29, 1999, 44.70, 44.51, 44.92, 44.09, 12.42M
Jun 28, 1999, 44.60, 45.25, 45.40, 44.20, 13.23M
Jun 25, 1999, 44.87, 44.94, 45.85, 44.50, 33.63M
Jun 24, 1999, 44.86, 44.92, 45.47, 44.32, 28.46M
Jun 23, 1999, 44.78, 48.81, 48.81, 44.33, 86.62M
Jun 22, 1999, 46.53, 46.64, 48.17, 45.88, 26.98M
Jun 21, 1999, 46.63, 46.99, 47.26, 46.02, 14.86M
Jun 18, 1999, 46.06, 46.99, 47.56, 45.64, 19.31M
Jun 17, 1999, 46.67, 48.04, 48.15, 46.19, 28.74M
Jun 16, 1999, 47.46, 47.70, 48.78, 45.88, 46.75M
Jun 15, 1999, 46.55, 49.22, 50.01, 45.73, 46.54M
Jun 14, 1999, 47.94, 44.49, 48.48, 43.10, 50.25M
Jun 11, 1999, 44.89, 45.09, 45.23, 43.85, 40.28M
Jun 10, 1999, 44.93, 44.91, 45.68, 44.17, 31.88M
Jun 09, 1999, 44.35, 44.78, 45.70, 43.74, 37.26M
Jun 08, 1999, 43.34, 39.83, 43.34, 39.75, 37.85M
Jun 07, 1999, 40.13, 41.07, 41.41, 39.86, 16.55M
Jun 04, 1999, 40.88, 40.93, 42.06, 40.60, 44.86M
Jun 03, 1999, 40.51, 37.97, 40.51, 37.89, 49.33M
Jun 02, 1999, 37.50, 38.38, 38.38, 37.06, 15.26M
Jun 01, 1999, 38.74, 37.70, 39.21, 37.27, 21.44M
May 31, 1999, 38.00, 35.67, 38.00, 35.67, 16.42M
May 28, 1999, 35.18, 37.04, 37.65, 34.25, 21.76M
May 27, 1999, 36.66, 38.59, 39.47, 36.66, 16.14M
May 26, 1999, 38.69, 39.82, 39.97, 38.14, 20.65M
May 25, 1999, 39.38, 38.91, 40.24, 38.91, 22.15M
May 24, 1999, 39.35, 38.66, 40.27, 37.70, 27.66M
May 21, 1999, 38.62, 40.29, 40.41, 37.98, 21.22M
May 20, 1999, 39.98, 41.22, 42.00, 39.98, 21.59M
May 19, 1999, 41.11, 39.83, 42.91, 38.90, 60.08M
May 18, 1999, 39.83, 40.62, 41.79, 39.83, 28.88M
May 17, 1999, 40.91, 42.31, 42.92, 39.79, 33.96M
May 14, 1999, 43.25, 41.84, 44.32, 40.61, 67.37M
May 13, 1999, 41.93, 40.76, 41.93, 39.52, 42.38M
May 12, 1999, 38.82, 40.60, 41.07, 37.68, 34.51M
May 11, 1999, 39.90, 39.36, 41.28, 39.21, 36.85M
May 10, 1999, 38.85, 37.19, 38.86, 37.19, 28.46M
May 07, 1999, 36.74, 36.42, 38.57, 36.29, 37.02M
May 06, 1999, 36.15, 33.32, 36.15, 33.05, 38.85M
May 05, 1999, 33.46, 33.55, 34.78, 32.54, 27.60M
May 04, 1999, 34.01, 31.77, 34.08, 31.64, 19.36M
May 03, 1999, 31.61, 30.65, 32.22, 29.92, 22.17M
Apr 30, 1999, 30.37, 29.15, 30.79, 29.15, 13.14M
Apr 29, 1999, 29.43, 27.41, 29.45, 27.40, 16.83M
Apr 28, 1999, 27.27, 27.27, 27.43, 25.65, 10.42M
Apr 26, 1999, 27.69, 28.67, 28.98, 27.69, 5.50M
Apr 23, 1999, 30.09, 29.91, 30.81, 29.44, 8.69M
Apr 22, 1999, 29.79, 30.53, 31.41, 29.52, 8.08M
Apr 21, 1999, 30.76, 30.99, 31.38, 30.46, 5.42M
Apr 20, 1999, 30.53, 30.86, 31.58, 30.31, 8.40M
Apr 19, 1999, 30.78, 29.75, 31.61, 29.52, 9.11M
