date, close, open, high, low, volume
Apr 25, 1996, 35.36, 36.14, 36.73, 35.12, 206.40K
Apr 24, 1996, 36.14, 34.99, 36.23, 34.99, 76.40K
Apr 23, 1996, 34.16, 35.17, 35.17, 34.05, 82.00K
Apr 22, 1996, 35.30, 36.24, 36.66, 35.24, 130.80K
Apr 19, 1996, 36.24, 36.73, 36.73, 35.61, 52.80K
Apr 18, 1996, 36.73, 35.90, 37.48, 35.39, 134.40K
Apr 17, 1996, 35.90, 35.67, 35.99, 35.36, 60.80K
Apr 16, 1996, 35.67, 34.74, 35.74, 34.74, 150.40K
Apr 15, 1996, 34.52, 34.14, 34.84, 33.75, 70.80K
Apr 12, 1996, 34.14, 34.33, 34.33, 33.87, 21.60K
Apr 11, 1996, 34.38, 34.39, 34.39, 33.86, 22.40K
Apr 10, 1996, 34.66, 35.00, 35.00, 34.27, 31.60K
Apr 09, 1996, 35.80, 35.00, 36.05, 35.00, 78.80K
Apr 08, 1996, 34.94, 34.24, 35.61, 34.24, 60.00K
Apr 04, 1996, 34.19, 34.49, 34.49, 34.05, 32.00K
Apr 03, 1996, 35.06, 34.08, 35.49, 32.74, 108.40K
Apr 02, 1996, 34.08, 32.22, 34.42, 32.22, 108.40K
Apr 01, 1996, 31.99, 31.99, 31.99, 31.75, 6.00K
Mar 29, 1996, 32.05, 32.62, 32.99, 31.86, 11.20K
Mar 28, 1996, 32.62, 31.49, 33.11, 31.49, 47.20K
Mar 27, 1996, 31.49, 31.86, 32.49, 31.36, 51.60K
Mar 26, 1996, 31.86, 32.28, 32.28, 31.80, 5.20K
Mar 25, 1996, 32.52, 31.87, 33.86, 31.87, 20.00K
Mar 22, 1996, 31.62, 32.49, 32.49, 31.62, 5.60K
Mar 21, 1996, 32.86, 32.46, 34.99, 32.46, 46.00K
Mar 19, 1996, 32.39, 32.49, 33.05, 32.30, 14.40K
Mar 18, 1996, 32.49, 32.61, 32.74, 32.34, 8.40K
Mar 15, 1996, 33.49, 33.05, 33.49, 32.80, 16.80K
Mar 14, 1996, 33.05, 32.74, 33.47, 32.74, 9.60K
Mar 13, 1996, 32.61, 31.93, 32.61, 31.87, 16.40K
Mar 12, 1996, 31.93, 32.34, 32.36, 31.67, 33.60K
Mar 11, 1996, 32.34, 33.11, 33.11, 31.90, 16.00K
Mar 08, 1996, 34.17, 34.24, 34.24, 33.77, 15.60K
Mar 07, 1996, 34.29, 34.31, 35.60, 34.24, 16.40K
Mar 06, 1996, 34.31, 34.30, 35.02, 34.30, 14.00K
Mar 04, 1996, 34.02, 34.94, 34.99, 33.99, 28.80K
Mar 01, 1996, 34.94, 34.65, 35.20, 34.49, 51.60K
Feb 29, 1996, 34.65, 35.42, 35.42, 34.36, 76.40K
Feb 28, 1996, 35.86, 36.83, 36.86, 35.61, 23.60K
Feb 27, 1996, 36.83, 36.49, 36.98, 36.11, 42.80K
Feb 26, 1996, 36.49, 35.61, 36.73, 35.61, 68.80K
Feb 23, 1996, 35.32, 35.12, 35.58, 35.05, 39.20K
Feb 22, 1996, 35.12, 35.02, 35.49, 35.00, 34.40K
Feb 20, 1996, 35.02, 34.99, 35.37, 34.80, 72.40K
Feb 19, 1996, 34.99, 34.32, 35.11, 33.86, 62.40K
Feb 16, 1996, 34.32, 34.61, 34.61, 33.75, 55.20K
Feb 15, 1996, 34.98, 34.86, 35.24, 34.05, 69.20K
Feb 14, 1996, 34.86, 33.11, 35.36, 33.11, 460.00K
Feb 13, 1996, 32.34, 30.61, 32.49, 30.25, 90.80K
Feb 12, 1996, 30.94, 31.74, 32.74, 30.24, 38.40K
Feb 09, 1996, 31.52, 31.86, 31.99, 31.36, 61.20K
Feb 08, 1996, 31.49, 30.99, 31.99, 30.99, 42.80K
Feb 07, 1996, 30.45, 29.94, 30.96, 28.99, 67.60K
Feb 06, 1996, 29.94, 30.24, 30.24, 29.43, 68.80K
Feb 05, 1996, 30.24, 29.03, 30.30, 28.49, 507.60K
Feb 02, 1996, 29.03, 28.11, 29.18, 28.11, 32.40K
Feb 01, 1996, 29.33, 28.11, 29.36, 27.40, 445.20K
Jan 31, 1996, 28.11, 27.49, 28.11, 26.25, 100.80K
Jan 30, 1996, 28.11, 26.52, 28.11, 26.10, 249.20K
Jan 29, 1996, 26.52, 26.24, 26.61, 25.61, 4.00K
Jan 25, 1996, 26.24, 25.49, 26.24, 25.24, 122.80K
Jan 24, 1996, 25.49, 25.74, 25.86, 25.33, 6.80K
Jan 23, 1996, 25.90, 25.24, 26.30, 25.08, 52.00K
Jan 22, 1996, 25.24, 25.24, 25.36, 25.01, 24.80K
Jan 19, 1996, 25.24, 25.24, 25.36, 25.00, 20.80K
Jan 18, 1996, 25.61, 25.22, 25.61, 24.98, 250.80K
Jan 17, 1996, 25.22, 25.36, 25.36, 24.99, 6.40K
Jan 16, 1996, 25.36, 25.22, 25.49, 24.86, 7.20K
Jan 15, 1996, 25.22, 25.22, 25.24, 24.99, 4.80K
Jan 12, 1996, 25.22, 24.71, 25.36, 24.37, 24.80K
Jan 11, 1996, 24.71, 24.83, 24.86, 24.49, 3.60K
Jan 10, 1996, 24.83, 25.11, 25.11, 24.37, 14.80K
Jan 09, 1996, 24.42, 25.21, 25.36, 24.37, 25.60K
Jan 08, 1996, 25.21, 25.43, 25.43, 25.12, 8.80K
Jan 05, 1996, 25.62, 25.49, 25.74, 25.24, 15.20K
Jan 04, 1996, 25.49, 25.62, 25.74, 25.24, 8.80K
Jan 03, 1996, 25.62, 25.49, 26.24, 25.49, 17.60K
Jan 02, 1996, 40.17, 40.67, 40.67, 39.99, 15.60K
Jan 01, 1996, 40.75, 41.41, 41.42, 40.75, 3.60K
Dec 29, 1995, 41.86, 42.11, 42.11, 41.86, 5.20K
Dec 28, 1995, 42.14, 41.86, 42.23, 41.26, 2.40K
Dec 27, 1995, 41.59, 40.26, 41.61, 40.23, 6.40K
Dec 26, 1995, 40.83, 40.98, 40.98, 40.30, 10.40K
Dec 22, 1995, 40.98, 40.86, 41.61, 40.48, 10.40K
Dec 21, 1995, 40.62, 39.70, 41.23, 39.70, 11.60K
Dec 20, 1995, 40.82, 40.73, 41.48, 40.30, 21.20K
Dec 19, 1995, 25.44, 24.44, 25.49, 24.44, 161.33K
Dec 18, 1995, 24.47, 24.37, 24.55, 24.37, 14.67K
Dec 15, 1995, 24.37, 24.59, 24.59, 24.37, 8.00K
Dec 14, 1995, 24.96, 24.74, 24.96, 24.74, 16.00K
Dec 13, 1995, 24.51, 24.51, 24.89, 24.51, 12.67K
Dec 12, 1995, 24.30, 24.74, 24.74, 24.07, 14.67K
