date, close, open, high, low, volume
Feb 13, 1998, 26.69, 26.65, 26.77, 26.12, 729.60K
Feb 12, 1998, 26.63, 27.30, 27.35, 26.50, 664.00K
Feb 11, 1998, 27.08, 28.73, 28.86, 26.88, 1.17M
Feb 10, 1998, 28.27, 28.74, 28.85, 28.06, 454.00K
Feb 09, 1998, 28.89, 28.49, 29.24, 28.05, 447.20K
Feb 06, 1998, 28.45, 29.38, 29.43, 27.86, 647.20K
Feb 05, 1998, 29.26, 29.33, 29.51, 29.05, 143.60K
Feb 04, 1998, 29.04, 29.87, 30.30, 28.13, 632.00K
Feb 03, 1998, 29.37, 31.11, 31.24, 29.05, 695.60K
Feb 02, 1998, 30.95, 31.39, 31.49, 30.51, 397.60K
Jan 30, 1998, 31.22, 30.83, 31.61, 30.67, 756.40K
Jan 29, 1998, 30.42, 29.43, 30.74, 29.25, 887.20K
Jan 28, 1998, 29.36, 30.46, 30.95, 28.63, 1.60M
Jan 27, 1998, 30.79, 33.24, 33.30, 30.24, 493.20K
Jan 23, 1998, 33.37, 33.30, 33.67, 33.16, 174.80K
Jan 22, 1998, 33.57, 34.36, 34.67, 33.42, 471.60K
Jan 21, 1998, 34.81, 35.35, 35.35, 34.61, 299.60K
Jan 20, 1998, 34.72, 35.36, 35.61, 34.41, 392.00K
Jan 19, 1998, 35.07, 33.74, 35.24, 33.74, 401.20K
Jan 16, 1998, 34.52, 36.10, 36.11, 34.20, 929.60K
Jan 15, 1998, 35.88, 37.98, 38.20, 35.15, 499.20K
Jan 14, 1998, 38.41, 38.98, 39.23, 38.08, 355.60K
Jan 13, 1998, 38.75, 38.48, 38.92, 38.11, 155.60K
Jan 12, 1998, 38.10, 38.46, 38.48, 37.18, 158.80K
Jan 09, 1998, 38.74, 39.61, 39.67, 38.11, 222.00K
Jan 08, 1998, 39.96, 39.90, 40.17, 38.98, 143.20K
Jan 07, 1998, 40.34, 40.23, 41.11, 39.98, 94.80K
Jan 06, 1998, 39.88, 40.48, 40.86, 39.40, 203.20K
Jan 05, 1998, 40.71, 41.11, 41.33, 40.61, 241.60K
Jan 02, 1998, 40.56, 40.98, 41.05, 40.42, 150.00K
Jan 01, 1998, 40.42, 40.23, 41.11, 40.23, 136.80K
Dec 31, 1997, 41.07, 40.11, 41.48, 40.11, 503.60K
Dec 30, 1997, 39.85, 39.98, 40.61, 39.37, 401.60K
Dec 29, 1997, 39.84, 39.21, 39.98, 38.86, 381.60K
Dec 26, 1997, 38.98, 39.08, 39.35, 38.74, 249.60K
Dec 24, 1997, 38.69, 38.11, 38.98, 38.02, 474.80K
Dec 23, 1997, 38.62, 38.10, 39.58, 37.87, 690.00K
Dec 22, 1997, 37.92, 38.22, 38.36, 37.47, 294.80K
Dec 19, 1997, 37.94, 37.23, 38.11, 37.05, 421.60K
Dec 18, 1997, 37.99, 37.32, 38.33, 36.99, 936.00K
Dec 17, 1997, 36.70, 36.80, 37.35, 35.92, 468.80K
Dec 16, 1997, 35.62, 34.86, 35.99, 34.52, 290.00K
Dec 15, 1997, 34.96, 36.36, 36.60, 34.49, 309.60K
Dec 12, 1997, 36.35, 37.62, 38.25, 36.11, 405.60K
Dec 11, 1997, 37.87, 40.23, 40.23, 36.49, 1.46M
Dec 10, 1997, 40.48, 39.48, 40.92, 39.39, 66.40K
Dec 09, 1997, 39.86, 39.48, 39.97, 39.36, 228.80K
Dec 08, 1997, 39.41, 39.50, 39.97, 39.32, 387.20K
Dec 05, 1997, 39.85, 40.48, 40.48, 39.36, 276.80K
Dec 04, 1997, 40.55, 40.61, 41.08, 40.55, 110.00K
Dec 03, 1997, 41.67, 41.65, 42.29, 41.23, 200.40K
Dec 02, 1997, 41.50, 42.23, 42.35, 41.23, 94.40K
Dec 01, 1997, 42.28, 41.50, 42.39, 41.28, 172.00K
Nov 28, 1997, 42.11, 41.99, 42.73, 41.86, 62.80K
Nov 27, 1997, 42.53, 41.11, 42.73, 41.11, 32.40K
Nov 26, 1997, 42.00, 42.98, 43.11, 41.98, 121.60K
Nov 25, 1997, 43.48, 41.23, 43.73, 41.05, 92.40K
Nov 24, 1997, 41.45, 41.42, 41.73, 40.92, 108.40K
Nov 21, 1997, 41.86, 39.52, 42.48, 39.48, 233.20K
Nov 20, 1997, 40.14, 40.63, 41.11, 39.36, 298.40K
Nov 19, 1997, 41.40, 41.23, 42.11, 40.42, 540.00K
Nov 18, 1997, 43.28, 44.36, 44.97, 41.87, 252.00K
Nov 17, 1997, 44.43, 44.98, 45.29, 44.11, 81.20K
Nov 13, 1997, 44.37, 44.08, 44.84, 43.61, 396.40K
Nov 12, 1997, 44.46, 43.54, 44.84, 43.54, 48.40K
Nov 11, 1997, 44.36, 44.73, 44.73, 43.93, 80.40K
Nov 10, 1997, 44.39, 43.68, 44.72, 43.61, 73.20K
Nov 07, 1997, 43.99, 44.11, 44.17, 43.64, 39.60K
Nov 06, 1997, 43.88, 43.34, 43.98, 43.33, 125.60K
Nov 05, 1997, 44.36, 45.29, 45.29, 44.11, 44.00K
Nov 04, 1997, 44.78, 45.11, 45.58, 44.55, 80.80K
Nov 03, 1997, 44.98, 45.11, 45.17, 44.11, 72.00K
Oct 30, 1997, 45.44, 44.36, 45.61, 44.36, 514.00K
Oct 29, 1997, 45.46, 44.98, 45.86, 44.76, 734.80K
Oct 28, 1997, 43.36, 45.23, 45.98, 41.61, 1.31M
Oct 27, 1997, 46.23, 45.61, 46.57, 44.86, 224.40K
Oct 24, 1997, 45.74, 44.48, 45.92, 44.36, 786.80K
Oct 23, 1997, 44.86, 46.92, 46.98, 43.73, 290.40K
Oct 22, 1997, 46.90, 46.67, 47.20, 46.61, 651.60K
Oct 21, 1997, 46.21, 46.98, 46.98, 45.86, 209.60K
Oct 20, 1997, 46.92, 47.47, 47.72, 46.86, 59.20K
Oct 17, 1997, 47.53, 48.29, 48.51, 46.61, 190.00K
Oct 16, 1997, 47.99, 48.23, 48.73, 47.92, 134.00K
Oct 15, 1997, 47.68, 46.73, 47.99, 46.72, 66.00K
Oct 14, 1997, 46.71, 47.96, 48.36, 45.61, 188.80K
Oct 13, 1997, 47.96, 49.98, 49.98, 47.96, 83.20K
Oct 10, 1997, 48.32, 48.61, 48.61, 47.73, 175.60K
Oct 09, 1997, 47.73, 48.11, 48.11, 47.54, 88.40K
Oct 01, 1997, 48.79, 48.73, 48.86, 48.23, 34.00K
Sep 30, 1997, 51.32, 50.73, 52.98, 47.87, 171.60K
Sep 29, 1997, 49.70, 51.54, 51.73, 49.60, 69.60K
Sep 26, 1997, 51.24, 50.84, 52.48, 50.84, 335.20K
Sep 25, 1997, 50.23, 49.48, 50.60, 49.48, 112.00K
Sep 24, 1997, 49.60, 50.10, 50.29, 49.35, 30.00K
Sep 23, 1997, 50.14, 48.48, 50.85, 48.39, 84.00K
Sep 22, 1997, 48.48, 48.79, 48.98, 48.23, 43.60K
Sep 19, 1997, 49.35, 49.01, 49.42, 48.73, 33.60K
Sep 18, 1997, 49.30, 51.10, 51.10, 49.04, 83.60K
Sep 17, 1997, 51.34, 51.23, 51.85, 51.14, 24.00K
Sep 16, 1997, 51.56, 51.54, 52.45, 50.73, 146.00K
Sep 15, 1997, 51.76, 52.10, 52.10, 51.60, 220.00K
Sep 12, 1997, 51.96, 51.85, 52.35, 51.49, 112.40K
Sep 11, 1997, 52.35, 52.60, 53.34, 52.15, 310.80K
Sep 10, 1997, 52.21, 49.73, 53.23, 49.73, 464.80K
Sep 09, 1997, 50.80, 49.79, 51.22, 49.23, 454.00K
Sep 08, 1997, 48.85, 47.48, 49.34, 47.48, 730.00K
Sep 05, 1997, 47.47, 46.24, 47.73, 45.86, 1.22M
Sep 04, 1997, 45.98, 47.46, 47.46, 45.64, 170.40K
Sep 03, 1997, 46.86, 46.98, 49.22, 46.24, 412.80K
Sep 02, 1997, 46.97, 50.10, 50.48, 46.80, 284.00K
Sep 01, 1997, 50.27, 51.23, 51.23, 50.10, 24.80K
Aug 29, 1997, 49.99, 51.85, 51.85, 49.37, 284.80K
Aug 28, 1997, 52.23, 53.73, 53.73, 51.85, 110.00K
Aug 27, 1997, 54.17, 53.60, 54.85, 53.60, 171.20K
Aug 26, 1997, 53.05, 53.26, 53.73, 52.52, 289.20K
Aug 25, 1997, 52.61, 52.85, 54.60, 51.35, 230.00K
Aug 22, 1997, 54.67, 56.23, 56.23, 54.48, 186.80K
Aug 21, 1997, 56.03, 56.73, 56.73, 55.98, 56.80K
Aug 20, 1997, 56.95, 56.48, 57.19, 56.04, 66.00K
Aug 19, 1997, 56.79, 57.73, 58.09, 56.04, 157.20K
Aug 18, 1997, 57.61, 59.10, 59.73, 57.48, 475.20K
Aug 14, 1997, 58.61, 60.35, 60.35, 57.98, 187.60K
Aug 13, 1997, 60.12, 61.04, 61.04, 59.98, 493.60K
Aug 12, 1997, 61.28, 61.04, 61.84, 60.79, 539.20K
Aug 11, 1997, 60.89, 60.48, 61.35, 60.48, 918.40K
Aug 08, 1997, 60.07, 59.85, 60.35, 59.23, 645.60K
Aug 07, 1997, 59.94, 58.73, 61.47, 58.73, 1.24M
Aug 06, 1997, 59.89, 58.73, 60.60, 58.73, 103.60K
Aug 05, 1997, 58.17, 56.73, 58.79, 56.73, 485.60K
Aug 04, 1997, 55.68, 54.98, 56.35, 54.29, 131.60K
Aug 01, 1997, 54.85, 56.48, 56.48, 54.73, 40.00K
Jul 31, 1997, 55.26, 55.08, 55.59, 54.85, 88.40K
Jul 30, 1997, 54.61, 54.35, 55.10, 54.35, 69.60K
Jul 29, 1997, 54.60, 55.48, 55.60, 54.23, 296.80K
Jul 28, 1997, 54.87, 56.91, 56.91, 54.67, 284.00K
Jul 25, 1997, 57.14, 57.79, 57.98, 56.88, 293.20K
Jul 24, 1997, 57.74, 58.85, 59.29, 57.60, 273.60K
Jul 23, 1997, 58.69, 57.23, 59.34, 57.23, 746.00K
Jul 22, 1997, 57.82, 58.35, 58.57, 57.48, 434.40K
Jul 21, 1997, 58.28, 58.73, 58.76, 57.23, 732.80K
Jul 17, 1997, 54.92, 54.23, 55.10, 54.13, 248.00K
Jul 16, 1997, 54.84, 56.60, 56.60, 54.48, 288.40K
Jul 15, 1997, 55.66, 53.73, 56.23, 53.73, 1.42M
Jul 14, 1997, 54.67, 55.10, 56.04, 54.37, 1.11M
Jul 11, 1997, 55.30, 55.61, 55.98, 55.12, 500.80K
Jul 10, 1997, 56.21, 56.23, 56.83, 55.83, 1.52M
Jul 09, 1997, 55.88, 54.97, 56.21, 54.97, 1.61M
Jul 08, 1997, 54.83, 54.54, 55.10, 54.38, 1.15M
Jul 07, 1997, 54.47, 54.58, 55.16, 54.29, 303.60K
Jul 04, 1997, 54.38, 54.58, 54.58, 54.06, 322.00K
Jul 03, 1997, 54.36, 54.29, 54.85, 54.24, 316.00K
Jul 02, 1997, 54.70, 55.23, 55.48, 54.60, 610.40K
Jul 01, 1997, 55.15, 54.85, 55.29, 54.42, 840.80K
Jun 30, 1997, 54.55, 53.99, 55.13, 53.98, 876.40K
Jun 27, 1997, 54.19, 54.48, 54.73, 53.97, 636.80K
Jun 26, 1997, 54.60, 55.10, 55.23, 54.38, 3.19M
Jun 25, 1997, 54.90, 56.80, 57.22, 54.73, 2.09M
Jun 24, 1997, 55.45, 52.04, 55.60, 51.73, 3.49M
