date, close, open, high, low, volume
Sep 03, 1999, 50.65, 50.85, 51.82, 50.24, 461.82K
Sep 02, 1999, 51.33, 52.10, 52.40, 50.98, 507.01K
Sep 01, 1999, 52.58, 53.07, 54.32, 51.85, 1.68M
Aug 31, 1999, 51.17, 50.48, 52.44, 49.39, 1.33M
Aug 30, 1999, 50.36, 50.60, 51.84, 49.98, 290.41K
Aug 27, 1999, 51.40, 52.23, 52.97, 51.02, 536.44K
Aug 26, 1999, 51.70, 52.48, 52.60, 51.48, 589.29K
Aug 25, 1999, 51.68, 53.73, 53.73, 49.99, 949.21K
Aug 24, 1999, 52.08, 53.48, 53.98, 50.62, 1.02M
Aug 23, 1999, 53.28, 55.73, 55.73, 52.63, 871.56K
Aug 20, 1999, 55.30, 53.60, 58.10, 51.85, 2.05M
Aug 19, 1999, 54.02, 56.23, 56.60, 53.73, 1.25M
Aug 18, 1999, 54.77, 51.85, 54.77, 51.85, 2.25M
Aug 17, 1999, 50.71, 50.60, 51.23, 49.10, 823.73K
Aug 16, 1999, 50.10, 50.23, 51.23, 49.42, 1.27M
Aug 13, 1999, 48.76, 50.48, 50.48, 48.37, 635.89K
Aug 12, 1999, 50.00, 50.45, 50.98, 49.74, 344.03K
Aug 11, 1999, 50.04, 48.23, 51.23, 48.11, 831.20K
Aug 10, 1999, 50.32, 51.60, 51.65, 49.98, 1.67M
Aug 09, 1999, 52.21, 52.35, 53.09, 51.85, 1.95M
Aug 06, 1999, 51.50, 52.73, 53.46, 51.23, 1.77M
Aug 05, 1999, 53.22, 52.98, 54.60, 51.42, 4.56M
Aug 04, 1999, 51.18, 49.31, 51.18, 48.86, 3.82M
Aug 03, 1999, 47.39, 45.65, 48.36, 45.12, 3.62M
Aug 02, 1999, 46.08, 47.36, 47.84, 45.73, 773.77K
Jul 30, 1999, 47.59, 46.97, 48.42, 45.98, 2.56M
Jul 29, 1999, 46.79, 44.78, 47.21, 42.98, 5.33M
Jul 28, 1999, 43.94, 46.19, 46.72, 43.73, 965.98K
Jul 27, 1999, 45.57, 44.98, 47.15, 43.36, 1.84M
Jul 26, 1999, 44.53, 41.61, 45.00, 41.37, 2.08M
Jul 23, 1999, 41.66, 42.72, 43.86, 41.48, 772.70K
Jul 22, 1999, 41.70, 41.35, 43.08, 41.23, 798.90K
Jul 21, 1999, 40.76, 38.10, 41.23, 38.10, 1.20M
Jul 20, 1999, 38.30, 40.48, 40.48, 38.02, 859.58K
Jul 19, 1999, 39.61, 41.55, 41.86, 39.25, 355.24K
Jul 16, 1999, 41.45, 42.01, 42.36, 40.73, 837.42K
Jul 15, 1999, 42.18, 43.92, 43.92, 41.64, 774.34K
Jul 14, 1999, 42.69, 44.98, 46.86, 41.23, 832.19K
Jul 13, 1999, 44.48, 43.98, 46.30, 43.38, 1.95M
Jul 12, 1999, 42.91, 42.25, 44.56, 41.87, 4.71M
Jul 09, 1999, 41.26, 39.35, 42.25, 39.35, 2.89M
Jul 08, 1999, 39.12, 37.48, 39.30, 37.35, 3.41M
Jul 07, 1999, 36.39, 34.36, 36.39, 34.36, 2.23M
Jul 06, 1999, 33.69, 33.49, 34.99, 33.25, 1.28M
Jul 05, 1999, 33.46, 33.49, 33.97, 32.93, 903.38K
Jul 02, 1999, 32.24, 31.67, 33.05, 31.67, 1.32M
Jul 01, 1999, 31.59, 31.61, 32.24, 31.37, 773.01K
Jun 30, 1999, 31.52, 32.14, 32.14, 29.75, 468.71K
Jun 29, 1999, 31.74, 32.24, 32.46, 31.61, 592.75K
Jun 28, 1999, 32.14, 32.42, 32.99, 31.97, 417.91K
Jun 25, 1999, 32.38, 32.35, 33.30, 31.62, 2.16M
Jun 24, 1999, 32.41, 32.99, 33.47, 32.24, 551.78K
Jun 23, 1999, 33.12, 34.67, 34.67, 32.87, 461.98K
Jun 22, 1999, 34.22, 34.49, 35.24, 33.77, 2.28M
Jun 21, 1999, 34.19, 33.90, 34.86, 33.90, 973.05K
Jun 18, 1999, 34.19, 35.36, 35.84, 33.95, 1.87M
Jun 17, 1999, 35.07, 34.61, 35.61, 33.99, 2.95M
Jun 16, 1999, 33.92, 32.47, 34.22, 31.93, 4.33M
Jun 15, 1999, 31.69, 32.24, 34.11, 31.25, 1.74M
Jun 14, 1999, 31.81, 30.11, 32.10, 28.75, 1.71M
Jun 11, 1999, 30.75, 31.74, 31.78, 30.36, 891.02K
Jun 10, 1999, 31.64, 30.49, 32.52, 30.01, 1.47M
Jun 09, 1999, 30.11, 28.74, 30.77, 28.49, 1.36M
Jun 08, 1999, 28.49, 28.08, 29.36, 27.91, 1.49M
Jun 07, 1999, 28.61, 29.48, 30.16, 28.52, 468.78K
Jun 04, 1999, 29.36, 29.36, 30.26, 29.36, 2.35M
Jun 03, 1999, 28.02, 27.49, 28.99, 27.31, 924.78K
Jun 02, 1999, 27.30, 26.49, 27.48, 26.13, 940.98K
Jun 01, 1999, 26.36, 27.11, 27.24, 25.48, 2.18M
May 31, 1999, 27.69, 26.85, 28.18, 26.49, 1.75M
May 28, 1999, 26.23, 25.03, 26.49, 24.61, 1.40M
May 27, 1999, 26.16, 28.59, 28.86, 26.16, 545.80K
May 26, 1999, 28.43, 29.80, 30.05, 27.86, 770.96K
