date, close, open, high, low, volume
Apr 13, 2009, 822.80, 815.25, 839.00, 811.00, 922.17K
Apr 09, 2009, 809.10, 820.00, 829.50, 798.30, 995.20K
Apr 08, 2009, 817.30, 785.00, 820.00, 770.05, 1.22M
Apr 06, 2009, 799.10, 797.65, 804.00, 785.05, 1.08M
Apr 02, 2009, 794.55, 801.65, 831.40, 780.00, 1.54M
Apr 01, 2009, 792.50, 780.00, 799.00, 765.05, 1.23M
Mar 31, 2009, 779.85, 761.00, 788.85, 751.50, 1.99M
Mar 30, 2009, 758.20, 760.00, 769.35, 732.35, 1.09M
Mar 27, 2009, 768.50, 770.00, 774.65, 751.20, 997.42K
Mar 26, 2009, 770.15, 745.00, 799.00, 734.20, 2.06M
Mar 25, 2009, 733.90, 733.00, 753.80, 723.25, 1.36M
Mar 24, 2009, 734.05, 738.00, 756.00, 717.65, 3.06M
Mar 23, 2009, 733.10, 719.00, 737.70, 717.10, 523.61K
Mar 20, 2009, 710.95, 735.00, 735.00, 708.25, 608.12K
Mar 19, 2009, 730.90, 721.00, 744.00, 716.00, 1.33M
Mar 18, 2009, 717.60, 715.15, 728.00, 709.00, 1.99M
Mar 17, 2009, 709.75, 708.70, 715.00, 692.00, 1.89M
Mar 16, 2009, 698.75, 712.85, 715.95, 688.35, 1.59M
Mar 13, 2009, 713.15, 697.00, 719.50, 688.35, 1.98M
Mar 12, 2009, 689.75, 669.95, 697.30, 652.05, 1.84M
Mar 09, 2009, 651.90, 674.80, 677.30, 640.40, 811.57K
Mar 06, 2009, 649.65, 679.00, 679.00, 643.30, 1.70M
Mar 05, 2009, 668.25, 699.80, 699.80, 663.60, 957.09K
Mar 04, 2009, 683.30, 675.00, 688.90, 666.90, 1.17M
Mar 03, 2009, 671.25, 659.00, 687.60, 659.00, 1.58M
Mar 02, 2009, 674.60, 698.70, 698.70, 657.10, 1.93M
Feb 27, 2009, 677.30, 690.00, 690.00, 659.05, 2.10M
Feb 26, 2009, 690.75, 632.40, 709.40, 632.40, 2.26M
Feb 25, 2009, 663.90, 647.40, 669.40, 644.00, 2.08M
Feb 24, 2009, 641.20, 617.00, 647.85, 614.00, 1.30M
Feb 20, 2009, 629.50, 617.00, 635.90, 615.15, 1.14M
Feb 19, 2009, 631.80, 618.00, 637.40, 618.00, 1.08M
Feb 18, 2009, 616.90, 604.00, 624.00, 593.00, 662.74K
Feb 17, 2009, 602.60, 617.30, 617.30, 595.60, 939.12K
Feb 16, 2009, 622.10, 625.00, 641.00, 609.00, 1.57M
Feb 13, 2009, 628.80, 616.30, 637.40, 616.30, 748.94K
Feb 12, 2009, 613.85, 625.00, 628.00, 607.40, 990.87K
Feb 11, 2009, 632.30, 600.00, 634.00, 597.00, 1.44M
Feb 10, 2009, 608.40, 590.00, 615.90, 589.30, 902.01K
Feb 09, 2009, 595.20, 597.50, 598.90, 574.10, 543.32K
Feb 06, 2009, 577.70, 579.00, 586.70, 572.00, 688.41K
Feb 05, 2009, 577.05, 585.60, 603.90, 571.40, 1.41M
Feb 04, 2009, 602.00, 587.50, 606.80, 585.50, 1.54M
Feb 03, 2009, 583.75, 570.00, 594.25, 570.00, 1.03M
Feb 02, 2009, 567.00, 561.00, 588.80, 555.00, 1.26M
Jan 30, 2009, 568.30, 535.00, 578.90, 531.00, 1.71M
Jan 29, 2009, 544.45, 526.20, 555.00, 521.20, 2.41M
Jan 28, 2009, 520.55, 540.00, 547.95, 511.25, 1.18M
Jan 27, 2009, 537.65, 512.35, 547.00, 512.35, 768.92K
Jan 23, 2009, 515.20, 520.00, 525.00, 502.30, 866.11K
Jan 22, 2009, 519.40, 540.45, 550.00, 513.10, 1.10M
Jan 21, 2009, 539.75, 556.00, 561.70, 536.15, 893.23K
Jan 20, 2009, 559.60, 567.90, 567.90, 556.10, 451.96K
Jan 19, 2009, 573.90, 585.10, 585.10, 567.60, 754.47K
Jan 16, 2009, 589.65, 590.10, 597.90, 581.80, 1.07M
Jan 15, 2009, 589.95, 575.00, 598.20, 542.35, 1.13M
Jan 14, 2009, 595.75, 583.00, 604.00, 578.00, 1.51M
Jan 13, 2009, 587.50, 580.00, 595.00, 566.00, 1.24M
Jan 12, 2009, 579.35, 580.10, 596.75, 561.60, 1.98M
Jan 09, 2009, 585.85, 553.00, 596.00, 550.10, 1.87M
Jan 07, 2009, 565.15, 570.00, 579.70, 551.30, 1.15M
Jan 06, 2009, 561.40, 552.00, 571.85, 546.35, 900.92K
Jan 05, 2009, 557.05, 578.90, 578.90, 543.55, 906.57K
Jan 02, 2009, 544.40, 539.00, 559.00, 534.00, 954.85K
