date, close, open, high, low, volume
Apr 09, 2019, 135.90, 135.50, 136.45, 135.05, 7.51M
Apr 08, 2019, 135.55, 134.90, 136.80, 134.55, 13.41M
Apr 05, 2019, 134.80, 135.55, 136.45, 134.40, 7.74M
Apr 04, 2019, 135.65, 134.80, 136.80, 134.45, 12.94M
Apr 03, 2019, 134.80, 135.95, 137.50, 134.00, 12.60M
Apr 02, 2019, 135.15, 136.05, 136.70, 134.00, 14.34M
Apr 01, 2019, 135.10, 136.40, 137.50, 133.55, 26.72M
Mar 29, 2019, 134.70, 137.15, 140.55, 132.70, 47.27M
Mar 28, 2019, 135.75, 137.50, 139.35, 135.10, 41.23M
Mar 27, 2019, 137.00, 140.90, 140.90, 136.20, 20.85M
Mar 26, 2019, 140.80, 136.00, 142.00, 136.00, 23.51M
Mar 25, 2019, 135.35, 133.85, 137.50, 133.75, 31.54M
Mar 22, 2019, 134.65, 131.00, 136.20, 129.70, 53.78M
Mar 20, 2019, 129.25, 135.80, 136.00, 128.10, 28.10M
Mar 19, 2019, 134.90, 133.95, 137.30, 130.40, 25.95M
Mar 18, 2019, 132.29, 131.54, 134.00, 129.79, 19.29M
Mar 15, 2019, 131.71, 128.83, 132.71, 127.21, 20.36M
Mar 14, 2019, 128.04, 124.08, 129.08, 123.42, 14.68M
Mar 13, 2019, 123.50, 125.83, 125.87, 120.83, 20.94M
Mar 12, 2019, 126.04, 125.67, 130.29, 125.17, 23.32M
Mar 11, 2019, 126.17, 127.50, 133.58, 124.58, 30.01M
Mar 08, 2019, 126.83, 122.92, 129.00, 121.12, 34.66M
Mar 07, 2019, 121.83, 124.25, 125.50, 121.25, 8.34M
Mar 06, 2019, 124.12, 123.08, 124.58, 122.58, 10.31M
Mar 05, 2019, 122.50, 119.17, 123.50, 119.17, 12.99M
Mar 01, 2019, 119.17, 118.08, 119.79, 118.04, 6.79M
Feb 28, 2019, 117.71, 116.83, 118.92, 115.25, 50.18M
Feb 27, 2019, 115.62, 116.08, 119.12, 115.12, 18.26M
Feb 26, 2019, 117.12, 114.33, 117.67, 113.58, 15.50M
Feb 25, 2019, 116.96, 116.33, 117.50, 113.54, 27.56M
Feb 22, 2019, 116.42, 113.96, 116.88, 112.50, 11.68M
Feb 21, 2019, 113.71, 114.83, 115.42, 112.92, 4.72M
Feb 20, 2019, 114.33, 111.83, 115.75, 110.25, 14.96M
Feb 19, 2019, 111.42, 114.25, 114.92, 110.38, 9.03M
Feb 18, 2019, 114.54, 113.17, 117.00, 112.46, 13.00M
Feb 15, 2019, 113.54, 110.00, 114.50, 110.00, 25.86M
Feb 14, 2019, 109.38, 109.17, 111.08, 106.75, 37.91M
Feb 13, 2019, 109.25, 111.04, 111.75, 106.67, 13.87M
Feb 12, 2019, 111.04, 108.38, 111.62, 108.33, 14.90M
Feb 11, 2019, 108.62, 109.96, 111.08, 107.17, 13.13M
Feb 08, 2019, 110.04, 112.83, 114.50, 109.62, 5.60M
Feb 07, 2019, 113.29, 114.17, 115.00, 112.58, 5.19M
Feb 06, 2019, 114.25, 113.17, 114.79, 112.50, 12.81M
Feb 05, 2019, 115.04, 114.17, 115.33, 113.50, 8.53M
Feb 04, 2019, 114.38, 116.75, 117.00, 113.96, 6.72M
Feb 01, 2019, 116.79, 116.67, 117.08, 115.67, 7.10M
Jan 31, 2019, 116.42, 117.08, 117.67, 115.83, 44.03M
Jan 30, 2019, 115.58, 116.17, 117.00, 115.08, 13.78M
Jan 29, 2019, 115.42, 115.50, 116.17, 114.50, 9.73M
Jan 28, 2019, 115.50, 115.42, 116.25, 113.88, 7.30M
Jan 25, 2019, 115.25, 117.08, 118.25, 115.04, 5.46M
Jan 24, 2019, 116.71, 117.29, 118.42, 115.92, 4.25M
Jan 23, 2019, 117.29, 119.08, 119.67, 116.92, 5.32M
Jan 22, 2019, 119.00, 119.92, 119.92, 118.33, 7.07M
Jan 21, 2019, 119.50, 122.08, 122.29, 118.88, 13.19M
Jan 18, 2019, 120.25, 121.08, 122.00, 120.00, 3.10M
Jan 17, 2019, 120.75, 122.42, 123.04, 120.21, 7.53M
Jan 16, 2019, 121.96, 121.92, 123.75, 121.42, 5.68M
Jan 15, 2019, 121.50, 121.67, 122.04, 120.12, 14.73M
Jan 14, 2019, 121.29, 123.33, 123.62, 121.00, 5.01M
Jan 11, 2019, 123.33, 123.33, 125.25, 122.67, 13.58M
Jan 10, 2019, 123.42, 122.46, 124.62, 122.29, 15.34M
Jan 09, 2019, 122.12, 122.50, 123.71, 121.17, 4.64M
Jan 08, 2019, 122.46, 123.33, 124.58, 121.67, 6.66M
Jan 07, 2019, 123.83, 121.88, 124.75, 121.79, 14.12M
Jan 04, 2019, 121.46, 119.96, 121.92, 118.54, 7.99M
Jan 03, 2019, 119.50, 122.50, 122.83, 119.04, 7.04M
Jan 02, 2019, 122.50, 123.29, 123.92, 121.79, 5.20M
Jan 01, 2019, 123.92, 124.12, 124.67, 122.00, 4.01M
Dec 31, 2018, 124.21, 124.83, 125.04, 123.42, 5.01M
Dec 28, 2018, 124.87, 122.88, 126.33, 122.08, 11.01M
