date, close, open, high, low, volume
Apr 17, 2004, 96.09, 98.30, 98.30, 95.94, 4.38M
Apr 16, 2004, 96.49, 97.11, 97.66, 95.70, 18.09M
Apr 15, 2004, 96.88, 97.98, 98.33, 95.58, 29.48M
Apr 13, 2004, 97.72, 97.56, 98.43, 94.22, 32.12M
Apr 12, 2004, 97.19, 100.97, 105.33, 96.24, 50.81M
Apr 08, 2004, 98.73, 94.00, 99.89, 93.81, 59.90M
Apr 07, 2004, 93.84, 94.22, 95.00, 93.06, 28.56M
Apr 06, 2004, 94.38, 95.00, 95.44, 93.57, 26.53M
Apr 05, 2004, 94.86, 95.33, 97.22, 94.25, 45.13M
Apr 02, 2004, 95.54, 92.50, 96.67, 91.03, 72.67M
Apr 01, 2004, 92.47, 92.00, 92.86, 91.11, 37.59M
Mar 31, 2004, 93.41, 91.22, 94.02, 90.56, 28.70M
Mar 30, 2004, 93.32, 92.21, 94.11, 91.78, 22.69M
Mar 29, 2004, 93.69, 84.44, 94.99, 81.11, 76.70M
Mar 26, 2004, 93.37, 93.46, 94.18, 93.33, 10.71M
Mar 25, 2004, 94.36, 94.56, 95.00, 93.23, 9.85M
Mar 24, 2004, 94.50, 93.33, 94.99, 93.04, 7.68M
Mar 23, 2004, 93.30, 93.22, 94.39, 92.22, 13.45M
Mar 22, 2004, 93.82, 95.33, 95.44, 93.16, 8.55M
Mar 19, 2004, 95.31, 95.33, 95.78, 93.78, 18.47M
Mar 18, 2004, 95.41, 93.89, 96.10, 93.89, 30.41M
Mar 17, 2004, 94.79, 93.33, 95.49, 91.03, 44.42M
Mar 16, 2004, 92.31, 86.67, 93.76, 86.11, 33.17M
Mar 15, 2004, 87.64, 90.00, 91.32, 86.93, 20.77M
Mar 12, 2004, 89.17, 91.33, 91.44, 88.44, 20.03M
Mar 11, 2004, 92.02, 92.98, 94.17, 91.47, 18.29M
Mar 10, 2004, 93.36, 93.58, 95.52, 92.84, 18.84M
Mar 09, 2004, 93.26, 95.56, 97.11, 92.02, 30.51M
Mar 08, 2004, 95.01, 90.22, 97.74, 90.22, 50.18M
Mar 05, 2004, 89.00, 85.44, 89.41, 84.45, 34.88M
Mar 04, 2004, 84.24, 83.78, 86.44, 83.46, 11.41M
Mar 03, 2004, 83.54, 84.95, 85.44, 81.88, 15.99M
Mar 01, 2004, 84.17, 80.67, 84.66, 80.56, 12.89M
Feb 27, 2004, 79.99, 78.56, 80.54, 78.56, 8.40M
Feb 26, 2004, 77.79, 76.33, 80.64, 75.56, 22.14M
Feb 25, 2004, 74.82, 77.78, 79.41, 73.89, 10.86M
Feb 24, 2004, 79.33, 80.00, 81.40, 78.68, 7.01M
Feb 23, 2004, 79.95, 83.33, 83.89, 79.44, 9.55M
Feb 20, 2004, 82.81, 84.78, 84.78, 82.26, 10.90M
Feb 19, 2004, 83.99, 85.78, 87.41, 83.12, 21.76M
Feb 18, 2004, 85.22, 80.06, 85.99, 79.50, 25.18M
Feb 17, 2004, 79.89, 80.89, 81.10, 79.34, 4.91M
Feb 16, 2004, 80.98, 83.89, 83.89, 80.56, 5.02M
Feb 13, 2004, 81.91, 81.23, 82.21, 80.01, 6.05M
Feb 12, 2004, 81.88, 83.89, 84.19, 81.11, 7.08M
Feb 11, 2004, 83.30, 82.91, 84.31, 82.39, 7.05M
Feb 10, 2004, 82.78, 83.33, 84.89, 81.72, 8.67M
Feb 09, 2004, 82.74, 82.22, 83.86, 81.44, 6.23M
Feb 06, 2004, 81.65, 79.97, 82.21, 78.79, 9.75M
Feb 05, 2004, 79.13, 80.32, 81.56, 78.67, 7.63M
Feb 04, 2004, 79.57, 80.44, 80.44, 77.22, 12.71M
Feb 03, 2004, 76.89, 82.22, 82.22, 76.12, 12.33M
Jan 30, 2004, 82.29, 86.59, 87.41, 81.89, 12.44M
Jan 29, 2004, 85.24, 86.44, 89.44, 83.44, 19.07M
Jan 28, 2004, 85.87, 89.44, 91.11, 84.69, 11.63M
Jan 27, 2004, 90.16, 88.28, 90.67, 86.61, 11.16M
Jan 23, 2004, 86.87, 81.72, 88.78, 81.72, 12.32M
Jan 22, 2004, 81.08, 90.56, 90.56, 79.28, 15.01M
Jan 21, 2004, 83.03, 91.11, 91.33, 81.68, 15.30M
Jan 20, 2004, 91.51, 94.17, 95.57, 90.27, 13.16M
Jan 19, 2004, 93.39, 89.44, 95.78, 89.01, 20.98M
Jan 16, 2004, 90.44, 93.56, 94.67, 89.01, 14.27M
Jan 15, 2004, 93.38, 95.44, 96.44, 91.84, 10.71M
Jan 14, 2004, 93.63, 96.67, 97.11, 93.02, 11.17M
Jan 13, 2004, 94.36, 97.56, 98.89, 92.78, 16.32M
Jan 12, 2004, 96.55, 102.44, 102.44, 95.58, 11.96M
Jan 09, 2004, 101.67, 106.56, 108.33, 100.69, 10.84M
Jan 08, 2004, 105.46, 101.33, 106.44, 100.37, 18.05M
Jan 07, 2004, 100.27, 99.44, 102.22, 98.48, 15.91M
Jan 06, 2004, 98.83, 105.56, 107.63, 95.96, 15.76M
Jan 05, 2004, 104.08, 111.11, 111.11, 103.33, 25.99M
Jan 02, 2004, 102.14, 92.00, 104.88, 91.67, 25.60M
Jan 01, 2004, 91.34, 90.56, 91.99, 89.33, 6.47M
Dec 31, 2003, 88.69, 87.76, 90.32, 86.67, 9.12M
Dec 30, 2003, 86.79, 84.89, 88.87, 83.24, 11.63M
Dec 29, 2003, 83.26, 83.33, 84.33, 82.35, 4.35M
Dec 26, 2003, 81.84, 81.67, 83.20, 80.57, 3.87M
Dec 24, 2003, 81.56, 84.44, 84.44, 80.57, 10.52M
Dec 23, 2003, 82.06, 84.44, 84.44, 81.70, 3.80M
Dec 22, 2003, 84.19, 83.22, 85.32, 81.25, 9.08M
Dec 19, 2003, 82.85, 79.97, 83.72, 79.22, 12.03M
Dec 18, 2003, 78.93, 75.67, 79.71, 75.00, 12.60M
Dec 17, 2003, 75.18, 74.72, 76.17, 74.72, 2.97M
Dec 16, 2003, 75.21, 76.11, 76.44, 74.67, 2.67M
Dec 15, 2003, 76.33, 76.67, 77.78, 75.89, 3.05M
Dec 12, 2003, 77.06, 77.78, 78.33, 76.12, 4.40M
Dec 11, 2003, 77.07, 76.00, 77.22, 74.73, 8.67M
Dec 10, 2003, 75.31, 72.01, 76.88, 71.67, 16.62M
Dec 09, 2003, 71.69, 69.11, 72.12, 68.92, 8.95M
Dec 08, 2003, 68.43, 68.67, 68.78, 67.56, 2.35M
Dec 05, 2003, 68.50, 70.22, 70.44, 68.12, 5.14M
Dec 04, 2003, 69.66, 69.78, 70.52, 68.51, 5.00M
Dec 03, 2003, 69.40, 68.78, 69.80, 68.33, 4.05M
Dec 02, 2003, 68.32, 69.33, 69.77, 67.93, 3.75M
Dec 01, 2003, 69.20, 69.01, 69.74, 68.79, 4.50M
Nov 28, 2003, 68.61, 68.10, 69.33, 67.67, 6.55M
Nov 27, 2003, 67.07, 68.00, 68.67, 66.69, 6.38M
Nov 25, 2003, 67.50, 67.78, 68.11, 67.24, 3.28M
Nov 24, 2003, 67.47, 67.38, 68.27, 67.01, 1.92M
Nov 21, 2003, 66.74, 66.82, 67.20, 65.69, 3.54M
Nov 20, 2003, 67.13, 68.00, 68.89, 66.68, 4.27M
Nov 19, 2003, 68.04, 68.78, 68.78, 67.57, 4.07M
Nov 18, 2003, 68.70, 70.56, 70.91, 68.33, 2.87M
Nov 17, 2003, 70.01, 70.00, 70.63, 69.22, 3.15M
Nov 14, 2003, 69.33, 71.67, 71.67, 68.89, 4.96M
Nov 13, 2003, 71.33, 73.91, 74.21, 70.67, 6.56M
Nov 12, 2003, 73.68, 74.54, 74.98, 72.89, 6.14M
Nov 11, 2003, 73.83, 73.67, 74.81, 73.36, 6.83M
Nov 10, 2003, 73.21, 71.12, 73.56, 70.78, 4.45M
Nov 07, 2003, 71.14, 71.38, 72.22, 70.38, 9.46M
Nov 06, 2003, 71.08, 72.00, 72.44, 70.56, 6.60M
Nov 05, 2003, 70.99, 70.69, 72.22, 69.89, 11.66M
Nov 04, 2003, 69.52, 68.21, 70.00, 66.81, 10.48M
Nov 03, 2003, 67.72, 67.56, 68.08, 66.39, 5.27M
Oct 31, 2003, 66.23, 63.89, 66.67, 63.68, 7.50M
Oct 30, 2003, 63.65, 64.44, 65.54, 63.17, 9.39M
Oct 29, 2003, 64.23, 64.56, 64.94, 63.36, 6.29M
Oct 28, 2003, 65.14, 66.25, 66.33, 64.46, 6.08M
Oct 27, 2003, 65.61, 67.76, 68.36, 65.06, 8.20M
Oct 24, 2003, 64.79, 64.44, 65.16, 63.11, 5.26M
Oct 23, 2003, 64.07, 64.67, 66.30, 63.66, 5.58M
Oct 22, 2003, 64.31, 66.89, 67.44, 63.95, 5.24M
Oct 21, 2003, 66.38, 68.56, 68.56, 65.90, 7.06M
Oct 20, 2003, 67.97, 70.11, 70.11, 67.67, 7.16M
Oct 17, 2003, 69.73, 68.78, 70.57, 68.35, 6.20M
Oct 16, 2003, 68.85, 69.99, 70.22, 68.33, 3.73M
Oct 15, 2003, 69.27, 69.11, 69.87, 66.92, 6.37M
Oct 14, 2003, 69.02, 72.00, 72.00, 68.44, 7.62M
Oct 13, 2003, 70.93, 69.31, 71.39, 68.35, 8.52M
Oct 10, 2003, 68.34, 70.43, 70.43, 67.44, 7.44M
Oct 09, 2003, 69.93, 70.04, 70.56, 69.44, 5.10M
Oct 08, 2003, 69.49, 69.89, 70.17, 68.47, 6.25M
Oct 07, 2003, 69.48, 71.22, 71.62, 69.12, 11.51M
Oct 06, 2003, 70.14, 68.33, 70.78, 66.67, 13.08M
Oct 03, 2003, 67.58, 67.67, 68.48, 65.88, 12.37M
Oct 01, 2003, 67.27, 69.11, 69.11, 66.68, 7.16M
Sep 30, 2003, 67.91, 68.30, 69.33, 67.56, 13.49M
Sep 29, 2003, 67.44, 64.22, 68.66, 64.22, 26.22M
Sep 26, 2003, 63.79, 64.56, 65.39, 62.89, 10.16M
Sep 25, 2003, 64.02, 64.44, 66.00, 63.67, 16.27M
Sep 24, 2003, 63.43, 62.25, 64.23, 60.56, 17.91M
Sep 23, 2003, 61.65, 57.77, 61.89, 56.90, 24.97M
Sep 22, 2003, 58.22, 61.22, 61.54, 57.79, 10.78M
Sep 19, 2003, 60.14, 61.01, 61.77, 57.02, 18.09M
Sep 18, 2003, 60.37, 63.43, 64.16, 59.80, 13.47M
Sep 17, 2003, 63.53, 67.67, 68.46, 62.35, 11.34M
Sep 16, 2003, 68.08, 66.22, 68.54, 62.10, 16.97M
Sep 15, 2003, 66.21, 73.11, 73.11, 65.59, 10.39M
Sep 12, 2003, 73.05, 75.56, 76.67, 72.36, 7.80M
Sep 11, 2003, 75.42, 75.33, 76.33, 74.67, 7.06M
Sep 10, 2003, 76.53, 75.56, 76.78, 74.73, 7.26M
Sep 09, 2003, 75.07, 76.87, 77.09, 74.12, 8.19M
Sep 08, 2003, 74.97, 73.33, 75.87, 73.33, 7.07M
Sep 05, 2003, 72.57, 72.78, 73.31, 70.00, 6.34M
Sep 04, 2003, 71.94, 71.11, 72.55, 69.17, 7.01M
Sep 03, 2003, 70.58, 72.78, 73.22, 70.01, 4.71M
Sep 02, 2003, 72.58, 72.94, 73.78, 71.78, 7.19M
Sep 01, 2003, 72.47, 69.11, 72.78, 69.11, 10.65M
Aug 29, 2003, 68.45, 69.10, 69.44, 67.56, 5.85M
Aug 28, 2003, 67.22, 67.78, 69.27, 66.22, 12.80M
Aug 27, 2003, 67.69, 74.44, 74.44, 65.00, 11.24M
Aug 26, 2003, 64.29, 61.68, 64.78, 61.22, 6.98M
Aug 25, 2003, 61.66, 63.33, 64.22, 59.44, 9.08M
Aug 22, 2003, 63.02, 62.79, 64.01, 62.01, 9.34M
Aug 21, 2003, 61.81, 60.68, 62.44, 60.44, 6.05M
Aug 20, 2003, 60.31, 60.56, 61.42, 60.01, 3.73M
Aug 19, 2003, 60.16, 61.33, 61.58, 60.00, 5.19M
Aug 18, 2003, 60.94, 61.11, 61.64, 60.62, 3.70M
Aug 14, 2003, 60.77, 62.22, 62.22, 60.47, 6.09M
Aug 13, 2003, 61.74, 58.44, 62.33, 58.44, 14.63M
Aug 12, 2003, 59.46, 60.00, 60.44, 59.11, 9.24M
Aug 11, 2003, 60.37, 58.44, 61.28, 58.33, 15.12M
Aug 08, 2003, 58.28, 56.33, 58.56, 56.28, 19.60M
Aug 07, 2003, 55.53, 54.33, 56.10, 54.10, 11.49M
Aug 06, 2003, 53.49, 52.56, 55.33, 52.33, 10.24M
Aug 05, 2003, 52.80, 54.22, 54.54, 52.61, 5.68M
Aug 04, 2003, 53.38, 51.33, 53.69, 51.21, 6.27M
Aug 01, 2003, 50.67, 51.66, 51.66, 50.23, 3.42M
Jul 31, 2003, 50.52, 52.28, 52.77, 49.81, 5.82M
Jul 30, 2003, 52.09, 52.22, 52.42, 51.56, 1.55M
Jul 29, 2003, 51.44, 51.67, 51.99, 51.12, 1.70M
Jul 28, 2003, 51.79, 52.44, 52.44, 51.33, 3.10M
Jul 25, 2003, 52.01, 50.02, 52.21, 50.02, 1.91M
Jul 24, 2003, 51.29, 51.11, 52.67, 51.00, 3.99M
Jul 23, 2003, 50.34, 50.74, 51.32, 49.46, 3.18M
Jul 22, 2003, 50.14, 50.67, 50.98, 48.91, 5.56M
