date, close, open, high, low, volume
Apr 25, 1996, 27.15, 27.35, 28.33, 27.11, 49.50K
Apr 24, 1996, 27.35, 27.01, 27.78, 27.01, 82.80K
Apr 23, 1996, 26.75, 26.59, 26.83, 26.33, 90.90K
Apr 22, 1996, 26.59, 26.39, 26.67, 26.39, 120.60K
Apr 19, 1996, 26.39, 26.11, 26.56, 26.11, 97.20K
Apr 18, 1996, 26.10, 25.33, 26.66, 25.11, 97.20K
Apr 17, 1996, 25.33, 25.11, 25.44, 25.11, 57.60K
Apr 16, 1996, 25.07, 24.82, 25.14, 24.67, 75.60K
Apr 15, 1996, 24.82, 24.76, 24.99, 24.67, 66.60K
Apr 12, 1996, 24.76, 24.46, 24.83, 24.28, 87.30K
Apr 11, 1996, 24.46, 24.44, 24.56, 24.06, 70.20K
Apr 10, 1996, 24.44, 24.50, 24.50, 23.89, 85.50K
Apr 09, 1996, 24.50, 24.37, 24.56, 24.11, 76.50K
Apr 08, 1996, 24.37, 24.00, 24.43, 24.00, 112.50K
Apr 04, 1996, 23.89, 23.83, 24.00, 23.83, 56.70K
Apr 03, 1996, 24.00, 23.89, 24.22, 23.89, 36.00K
Apr 02, 1996, 23.89, 23.67, 23.94, 23.67, 90.00K
Apr 01, 1996, 23.58, 23.61, 23.61, 23.22, 69.30K
Mar 29, 1996, 23.67, 25.22, 25.22, 23.67, 21.60K
Mar 28, 1996, 25.22, 25.44, 25.44, 25.11, 13.50K
Mar 27, 1996, 25.56, 25.80, 25.89, 25.44, 43.20K
Mar 26, 1996, 25.80, 25.89, 25.91, 25.78, 98.10K
Mar 25, 1996, 25.89, 25.79, 25.91, 25.78, 59.40K
Mar 22, 1996, 25.79, 25.78, 25.89, 25.67, 91.80K
Mar 21, 1996, 25.78, 25.74, 25.83, 25.00, 132.30K
Mar 19, 1996, 25.74, 26.11, 26.11, 25.56, 83.70K
Mar 18, 1996, 26.22, 26.22, 26.22, 25.89, 88.20K
Mar 15, 1996, 26.35, 26.22, 26.67, 25.89, 486.90K
Mar 14, 1996, 26.22, 26.23, 26.23, 25.89, 90.90K
Mar 13, 1996, 26.23, 26.22, 26.28, 25.67, 53.10K
Mar 12, 1996, 26.43, 26.44, 26.67, 26.14, 311.40K
Mar 11, 1996, 26.44, 26.11, 26.47, 26.11, 75.60K
Mar 08, 1996, 26.66, 26.44, 26.67, 26.33, 416.70K
Mar 07, 1996, 26.44, 26.50, 26.50, 26.23, 141.30K
Mar 06, 1996, 26.56, 26.12, 26.67, 26.12, 87.30K
Mar 04, 1996, 26.47, 26.33, 26.67, 26.33, 126.00K
Mar 01, 1996, 26.29, 26.24, 26.33, 25.56, 131.40K
Feb 29, 1996, 26.24, 26.56, 26.56, 26.22, 182.70K
Feb 28, 1996, 26.60, 26.72, 27.11, 26.44, 168.30K
Feb 27, 1996, 26.72, 25.12, 27.56, 24.72, 112.50K
Feb 26, 1996, 25.12, 23.89, 25.33, 23.89, 135.00K
Feb 23, 1996, 23.66, 22.89, 23.89, 22.89, 101.70K
Feb 22, 1996, 22.78, 22.78, 22.89, 22.78, 50.40K
Feb 20, 1996, 22.78, 22.67, 23.22, 22.22, 103.50K
Feb 19, 1996, 22.41, 22.33, 22.44, 21.69, 45.90K
Feb 16, 1996, 22.33, 23.56, 23.56, 22.03, 33.30K
Feb 15, 1996, 24.06, 24.02, 24.88, 23.33, 36.90K
Feb 14, 1996, 24.02, 24.44, 25.78, 24.01, 81.90K
Feb 13, 1996, 23.45, 23.07, 23.56, 22.94, 38.70K
Feb 12, 1996, 23.07, 21.56, 23.33, 21.56, 70.20K
Feb 09, 1996, 21.33, 20.56, 21.33, 20.56, 64.80K
Feb 08, 1996, 19.43, 19.00, 20.56, 18.89, 76.50K
Feb 07, 1996, 19.11, 19.11, 19.11, 18.67, 15.30K
Feb 06, 1996, 19.13, 18.79, 19.31, 18.67, 67.50K
Feb 05, 1996, 18.79, 18.67, 18.79, 18.47, 30.60K
Feb 02, 1996, 18.79, 18.86, 18.94, 18.67, 49.50K
Feb 01, 1996, 18.86, 18.78, 18.86, 18.56, 25.20K
Jan 31, 1996, 18.78, 18.44, 18.80, 18.44, 30.60K
Jan 30, 1996, 18.79, 18.58, 18.81, 18.33, 78.30K
Jan 29, 1996, 18.58, 18.44, 18.58, 18.06, 28.80K
Jan 25, 1996, 18.44, 18.44, 18.44, 18.33, 28.80K
Jan 24, 1996, 18.77, 18.33, 18.83, 17.99, 49.50K
Jan 23, 1996, 18.67, 18.80, 18.83, 18.67, 54.90K
Jan 22, 1996, 18.80, 18.73, 18.81, 18.73, 42.30K
Jan 19, 1996, 18.89, 18.67, 18.90, 18.67, 35.10K
Jan 18, 1996, 18.68, 18.89, 18.89, 18.67, 32.40K
Jan 17, 1996, 18.89, 18.51, 19.27, 18.51, 21.60K
Jan 16, 1996, 18.72, 18.78, 18.89, 18.67, 41.40K
Jan 15, 1996, 18.78, 18.78, 18.86, 18.78, 9.90K
Jan 12, 1996, 18.67, 18.78, 18.86, 18.67, 1.80K
Jan 11, 1996, 18.78, 18.78, 18.99, 18.67, 38.70K
Jan 10, 1996, 18.78, 18.89, 18.89, 18.68, 18.90K
Jan 09, 1996, 18.89, 18.87, 18.89, 18.57, 41.40K
Jan 08, 1996, 18.87, 18.67, 19.00, 18.67, 54.00K
Jan 05, 1996, 18.90, 18.89, 18.91, 18.67, 46.80K
Jan 04, 1996, 18.89, 18.89, 18.90, 18.50, 41.40K
Jan 03, 1996, 18.89, 19.33, 19.33, 18.89, 10.80K
Jan 02, 1996, 19.09, 18.84, 19.28, 18.84, 27.00K
Jan 01, 1996, 18.80, 18.89, 18.97, 18.78, 10.80K
Dec 29, 1995, 18.89, 18.89, 18.97, 18.89, 36.90K
Dec 28, 1995, 18.89, 18.81, 19.11, 18.81, 27.00K
Dec 27, 1995, 18.78, 18.89, 18.89, 18.56, 35.10K
Dec 26, 1995, 18.89, 18.78, 18.89, 18.22, 45.90K
Dec 22, 1995, 18.76, 18.89, 18.89, 18.67, 18.90K
Dec 21, 1995, 18.85, 18.72, 18.94, 18.67, 12.60K
Dec 20, 1995, 18.73, 18.75, 19.27, 18.69, 29.70K
Dec 19, 1995, 19.00, 18.64, 19.00, 18.56, 37.80K
Dec 18, 1995, 18.64, 18.89, 18.89, 18.33, 31.50K
Dec 15, 1995, 18.89, 19.19, 19.22, 18.89, 15.30K
Dec 14, 1995, 19.19, 19.28, 19.44, 19.00, 21.60K
Dec 13, 1995, 19.28, 19.06, 19.39, 19.00, 11.70K
Dec 12, 1995, 19.06, 19.78, 19.78, 19.00, 12.60K
Dec 11, 1995, 19.17, 19.72, 19.72, 19.17, 7.20K
Dec 08, 1995, 19.72, 19.78, 20.00, 19.72, 18.90K
Dec 07, 1995, 19.89, 19.79, 20.33, 19.78, 18.00K
Dec 06, 1995, 19.79, 19.85, 20.00, 19.78, 7.20K
Dec 05, 1995, 19.85, 20.00, 20.39, 19.56, 255.60K
Dec 04, 1995, 20.00, 20.00, 20.33, 19.90, 23.40K
Dec 01, 1995, 20.22, 20.22, 20.56, 20.22, 27.90K
Nov 30, 1995, 20.01, 19.97, 20.22, 19.69, 25.20K
Nov 29, 1995, 19.97, 19.78, 19.97, 19.50, 21.60K
Nov 28, 1995, 19.82, 20.06, 20.06, 19.56, 19.80K
Nov 27, 1995, 20.11, 20.22, 20.55, 20.00, 27.90K
Nov 24, 1995, 19.67, 18.89, 19.94, 18.89, 26.10K
Nov 23, 1995, 19.03, 19.66, 19.89, 18.89, 22.50K
Nov 22, 1995, 19.66, 20.11, 20.11, 19.44, 34.20K
Nov 21, 1995, 20.00, 20.22, 20.44, 20.00, 34.20K
Nov 20, 1995, 20.22, 21.78, 21.78, 20.00, 31.50K
Nov 17, 1995, 22.00, 22.56, 22.56, 20.78, 24.30K
Nov 16, 1995, 22.81, 22.00, 23.33, 22.00, 44.10K
Nov 15, 1995, 21.89, 20.00, 21.89, 19.78, 43.20K
Nov 14, 1995, 19.72, 19.22, 19.86, 18.89, 36.00K
Nov 13, 1995, 19.22, 19.08, 19.43, 18.67, 28.80K
Nov 10, 1995, 19.08, 19.78, 19.99, 18.92, 33.30K
Nov 09, 1995, 20.30, 21.67, 21.67, 20.03, 45.00K
Nov 08, 1995, 22.04, 23.33, 23.33, 21.78, 24.30K
Nov 07, 1995, 23.55, 23.48, 23.89, 23.34, 17.10K
Nov 06, 1995, 23.48, 23.89, 23.89, 23.33, 13.50K
Nov 03, 1995, 23.94, 24.11, 24.56, 23.62, 18.90K
Nov 02, 1995, 24.11, 23.79, 24.11, 23.67, 16.20K
Nov 01, 1995, 23.79, 23.50, 23.81, 23.33, 18.90K
Oct 31, 1995, 23.50, 23.33, 23.56, 22.78, 21.60K
Oct 30, 1995, 23.33, 23.33, 23.33, 22.78, 21.60K
Oct 27, 1995, 23.99, 24.22, 24.31, 23.78, 26.10K
Oct 26, 1995, 24.22, 25.22, 25.22, 24.22, 19.80K
Oct 25, 1995, 25.30, 26.78, 26.78, 25.11, 13.50K
Oct 24, 1995, 27.11, 26.61, 27.11, 26.56, 17.10K
Oct 23, 1995, 26.61, 26.67, 26.78, 26.39, 10.80K
Oct 20, 1995, 26.67, 27.00, 27.00, 26.44, 26.10K
Oct 19, 1995, 27.17, 26.56, 27.22, 25.56, 21.60K
Oct 18, 1995, 26.56, 28.36, 28.36, 25.56, 37.80K
Oct 17, 1995, 28.33, 28.44, 28.44, 27.78, 25.20K
Oct 16, 1995, 28.51, 29.44, 29.44, 28.33, 28.80K
Oct 13, 1995, 29.89, 31.67, 31.67, 29.83, 16.20K
Oct 12, 1995, 31.78, 32.72, 32.72, 31.70, 11.70K
Oct 11, 1995, 32.39, 31.67, 32.78, 31.67, 12.60K
Oct 10, 1995, 33.33, 32.78, 33.33, 32.56, 13.50K
Oct 09, 1995, 32.78, 31.44, 33.33, 31.44, 15.30K
Oct 06, 1995, 31.56, 31.33, 31.56, 31.33, 6.30K
Oct 05, 1995, 30.28, 31.22, 31.22, 30.28, 1.80K
Oct 04, 1995, 30.56, 30.00, 31.10, 30.00, 13.50K
Sep 29, 1995, 29.67, 30.56, 30.56, 29.46, 9.00K
Sep 28, 1995, 32.22, 32.44, 32.44, 32.22, 5.40K
Sep 27, 1995, 34.43, 33.89, 34.66, 33.44, 9.90K
Sep 26, 1995, 33.61, 32.78, 35.44, 32.22, 9.90K
Sep 25, 1995, 30.00, 30.56, 30.56, 30.00, 5.40K
Sep 22, 1995, 28.01, 29.33, 29.33, 26.46, 9.90K
Sep 19, 1995, 33.33, 34.75, 34.75, 33.33, 2.70K
Sep 18, 1995, 36.67, 36.67, 36.67, 36.67, 1.80K
Sep 08, 1995, 40.44, 40.44, 40.44, 40.44, 0.90K
Sep 07, 1995, 41.11, 41.11, 41.11, 41.11, 0.90K
Sep 04, 1995, 43.89, 43.89, 43.89, 43.89, 0.90K
Sep 01, 1995, 45.22, 45.22, 45.22, 45.22, 0.90K
Aug 31, 1995, 44.78, 45.33, 45.33, 44.78, 4.50K
Aug 30, 1995, 45.55, 45.56, 46.44, 45.55, 4.50K
Aug 25, 1995, 48.33, 49.39, 49.39, 48.33, 5.40K
Aug 24, 1995, 48.89, 50.00, 50.00, 48.89, 6.30K
Aug 21, 1995, 48.89, 48.89, 48.89, 48.89, 0.90K
Aug 18, 1995, 50.00, 50.00, 50.00, 50.00, 0.90K
Aug 16, 1995, 48.89, 48.89, 49.39, 48.89, 2.70K
Aug 14, 1995, 52.22, 52.22, 52.22, 52.22, 0.90K
Aug 11, 1995, 53.33, 53.33, 53.33, 53.33, 0.90K
