date, close, open, high, low, volume
Feb 13, 1998, 26.99, 27.11, 27.22, 26.76, 156.60K
Feb 12, 1998, 27.11, 26.78, 27.17, 26.68, 52.20K
Feb 11, 1998, 26.66, 26.67, 26.89, 26.47, 56.70K
Feb 10, 1998, 26.86, 27.49, 27.49, 26.78, 72.00K
Feb 09, 1998, 26.79, 27.01, 27.22, 26.57, 273.60K
Feb 06, 1998, 27.21, 26.48, 27.22, 26.48, 88.20K
Feb 05, 1998, 26.65, 26.78, 26.78, 26.22, 175.50K
Feb 04, 1998, 26.73, 26.72, 27.21, 26.48, 74.70K
Feb 03, 1998, 26.21, 25.67, 26.56, 25.67, 117.00K
Feb 02, 1998, 25.71, 24.99, 25.88, 24.89, 86.40K
Jan 30, 1998, 24.88, 25.85, 25.86, 24.22, 343.80K
Jan 29, 1998, 25.84, 26.44, 26.44, 25.56, 70.20K
Jan 28, 1998, 26.81, 26.89, 27.11, 26.78, 144.90K
Jan 27, 1998, 27.09, 27.56, 27.78, 26.34, 164.70K
Jan 23, 1998, 27.88, 28.08, 28.08, 27.82, 108.90K
Jan 22, 1998, 28.06, 28.36, 28.67, 28.00, 74.70K
Jan 21, 1998, 28.72, 27.56, 29.41, 27.56, 422.10K
Jan 20, 1998, 27.46, 28.06, 28.06, 27.44, 154.80K
Jan 19, 1998, 27.64, 27.56, 27.78, 27.24, 41.40K
Jan 16, 1998, 27.80, 29.12, 29.17, 27.56, 40.50K
Jan 15, 1998, 27.77, 27.56, 27.89, 27.56, 36.00K
Jan 14, 1998, 27.70, 28.22, 28.33, 27.56, 61.20K
Jan 13, 1998, 27.56, 27.44, 27.83, 27.28, 220.50K
Jan 12, 1998, 27.29, 28.90, 28.90, 26.92, 136.80K
Jan 09, 1998, 29.55, 29.79, 29.83, 28.89, 99.00K
Jan 08, 1998, 30.07, 30.50, 30.77, 30.03, 56.70K
Jan 07, 1998, 30.86, 30.94, 31.22, 30.62, 93.60K
Jan 06, 1998, 30.28, 31.37, 31.37, 29.71, 191.70K
Jan 05, 1998, 31.55, 31.56, 31.89, 31.33, 163.80K
Jan 02, 1998, 31.10, 31.64, 31.67, 31.00, 80.10K
Jan 01, 1998, 31.60, 31.72, 31.83, 31.28, 90.00K
Dec 31, 1997, 31.55, 31.33, 31.94, 31.33, 79.20K
Dec 30, 1997, 30.75, 31.46, 31.67, 30.56, 115.20K
Dec 29, 1997, 31.81, 32.41, 32.44, 31.36, 77.40K
Dec 26, 1997, 32.55, 33.33, 33.33, 32.50, 52.20K
