date, close, open, high, low, volume
Sep 03, 1999, 25.08, 24.33, 25.33, 24.06, 334.80K
Sep 02, 1999, 24.51, 24.89, 25.00, 24.34, 147.60K
Sep 01, 1999, 25.14, 25.56, 25.67, 25.00, 197.10K
Aug 31, 1999, 25.53, 25.14, 25.84, 24.46, 351.00K
Aug 30, 1999, 25.62, 26.22, 26.67, 25.22, 299.70K
Aug 27, 1999, 26.75, 27.11, 27.22, 26.67, 166.50K
Aug 26, 1999, 27.12, 27.74, 28.00, 27.00, 258.30K
Aug 25, 1999, 27.03, 28.44, 28.83, 26.67, 463.50K
Aug 24, 1999, 28.42, 28.89, 28.89, 28.17, 276.30K
Aug 23, 1999, 28.57, 28.61, 29.25, 28.11, 579.60K
Aug 20, 1999, 28.32, 29.32, 29.32, 27.01, 724.50K
Aug 19, 1999, 28.39, 28.39, 28.39, 28.39, 87.30K
Aug 18, 1999, 26.28, 26.28, 26.28, 26.28, 10.80K
Aug 17, 1999, 24.94, 25.67, 26.44, 24.28, 1.19M
Aug 16, 1999, 25.41, 25.56, 25.67, 24.22, 1.02M
Aug 13, 1999, 23.77, 22.47, 23.77, 22.47, 252.90K
Aug 12, 1999, 22.01, 22.33, 22.50, 21.68, 199.80K
Aug 11, 1999, 21.93, 22.52, 22.78, 21.78, 275.40K
Aug 10, 1999, 22.31, 23.31, 23.31, 22.11, 300.60K
Aug 09, 1999, 22.66, 22.00, 22.83, 22.00, 328.50K
Aug 06, 1999, 22.25, 22.07, 22.33, 22.07, 104.40K
Aug 05, 1999, 22.33, 23.11, 23.11, 21.84, 263.70K
Aug 04, 1999, 22.44, 22.10, 22.67, 21.94, 339.30K
Aug 03, 1999, 21.66, 21.49, 21.89, 21.22, 483.30K
Aug 02, 1999, 21.47, 21.22, 22.22, 21.17, 541.80K
Jul 30, 1999, 21.12, 21.56, 21.56, 20.83, 393.30K
Jul 29, 1999, 22.00, 23.44, 23.44, 21.06, 903.60K
Jul 28, 1999, 22.01, 20.72, 22.01, 20.61, 221.40K
Jul 27, 1999, 20.37, 21.68, 21.89, 20.23, 698.40K
Jul 26, 1999, 21.94, 22.44, 22.44, 21.56, 387.00K
Jul 23, 1999, 22.42, 23.11, 23.53, 22.08, 655.20K
