date, close, open, high, low, volume
Apr 04, 2014, 59.09, 60.28, 60.28, 58.95, 7.24M
Apr 03, 2014, 60.26, 59.92, 60.75, 59.26, 6.36M
Apr 02, 2014, 60.09, 59.95, 60.48, 59.45, 8.82M
Apr 01, 2014, 59.87, 58.48, 60.67, 58.26, 13.29M
Mar 31, 2014, 58.20, 59.42, 60.03, 57.96, 6.60M
Mar 28, 2014, 59.56, 58.40, 60.01, 58.09, 6.97M
Mar 27, 2014, 58.48, 57.65, 58.98, 57.65, 20.89M
Mar 26, 2014, 57.65, 58.76, 59.04, 57.43, 6.81M
Mar 25, 2014, 58.54, 56.87, 58.73, 56.87, 14.14M
Mar 24, 2014, 57.21, 55.99, 57.76, 55.99, 9.96M
Mar 22, 2014, 56.13, 55.96, 56.32, 55.79, 276.04K
Mar 21, 2014, 55.90, 55.32, 57.01, 55.18, 21.51M
Mar 20, 2014, 55.05, 56.38, 56.65, 54.88, 6.05M
Mar 19, 2014, 56.71, 56.18, 57.35, 56.18, 12.92M
Mar 18, 2014, 56.24, 54.60, 56.51, 54.60, 15.51M
Mar 14, 2014, 54.52, 54.49, 55.43, 54.32, 11.86M
Mar 13, 2014, 54.77, 54.63, 55.43, 54.38, 12.33M
Mar 12, 2014, 54.60, 54.52, 54.74, 54.21, 15.25M
Mar 11, 2014, 54.80, 54.55, 54.93, 54.41, 7.77M
Mar 10, 2014, 54.82, 54.74, 55.05, 54.16, 11.55M
Mar 07, 2014, 54.88, 53.91, 55.13, 53.91, 13.09M
Mar 06, 2014, 54.10, 53.41, 54.49, 53.30, 7.95M
Mar 05, 2014, 53.41, 53.33, 53.58, 52.88, 5.39M
Mar 04, 2014, 53.30, 52.22, 53.55, 52.05, 9.41M
Mar 03, 2014, 52.50, 52.16, 52.83, 52.02, 15.37M
Feb 28, 2014, 52.38, 52.69, 52.88, 51.69, 27.40M
Feb 26, 2014, 52.77, 52.94, 53.33, 52.58, 21.05M
Feb 25, 2014, 52.83, 52.72, 52.99, 52.61, 4.05M
Feb 24, 2014, 52.69, 52.80, 52.80, 52.13, 5.12M
Feb 21, 2014, 52.83, 52.80, 53.05, 52.72, 4.46M
Feb 20, 2014, 52.72, 52.44, 53.02, 52.25, 5.14M
Feb 19, 2014, 52.61, 52.97, 53.13, 52.41, 2.80M
Feb 18, 2014, 53.08, 53.02, 53.27, 52.94, 4.87M
Feb 17, 2014, 52.97, 52.72, 53.13, 52.72, 4.75M
Feb 14, 2014, 52.80, 52.77, 52.86, 52.63, 14.75M
Feb 13, 2014, 52.66, 52.97, 53.16, 52.61, 6.55M
Feb 12, 2014, 53.05, 53.16, 53.41, 52.86, 5.54M
Feb 11, 2014, 52.99, 53.83, 53.99, 52.94, 5.01M
Feb 10, 2014, 53.77, 53.96, 54.32, 53.60, 3.79M
Feb 07, 2014, 54.05, 53.33, 54.24, 53.10, 6.50M
Feb 06, 2014, 53.33, 53.22, 53.49, 52.80, 8.40M
Feb 05, 2014, 53.63, 52.50, 53.69, 52.50, 8.12M
Feb 04, 2014, 52.86, 52.69, 53.33, 52.55, 8.24M
Feb 03, 2014, 52.77, 52.74, 53.58, 52.63, 4.48M
Jan 31, 2014, 52.94, 53.22, 53.22, 52.77, 15.09M
Jan 30, 2014, 52.99, 53.05, 53.38, 52.66, 28.31M
Jan 29, 2014, 53.05, 53.60, 53.74, 52.88, 5.18M
Jan 28, 2014, 53.55, 53.52, 53.77, 53.38, 7.52M
Jan 27, 2014, 53.52, 53.99, 54.82, 53.13, 12.64M
Jan 24, 2014, 54.38, 54.21, 54.71, 54.19, 11.97M
Jan 23, 2014, 54.35, 54.32, 54.57, 54.10, 5.62M
Jan 22, 2014, 54.38, 54.27, 54.82, 54.24, 12.32M
Jan 21, 2014, 54.24, 54.41, 54.74, 54.16, 11.63M
Jan 20, 2014, 54.60, 53.77, 54.82, 53.77, 13.05M
Jan 17, 2014, 53.91, 54.32, 54.46, 53.60, 11.23M
Jan 16, 2014, 54.46, 54.27, 54.68, 54.13, 15.17M
