date, close, open, high, low, volume
Apr 17, 2004, 105.94, 106.15, 106.51, 105.69, 3.29M
Apr 16, 2004, 106.18, 106.15, 107.42, 105.72, 12.23M
Apr 15, 2004, 106.03, 108.57, 109.00, 105.52, 24.03M
Apr 13, 2004, 107.52, 105.78, 108.01, 104.17, 16.37M
Apr 12, 2004, 105.36, 107.94, 107.94, 104.78, 15.47M
Apr 08, 2004, 107.46, 106.90, 108.72, 106.06, 18.73M
Apr 07, 2004, 107.65, 108.75, 108.95, 106.90, 16.79M
Apr 06, 2004, 107.92, 108.03, 109.23, 105.90, 28.84M
Apr 05, 2004, 107.86, 106.34, 109.03, 106.34, 26.15M
Apr 02, 2004, 106.12, 121.91, 121.91, 104.23, 28.77M
Apr 01, 2004, 104.25, 101.09, 104.60, 101.09, 31.27M
Mar 31, 2004, 100.91, 98.85, 101.28, 98.42, 22.16M
Mar 30, 2004, 98.87, 99.42, 100.66, 98.66, 25.70M
Mar 29, 2004, 99.18, 98.68, 100.26, 98.48, 23.06M
Mar 26, 2004, 98.60, 97.14, 99.46, 97.14, 30.48M
Mar 25, 2004, 96.41, 96.22, 97.58, 95.71, 38.81M
Mar 24, 2004, 96.08, 96.03, 96.64, 94.86, 28.61M
Mar 23, 2004, 95.98, 95.46, 97.06, 94.76, 26.81M
Mar 22, 2004, 95.22, 95.48, 98.08, 94.82, 25.99M
Mar 19, 2004, 98.14, 96.96, 99.13, 96.96, 31.64M
Mar 18, 2004, 97.36, 101.65, 102.05, 96.65, 45.16M
Mar 17, 2004, 101.35, 102.21, 103.53, 100.37, 32.35M
Mar 16, 2004, 101.62, 101.28, 104.06, 100.43, 34.37M
Mar 15, 2004, 102.22, 106.35, 106.87, 101.28, 26.75M
Mar 12, 2004, 105.52, 105.87, 106.72, 104.10, 21.85M
Mar 11, 2004, 106.13, 107.28, 108.40, 105.59, 22.53M
Mar 10, 2004, 107.60, 108.97, 109.15, 106.94, 16.44M
Mar 09, 2004, 109.59, 112.53, 112.53, 108.50, 18.44M
Mar 08, 2004, 111.73, 110.28, 112.34, 110.17, 19.62M
Mar 05, 2004, 109.93, 107.09, 110.19, 107.09, 16.70M
Mar 04, 2004, 107.59, 108.40, 109.53, 107.02, 17.16M
Mar 03, 2004, 108.94, 106.74, 109.51, 106.36, 34.39M
Mar 01, 2004, 106.40, 106.72, 106.80, 104.33, 25.18M
Feb 27, 2004, 104.03, 102.32, 104.39, 102.21, 33.36M
Feb 26, 2004, 101.71, 103.90, 105.83, 101.09, 42.33M
Feb 25, 2004, 104.13, 106.90, 106.90, 103.57, 28.11M
Feb 24, 2004, 106.11, 104.18, 106.64, 103.15, 50.69M
Feb 23, 2004, 106.03, 110.47, 111.40, 105.05, 37.92M
Feb 20, 2004, 110.18, 108.99, 111.59, 108.87, 40.53M
Feb 19, 2004, 109.22, 113.49, 114.22, 108.79, 33.73M
Feb 18, 2004, 113.44, 112.88, 114.50, 112.56, 45.57M
Feb 17, 2004, 112.30, 111.05, 113.47, 110.65, 37.24M
Feb 16, 2004, 111.21, 112.16, 112.91, 110.70, 22.99M
Feb 13, 2004, 111.67, 109.93, 112.04, 109.55, 18.87M
Feb 12, 2004, 110.22, 110.70, 111.57, 109.53, 23.91M
Feb 11, 2004, 110.15, 116.28, 116.28, 108.99, 25.08M
Feb 10, 2004, 111.26, 111.03, 112.23, 109.83, 35.73M
Feb 09, 2004, 110.41, 108.50, 110.65, 108.50, 20.15M
Feb 06, 2004, 107.92, 106.67, 108.22, 105.80, 26.44M
Feb 05, 2004, 105.89, 107.75, 108.50, 104.90, 29.16M
Feb 04, 2004, 107.17, 104.16, 107.84, 103.07, 29.77M
Feb 03, 2004, 103.85, 105.40, 105.93, 102.95, 27.92M
Jan 30, 2004, 105.13, 107.37, 108.67, 104.65, 24.91M
Jan 29, 2004, 107.18, 108.97, 109.89, 106.02, 59.73M
Jan 28, 2004, 107.97, 110.28, 110.51, 106.82, 33.73M
Jan 27, 2004, 108.90, 105.41, 109.42, 105.09, 28.56M
Jan 23, 2004, 104.62, 101.09, 105.26, 99.73, 37.54M
Jan 22, 2004, 100.39, 103.72, 107.82, 98.89, 41.26M
Jan 21, 2004, 103.71, 107.14, 108.72, 102.70, 26.13M
Jan 20, 2004, 107.74, 110.47, 112.12, 106.97, 24.43M
Jan 19, 2004, 109.67, 108.99, 110.47, 106.73, 22.50M
Jan 16, 2004, 108.99, 109.72, 110.05, 107.28, 32.54M
Jan 15, 2004, 108.42, 113.19, 113.64, 107.77, 27.15M
Jan 14, 2004, 111.97, 110.65, 112.34, 110.65, 20.63M
Jan 13, 2004, 110.17, 107.51, 110.56, 107.33, 23.71M
Jan 12, 2004, 107.14, 108.40, 109.51, 106.57, 22.57M
Jan 09, 2004, 108.53, 112.53, 113.59, 107.87, 35.38M
Jan 08, 2004, 110.67, 109.72, 112.14, 109.37, 21.56M
Jan 07, 2004, 108.81, 106.94, 109.25, 106.34, 24.00M
Jan 06, 2004, 107.35, 108.97, 110.37, 105.79, 23.40M
Jan 05, 2004, 108.79, 109.72, 110.64, 107.28, 24.63M
