date, close, open, high, low, volume
Feb 13, 1998, 28.29, 28.12, 28.46, 27.96, 12.87M
Feb 12, 1998, 27.99, 28.51, 28.65, 27.82, 26.45M
Feb 11, 1998, 28.60, 29.33, 29.45, 28.31, 16.75M
Feb 10, 1998, 29.51, 29.55, 29.68, 29.33, 12.39M
Feb 09, 1998, 29.64, 29.42, 29.86, 29.27, 15.59M
Feb 06, 1998, 29.33, 29.33, 29.54, 29.13, 12.71M
Feb 05, 1998, 29.29, 28.88, 29.52, 28.88, 16.90M
Feb 04, 1998, 28.94, 29.91, 29.98, 28.76, 22.05M
Feb 03, 1998, 29.85, 29.49, 30.02, 29.19, 24.92M
Feb 02, 1998, 29.40, 29.07, 29.48, 28.90, 19.53M
Jan 30, 1998, 28.92, 28.19, 28.99, 28.09, 24.01M
Jan 29, 1998, 28.08, 27.66, 28.21, 27.58, 13.44M
Jan 28, 1998, 27.79, 28.15, 28.51, 27.50, 25.14M
Jan 27, 1998, 28.41, 29.05, 29.05, 28.17, 20.36M
Jan 23, 1998, 28.96, 29.16, 29.35, 28.85, 14.38M
Jan 22, 1998, 29.25, 29.71, 29.71, 29.13, 13.91M
Jan 21, 1998, 29.78, 29.82, 30.01, 29.65, 12.33M
Jan 20, 1998, 29.71, 30.35, 30.79, 29.45, 21.82M
Jan 19, 1998, 30.20, 29.35, 30.36, 29.08, 24.52M
Jan 16, 1998, 29.48, 29.50, 29.63, 29.17, 13.97M
Jan 15, 1998, 29.33, 28.85, 29.46, 28.70, 19.99M
Jan 14, 1998, 29.04, 30.48, 30.48, 28.79, 28.86M
Jan 13, 1998, 29.61, 29.30, 30.18, 29.30, 24.55M
Jan 12, 1998, 29.33, 30.59, 30.59, 29.09, 33.80M
Jan 09, 1998, 30.76, 31.35, 31.35, 30.58, 30.07M
Jan 08, 1998, 31.56, 32.30, 32.39, 31.37, 32.53M
Jan 07, 1998, 32.40, 32.41, 32.49, 31.73, 29.02M
Jan 06, 1998, 32.08, 32.13, 32.35, 31.66, 19.80M
Jan 05, 1998, 32.34, 31.91, 32.73, 31.91, 26.46M
Jan 02, 1998, 31.75, 31.88, 32.10, 31.65, 13.25M
Jan 01, 1998, 31.74, 31.29, 32.12, 31.12, 24.78M
Dec 31, 1997, 31.45, 30.95, 31.78, 30.95, 17.76M
Dec 30, 1997, 31.05, 31.98, 31.98, 30.81, 20.61M
Dec 29, 1997, 31.78, 31.23, 31.93, 31.23, 23.57M
Dec 26, 1997, 31.23, 30.57, 31.37, 30.48, 27.79M
Dec 24, 1997, 30.50, 30.62, 30.62, 29.96, 20.97M
Dec 23, 1997, 30.86, 30.65, 31.01, 30.55, 24.33M
Dec 22, 1997, 30.52, 30.37, 30.82, 30.21, 26.16M
Dec 19, 1997, 30.15, 29.32, 30.25, 29.16, 36.73M
Dec 18, 1997, 29.48, 29.58, 30.55, 29.28, 39.17M
Dec 17, 1997, 29.47, 29.63, 29.99, 29.10, 21.38M
Dec 16, 1997, 29.30, 29.07, 29.57, 28.56, 40.60M
Dec 15, 1997, 29.00, 28.16, 29.15, 27.69, 51.25M
Dec 12, 1997, 28.22, 29.43, 29.43, 28.10, 54.53M
