date, close, open, high, low, volume
Sep 03, 1999, 34.37, 34.39, 34.88, 34.23, 20.68M
Sep 02, 1999, 34.46, 35.12, 35.12, 34.32, 17.70M
Sep 01, 1999, 35.58, 36.66, 36.83, 35.17, 31.09M
Aug 31, 1999, 36.29, 35.21, 36.54, 34.90, 38.68M
Aug 30, 1999, 35.36, 34.87, 35.92, 34.85, 36.90M
Aug 27, 1999, 34.72, 34.13, 34.96, 34.13, 18.10M
Aug 26, 1999, 33.95, 34.32, 34.32, 33.58, 13.75M
Aug 25, 1999, 33.60, 35.52, 35.52, 32.28, 23.01M
Aug 24, 1999, 34.74, 35.03, 35.07, 34.44, 35.67M
Aug 23, 1999, 35.10, 33.38, 35.38, 33.38, 57.14M
Aug 20, 1999, 32.76, 32.63, 33.06, 32.32, 12.17M
Aug 19, 1999, 32.70, 33.10, 33.65, 32.55, 22.90M
Aug 18, 1999, 32.93, 32.73, 33.25, 32.49, 29.96M
Aug 17, 1999, 32.02, 32.14, 32.35, 31.80, 18.42M
Aug 16, 1999, 32.00, 31.49, 32.44, 31.47, 21.68M
Aug 13, 1999, 31.40, 32.05, 32.15, 31.32, 14.07M
Aug 12, 1999, 31.74, 32.00, 32.52, 31.57, 14.67M
Aug 11, 1999, 32.22, 32.07, 32.62, 31.79, 17.45M
Aug 10, 1999, 32.52, 33.01, 33.01, 32.28, 22.57M
Aug 09, 1999, 33.11, 33.16, 33.48, 32.86, 19.02M
Aug 06, 1999, 33.16, 33.56, 33.57, 33.05, 17.08M
Aug 05, 1999, 33.61, 33.76, 34.74, 33.46, 34.45M
Aug 04, 1999, 33.64, 33.07, 33.82, 32.46, 27.12M
Aug 03, 1999, 32.55, 32.82, 33.07, 32.27, 31.03M
Aug 02, 1999, 33.07, 33.40, 33.40, 32.82, 22.51M
Jul 30, 1999, 33.59, 33.37, 33.93, 32.92, 31.08M
Jul 29, 1999, 33.72, 33.18, 33.99, 32.55, 40.84M
Jul 28, 1999, 32.83, 32.34, 33.32, 32.28, 33.20M
Jul 27, 1999, 32.03, 32.22, 32.73, 31.91, 28.88M
Jul 26, 1999, 32.42, 33.28, 33.29, 32.21, 18.50M
Jul 23, 1999, 33.32, 33.81, 34.02, 33.20, 25.75M
Jul 22, 1999, 33.86, 34.11, 34.55, 33.68, 23.75M
Jul 21, 1999, 34.03, 33.38, 34.50, 32.92, 33.21M
Jul 20, 1999, 33.42, 34.33, 34.58, 33.20, 37.25M
Jul 19, 1999, 34.76, 35.04, 35.43, 34.54, 30.19M
Jul 16, 1999, 34.75, 35.10, 35.69, 34.51, 39.00M
Jul 15, 1999, 34.82, 36.67, 37.21, 34.17, 53.33M
Jul 14, 1999, 36.40, 36.19, 36.67, 35.64, 51.80M
Jul 13, 1999, 35.87, 35.26, 37.47, 35.18, 79.34M
Jul 12, 1999, 35.12, 34.29, 35.26, 34.29, 39.59M
Jul 09, 1999, 33.78, 33.78, 34.21, 32.93, 52.20M
Jul 08, 1999, 33.98, 34.70, 35.05, 33.82, 49.22M
Jul 07, 1999, 34.74, 35.26, 35.41, 34.57, 31.48M
Jul 06, 1999, 35.11, 34.82, 35.44, 34.78, 30.74M
Jul 05, 1999, 35.06, 34.08, 35.33, 34.08, 36.36M
Jul 02, 1999, 33.83, 32.91, 34.20, 32.90, 58.70M
Jul 01, 1999, 32.71, 33.23, 33.29, 32.53, 31.71M
Jun 30, 1999, 33.28, 33.10, 33.47, 32.37, 42.04M
Jun 29, 1999, 32.83, 33.38, 33.52, 32.67, 40.01M
Jun 28, 1999, 33.37, 33.53, 33.99, 33.26, 31.08M
Jun 25, 1999, 33.33, 34.12, 34.58, 33.20, 38.95M
Jun 24, 1999, 33.88, 33.78, 34.48, 32.18, 47.46M
Jun 23, 1999, 34.09, 35.28, 35.33, 33.83, 45.54M
Jun 22, 1999, 34.97, 35.57, 35.93, 34.61, 40.71M
Jun 21, 1999, 35.30, 34.60, 35.73, 34.52, 44.08M
Jun 18, 1999, 34.35, 34.69, 34.88, 34.23, 35.01M
Jun 17, 1999, 34.60, 34.55, 35.26, 34.23, 50.08M
Jun 16, 1999, 34.17, 33.18, 34.60, 32.47, 48.71M
Jun 15, 1999, 32.48, 33.02, 33.95, 32.11, 46.51M
Jun 14, 1999, 33.23, 33.74, 36.79, 31.94, 36.85M
Jun 11, 1999, 34.26, 35.48, 35.53, 34.07, 42.95M
Jun 10, 1999, 35.47, 35.41, 36.10, 35.18, 63.79M
Jun 09, 1999, 35.25, 35.63, 36.01, 34.91, 50.33M
Jun 08, 1999, 36.57, 33.76, 36.57, 33.24, 45.38M
Jun 07, 1999, 33.91, 34.32, 34.47, 33.41, 36.79M
Jun 04, 1999, 34.51, 34.32, 34.78, 33.87, 50.05M
Jun 03, 1999, 33.38, 33.19, 33.92, 32.88, 56.65M
Jun 02, 1999, 32.66, 31.60, 32.71, 30.96, 53.51M
Jun 01, 1999, 31.14, 31.53, 32.91, 31.04, 54.57M
May 31, 1999, 31.40, 30.14, 31.40, 30.04, 40.86M
May 28, 1999, 29.07, 29.35, 29.42, 27.40, 53.94M
May 27, 1999, 28.92, 30.43, 31.32, 28.92, 40.01M
May 26, 1999, 30.75, 32.07, 32.49, 30.11, 60.10M
May 25, 1999, 31.88, 31.51, 32.68, 31.15, 53.68M
May 24, 1999, 31.33, 30.81, 32.07, 30.33, 42.85M
May 21, 1999, 31.34, 33.57, 33.68, 30.95, 48.52M
May 20, 1999, 32.93, 34.34, 34.87, 32.93, 54.76M
May 19, 1999, 34.42, 34.13, 35.34, 33.76, 64.38M
May 18, 1999, 34.59, 34.13, 35.79, 33.58, 71.73M
May 17, 1999, 33.56, 33.78, 34.51, 31.75, 79.15M
May 14, 1999, 34.34, 31.93, 34.34, 31.46, 87.68M
May 13, 1999, 31.79, 30.76, 31.95, 30.43, 57.73M
May 12, 1999, 29.82, 31.70, 31.78, 28.76, 68.97M
May 11, 1999, 31.25, 29.07, 31.25, 28.93, 57.80M
May 10, 1999, 28.93, 29.05, 29.23, 28.52, 25.93M
May 07, 1999, 28.53, 28.81, 29.45, 28.33, 38.44M
May 06, 1999, 28.21, 27.72, 28.29, 27.19, 37.44M
May 05, 1999, 27.61, 26.82, 28.48, 26.82, 46.34M
May 04, 1999, 27.24, 25.31, 27.24, 25.27, 30.03M
May 03, 1999, 25.22, 25.59, 25.85, 25.18, 20.02M
Apr 30, 1999, 25.44, 25.39, 25.87, 25.01, 33.83M
Apr 29, 1999, 25.12, 23.30, 25.12, 23.30, 43.73M
Apr 28, 1999, 23.26, 22.43, 23.30, 22.43, 16.00M
Apr 26, 1999, 22.35, 22.88, 23.07, 22.35, 26.69M
Apr 23, 1999, 23.73, 23.87, 24.01, 23.16, 23.50M
Apr 22, 1999, 23.63, 24.42, 24.89, 23.26, 31.94M
Apr 21, 1999, 24.45, 24.88, 25.07, 24.26, 16.04M
Apr 20, 1999, 24.89, 24.42, 24.94, 24.05, 24.73M
Apr 19, 1999, 24.22, 23.06, 24.72, 22.80, 31.13M
Apr 17, 1999, 22.88, 24.75, 25.66, 21.87, 49.40M
Apr 16, 1999, 23.76, 22.13, 23.76, 22.13, 10.89M
Apr 15, 1999, 22.00, 21.77, 22.25, 21.77, 11.05M
Apr 13, 1999, 22.60, 22.37, 22.97, 22.37, 15.30M
Apr 12, 1999, 22.62, 22.51, 22.86, 22.14, 9.81M
Apr 09, 1999, 22.62, 23.27, 23.39, 22.41, 13.29M
Apr 08, 1999, 23.31, 23.58, 23.98, 23.17, 17.04M
Apr 07, 1999, 23.53, 23.49, 23.95, 23.17, 16.28M
Apr 06, 1999, 23.64, 22.32, 24.18, 22.08, 23.79M
Apr 05, 1999, 22.67, 23.63, 23.92, 22.66, 18.61M
Apr 01, 1999, 24.63, 24.55, 25.15, 24.29, 19.15M
Mar 31, 1999, 24.46, 24.19, 24.84, 24.03, 18.88M
Mar 30, 1999, 23.17, 22.48, 23.17, 22.02, 29.79M
Mar 26, 1999, 22.87, 23.17, 23.48, 22.65, 16.84M
Mar 25, 1999, 23.36, 23.82, 24.06, 23.27, 13.58M
Mar 24, 1999, 23.94, 24.30, 25.47, 23.09, 32.99M
Mar 23, 1999, 24.00, 24.08, 24.19, 23.73, 23.60M
Mar 22, 1999, 24.08, 24.59, 24.76, 23.76, 15.26M
