date, close, open, high, low, volume
Apr 09, 2019, 618.20, 629.50, 629.50, 615.00, 391.98K
Apr 08, 2019, 619.80, 611.00, 628.00, 610.55, 1.18M
Apr 05, 2019, 612.10, 598.00, 613.90, 596.10, 855.08K
Apr 04, 2019, 594.70, 603.90, 603.90, 590.00, 1.06M
Apr 03, 2019, 601.95, 600.00, 615.00, 595.00, 999.88K
Apr 02, 2019, 601.15, 600.00, 603.90, 591.05, 687.70K
Apr 01, 2019, 598.20, 584.90, 599.90, 583.40, 954.00K
Mar 29, 2019, 583.40, 614.00, 614.00, 581.60, 6.79M
Mar 28, 2019, 616.20, 620.00, 624.80, 613.60, 89.91K
Mar 27, 2019, 618.70, 607.45, 620.80, 607.45, 302.38K
Mar 26, 2019, 609.60, 612.00, 617.90, 606.80, 167.51K
Mar 25, 2019, 611.05, 602.05, 616.95, 602.05, 93.19K
Mar 22, 2019, 615.50, 610.00, 619.00, 605.00, 741.22K
Mar 20, 2019, 612.85, 613.85, 620.00, 607.60, 816.54K
Mar 19, 2019, 611.90, 613.00, 622.75, 602.00, 1.04M
Mar 18, 2019, 610.80, 616.05, 620.90, 606.05, 91.44K
Mar 15, 2019, 615.05, 613.10, 619.75, 611.00, 505.84K
Mar 14, 2019, 614.90, 619.00, 620.95, 611.00, 233.68K
Mar 13, 2019, 615.35, 618.00, 621.50, 610.20, 253.42K
Mar 12, 2019, 622.90, 623.00, 634.90, 612.00, 398.86K
Mar 11, 2019, 622.45, 589.75, 626.40, 587.40, 693.31K
Mar 08, 2019, 587.15, 587.00, 596.40, 585.40, 195.82K
Mar 07, 2019, 592.10, 610.00, 612.40, 590.00, 326.65K
Mar 06, 2019, 607.95, 608.00, 621.80, 602.00, 594.25K
Mar 05, 2019, 607.75, 599.00, 617.00, 596.10, 967.32K
Mar 01, 2019, 607.90, 581.95, 622.10, 515.55, 11.51M
Feb 28, 2019, 578.55, 565.00, 582.00, 565.00, 232.36K
Feb 27, 2019, 563.30, 563.00, 565.95, 561.10, 91.91K
Feb 26, 2019, 559.40, 561.00, 564.00, 555.00, 205.33K
Feb 25, 2019, 561.00, 563.00, 564.85, 555.35, 256.24K
Feb 22, 2019, 559.85, 565.25, 570.00, 556.75, 207.75K
Feb 21, 2019, 561.90, 562.00, 565.70, 560.00, 97.42K
Feb 20, 2019, 561.60, 564.60, 571.10, 556.00, 1.16M
Feb 19, 2019, 562.45, 573.65, 573.65, 560.90, 91.48K
Feb 18, 2019, 567.45, 569.50, 572.10, 563.30, 33.96K
Feb 15, 2019, 568.85, 568.55, 575.80, 562.00, 72.42K
Feb 14, 2019, 568.55, 569.90, 574.50, 564.90, 24.24K
Feb 13, 2019, 569.85, 574.00, 579.95, 564.00, 310.41K
Feb 12, 2019, 574.70, 569.85, 585.65, 562.10, 288.10K
Feb 11, 2019, 566.85, 576.00, 579.10, 561.05, 339.88K
Feb 08, 2019, 577.55, 577.25, 583.95, 575.00, 130.41K
Feb 07, 2019, 577.25, 580.00, 584.40, 575.05, 570.25K
Feb 06, 2019, 579.40, 585.00, 590.00, 575.00, 690.81K
Feb 05, 2019, 584.00, 589.75, 594.00, 582.00, 53.62K
Feb 04, 2019, 589.75, 594.00, 599.00, 571.10, 146.25K
Feb 01, 2019, 590.95, 600.00, 604.00, 588.10, 546.77K
Jan 31, 2019, 595.00, 600.50, 607.75, 593.70, 780.41K
Jan 30, 2019, 599.95, 607.00, 616.40, 596.00, 260.75K
Jan 29, 2019, 606.10, 600.10, 617.95, 595.70, 302.01K
Jan 28, 2019, 599.25, 621.00, 624.45, 595.25, 285.38K
Jan 25, 2019, 619.60, 627.45, 633.00, 615.65, 222.75K
Jan 24, 2019, 618.25, 620.00, 629.40, 615.10, 129.34K
Jan 23, 2019, 620.00, 623.00, 628.90, 612.20, 159.26K
Jan 22, 2019, 619.90, 620.00, 629.80, 611.70, 95.58K
Jan 21, 2019, 617.65, 625.00, 644.70, 612.50, 427.43K
Jan 18, 2019, 620.20, 627.00, 629.50, 615.00, 107.50K
Jan 17, 2019, 623.35, 621.50, 633.55, 618.00, 377.00K
Jan 16, 2019, 621.40, 622.50, 630.30, 618.00, 440.00K
Jan 15, 2019, 623.90, 624.00, 631.15, 620.00, 68.67K
Jan 14, 2019, 620.10, 633.00, 636.65, 618.25, 366.02K
Jan 11, 2019, 638.50, 635.00, 643.00, 630.00, 172.00K
Jan 10, 2019, 634.75, 642.10, 648.40, 631.00, 165.68K
Jan 09, 2019, 642.95, 615.00, 649.75, 615.00, 304.73K
Jan 08, 2019, 612.50, 600.00, 626.90, 600.00, 214.73K
Jan 07, 2019, 602.45, 602.85, 608.85, 597.70, 316.22K
Jan 04, 2019, 602.85, 603.00, 615.00, 600.00, 119.06K
Jan 03, 2019, 600.05, 598.40, 603.00, 590.00, 415.47K
Jan 02, 2019, 601.70, 593.40, 604.00, 593.40, 115.28K
Jan 01, 2019, 598.85, 595.25, 601.80, 592.20, 40.90K
Dec 31, 2018, 597.85, 595.00, 605.80, 595.00, 169.94K
Dec 28, 2018, 598.80, 600.00, 605.00, 587.25, 519.52K
Dec 27, 2018, 590.60, 544.00, 605.00, 540.35, 926.44K
Dec 26, 2018, 574.85, 576.00, 584.00, 570.15, 81.52K
Dec 24, 2018, 579.45, 584.90, 589.60, 576.55, 144.40K
Dec 21, 2018, 597.50, 593.15, 605.55, 577.30, 2.03M
Dec 20, 2018, 592.45, 580.60, 596.00, 575.65, 134.27K
Dec 19, 2018, 583.05, 590.95, 590.95, 577.65, 155.30K
Dec 18, 2018, 587.60, 598.00, 607.15, 576.35, 413.78K
Dec 17, 2018, 589.80, 567.00, 594.00, 567.00, 230.21K
Dec 14, 2018, 567.00, 571.00, 574.80, 550.50, 98.36K
Dec 13, 2018, 571.00, 574.95, 575.00, 562.25, 151.32K
Dec 12, 2018, 570.25, 567.75, 572.00, 562.80, 72.60K
Dec 11, 2018, 562.65, 556.15, 565.95, 556.15, 104.98K
Dec 10, 2018, 562.45, 558.00, 570.00, 555.00, 114.91K
