date, close, open, high, low, volume
Apr 25, 1996, 29.86, 31.23, 31.89, 29.15, 131.87M
Apr 24, 1996, 30.06, 29.25, 30.19, 29.25, 101.32M
Apr 23, 1996, 28.49, 28.42, 29.01, 28.14, 156.81M
Apr 22, 1996, 28.79, 29.62, 29.65, 28.59, 120.43M
Apr 19, 1996, 29.07, 28.59, 29.69, 28.44, 129.49M
Apr 18, 1996, 28.43, 27.55, 28.59, 27.47, 100.40M
Apr 17, 1996, 27.00, 26.98, 27.17, 26.65, 63.56M
Apr 16, 1996, 26.80, 26.09, 27.36, 25.99, 96.69M
Apr 15, 1996, 26.09, 25.84, 26.45, 25.70, 88.44M
Apr 12, 1996, 25.34, 24.81, 25.42, 24.63, 68.63M
Apr 11, 1996, 24.75, 24.53, 24.94, 24.41, 76.35M
Apr 10, 1996, 24.80, 25.09, 25.42, 24.64, 70.03M
Apr 09, 1996, 25.21, 25.28, 26.08, 24.63, 123.82M
Apr 08, 1996, 25.04, 24.62, 25.33, 24.39, 67.40M
Apr 04, 1996, 23.78, 23.77, 23.84, 23.45, 40.71M
Apr 03, 1996, 23.85, 23.87, 24.29, 23.77, 48.64M
Apr 02, 1996, 23.53, 23.12, 23.87, 22.51, 53.72M
Apr 01, 1996, 22.81, 21.70, 22.92, 21.70, 40.14M
Mar 29, 1996, 22.21, 22.31, 22.41, 22.03, 21.25M
Mar 28, 1996, 22.17, 21.85, 23.11, 21.85, 15.46M
Mar 27, 1996, 21.81, 21.70, 22.03, 21.70, 14.68M
Mar 26, 1996, 21.42, 21.59, 21.70, 20.92, 24.04M
Mar 25, 1996, 21.58, 21.60, 21.88, 21.48, 22.53M
Mar 22, 1996, 21.44, 21.44, 21.60, 21.06, 23.18M
Mar 21, 1996, 21.67, 21.42, 21.84, 21.42, 13.65M
Mar 19, 1996, 21.01, 21.60, 21.87, 20.47, 35.59M
Mar 18, 1996, 21.60, 21.98, 22.12, 21.53, 27.17M
Mar 15, 1996, 22.18, 22.55, 22.59, 22.12, 29.07M
Mar 14, 1996, 22.59, 22.69, 22.89, 22.46, 36.35M
Mar 13, 1996, 22.61, 22.07, 22.68, 21.96, 27.42M
Mar 12, 1996, 22.08, 22.09, 22.18, 21.89, 27.43M
Mar 11, 1996, 22.11, 22.17, 22.36, 21.84, 39.11M
Mar 08, 1996, 22.63, 22.65, 22.73, 22.27, 39.64M
Mar 07, 1996, 22.84, 23.11, 23.32, 22.76, 31.31M
Mar 06, 1996, 22.99, 22.75, 23.10, 22.69, 22.16M
Mar 04, 1996, 22.72, 23.02, 23.11, 22.17, 40.62M
Mar 01, 1996, 22.95, 22.92, 23.15, 22.64, 49.60M
Feb 29, 1996, 22.67, 23.68, 23.77, 22.36, 71.04M
Feb 28, 1996, 23.83, 24.15, 24.34, 23.78, 36.61M
Feb 27, 1996, 23.80, 23.96, 24.10, 23.49, 62.66M
Feb 26, 1996, 23.84, 23.77, 24.37, 23.69, 72.01M
Feb 23, 1996, 23.23, 22.92, 23.35, 22.58, 46.66M
Feb 22, 1996, 22.89, 22.68, 22.97, 22.55, 21.64M
Feb 20, 1996, 22.27, 23.02, 23.04, 22.09, 30.56M
Feb 19, 1996, 22.99, 22.92, 23.30, 22.88, 29.20M
Feb 16, 1996, 22.83, 23.20, 23.25, 22.67, 41.12M
Feb 15, 1996, 23.38, 23.40, 23.77, 23.14, 40.67M
Feb 14, 1996, 23.51, 23.68, 24.04, 23.40, 52.26M
Feb 13, 1996, 22.84, 22.67, 23.10, 22.03, 83.72M
Feb 12, 1996, 22.72, 23.87, 24.26, 22.45, 81.62M
Feb 09, 1996, 24.14, 22.76, 24.46, 22.35, 74.59M
Feb 08, 1996, 22.54, 21.99, 22.90, 21.58, 52.80M
Feb 07, 1996, 21.92, 21.59, 22.36, 20.76, 67.49M
Feb 06, 1996, 22.31, 22.45, 23.16, 21.79, 147.36M
Feb 05, 1996, 22.12, 21.09, 22.88, 21.09, 160.96M
