date, close, open, high, low, volume
Feb 13, 1998, 22.67, 22.42, 22.74, 22.32, 22.63M
Feb 12, 1998, 22.36, 22.15, 22.41, 22.10, 22.38M
Feb 11, 1998, 22.20, 22.45, 22.58, 22.15, 33.63M
Feb 10, 1998, 22.49, 22.70, 22.73, 22.41, 24.43M
Feb 09, 1998, 22.81, 22.74, 22.89, 22.67, 18.26M
Feb 06, 1998, 22.84, 22.63, 23.00, 22.62, 32.22M
Feb 05, 1998, 22.58, 22.64, 22.92, 22.46, 40.87M
Feb 04, 1998, 22.55, 23.16, 23.21, 22.43, 53.26M
Feb 03, 1998, 23.08, 23.31, 23.40, 22.98, 30.89M
Feb 02, 1998, 23.29, 23.11, 23.39, 22.98, 37.23M
Jan 30, 1998, 23.07, 22.44, 23.16, 22.42, 50.43M
Jan 29, 1998, 22.35, 22.10, 22.43, 21.93, 37.75M
Jan 28, 1998, 22.21, 22.55, 22.61, 22.03, 49.12M
Jan 27, 1998, 22.69, 23.09, 23.09, 22.52, 44.59M
Jan 23, 1998, 22.92, 22.76, 23.09, 22.61, 55.70M
Jan 22, 1998, 22.79, 23.51, 23.51, 22.67, 68.86M
Jan 21, 1998, 23.64, 23.77, 23.95, 23.52, 43.30M
Jan 20, 1998, 23.92, 24.34, 24.49, 23.71, 78.93M
Jan 19, 1998, 24.30, 23.29, 24.36, 23.29, 106.41M
Jan 16, 1998, 23.11, 22.41, 23.26, 22.21, 119.53M
Jan 15, 1998, 22.25, 21.82, 22.36, 21.69, 64.75M
Jan 14, 1998, 21.92, 22.29, 22.59, 21.59, 56.44M
Jan 13, 1998, 22.17, 21.77, 22.34, 21.77, 53.93M
Jan 12, 1998, 21.64, 21.93, 21.93, 21.42, 62.95M
Jan 09, 1998, 22.07, 22.36, 22.36, 21.75, 90.99M
Jan 08, 1998, 22.51, 23.23, 23.30, 22.37, 79.62M
Jan 07, 1998, 23.38, 23.30, 23.76, 23.08, 58.68M
Jan 06, 1998, 23.38, 23.18, 23.51, 22.86, 55.80M
Jan 05, 1998, 23.36, 23.67, 23.79, 23.26, 43.22M
Jan 02, 1998, 23.50, 23.30, 23.59, 23.28, 33.28M
Jan 01, 1998, 23.24, 22.93, 23.34, 22.85, 37.38M
Dec 31, 1997, 23.11, 22.76, 23.33, 22.58, 71.99M
Dec 30, 1997, 22.64, 22.90, 23.01, 22.41, 48.86M
Dec 29, 1997, 22.83, 22.74, 22.90, 22.58, 48.67M
Dec 26, 1997, 22.66, 21.98, 22.73, 21.94, 72.03M
Dec 24, 1997, 21.88, 21.88, 21.93, 21.47, 46.01M
Dec 23, 1997, 22.13, 21.99, 22.26, 21.86, 52.01M
Dec 22, 1997, 21.92, 21.41, 22.16, 21.37, 59.29M
Dec 19, 1997, 21.25, 20.96, 21.32, 20.82, 44.91M
Dec 18, 1997, 21.02, 21.17, 21.46, 20.97, 58.31M
Dec 17, 1997, 21.12, 21.18, 21.26, 20.85, 42.03M
Dec 16, 1997, 20.90, 20.24, 21.09, 20.24, 69.53M
Dec 15, 1997, 20.17, 19.92, 20.23, 19.77, 28.59M
Dec 12, 1997, 19.93, 19.90, 20.31, 19.63, 64.41M
Dec 11, 1997, 19.88, 19.58, 20.05, 19.11, 88.22M
Dec 10, 1997, 19.60, 19.82, 20.14, 19.35, 77.12M
Dec 09, 1997, 20.12, 20.54, 20.56, 19.65, 72.52M
Dec 08, 1997, 20.53, 20.15, 20.65, 19.75, 84.74M
Dec 05, 1997, 20.10, 20.57, 20.88, 19.87, 85.79M
Dec 04, 1997, 20.43, 20.76, 21.13, 20.29, 58.78M
Dec 03, 1997, 20.92, 21.09, 21.29, 20.81, 36.69M
Dec 02, 1997, 21.36, 21.59, 21.84, 20.85, 87.61M
Dec 01, 1997, 21.42, 20.52, 21.60, 20.47, 85.61M
Nov 28, 1997, 20.66, 21.19, 21.19, 20.45, 79.93M
Nov 27, 1997, 21.34, 20.34, 21.45, 20.24, 94.28M
Nov 26, 1997, 20.45, 21.69, 21.70, 20.20, 75.28M
Nov 25, 1997, 20.80, 20.28, 21.03, 19.51, 130.80M
Nov 24, 1997, 20.85, 22.27, 22.36, 20.85, 79.43M
Nov 21, 1997, 22.42, 22.35, 23.10, 22.22, 69.02M
Nov 20, 1997, 22.46, 22.38, 22.64, 21.90, 43.77M
Nov 19, 1997, 22.43, 22.45, 22.77, 22.12, 51.32M
Nov 18, 1997, 22.96, 23.30, 23.30, 22.72, 46.73M
Nov 17, 1997, 23.31, 23.19, 23.49, 22.74, 56.68M
Nov 13, 1997, 22.98, 23.82, 23.86, 22.69, 87.34M
Nov 12, 1997, 23.97, 24.53, 24.58, 23.89, 36.77M
Nov 11, 1997, 24.55, 24.25, 24.67, 24.22, 31.94M
Nov 10, 1997, 24.25, 24.20, 24.39, 24.11, 20.69M
Nov 07, 1997, 24.33, 24.37, 24.50, 24.20, 26.38M
Nov 06, 1997, 24.51, 24.35, 24.61, 23.93, 42.58M
Nov 05, 1997, 24.44, 24.58, 24.71, 24.20, 32.92M
Nov 04, 1997, 24.51, 24.43, 24.80, 24.08, 51.47M
Nov 03, 1997, 24.30, 25.00, 25.28, 23.80, 50.15M
Oct 30, 1997, 24.76, 25.38, 25.38, 24.54, 22.14M
Oct 29, 1997, 25.38, 24.04, 25.76, 24.04, 64.95M
Oct 28, 1997, 23.45, 25.80, 25.80, 23.28, 88.04M
Oct 27, 1997, 25.85, 25.66, 26.16, 25.48, 48.43M
Oct 24, 1997, 25.72, 25.80, 25.92, 25.25, 57.45M
Oct 23, 1997, 25.94, 26.57, 27.14, 25.67, 64.23M
Oct 22, 1997, 26.73, 27.21, 27.50, 26.66, 57.17M
Oct 21, 1997, 27.00, 27.84, 27.88, 26.54, 80.34M
Oct 20, 1997, 27.80, 27.19, 27.98, 27.19, 70.94M
Oct 17, 1997, 27.30, 27.64, 27.73, 27.09, 65.71M
Oct 16, 1997, 27.52, 26.76, 27.69, 26.42, 99.29M
Oct 15, 1997, 26.41, 26.23, 26.59, 26.14, 28.84M
Oct 14, 1997, 25.92, 26.63, 26.75, 25.48, 41.69M
Oct 13, 1997, 26.60, 27.07, 27.55, 26.51, 63.35M
Oct 10, 1997, 26.92, 25.99, 27.12, 25.94, 94.05M
Oct 09, 1997, 25.92, 25.42, 25.97, 25.33, 37.67M
Oct 01, 1997, 25.68, 26.09, 26.09, 25.36, 41.59M
Sep 30, 1997, 26.04, 26.23, 26.26, 25.97, 28.42M
Sep 29, 1997, 26.26, 26.13, 26.57, 25.96, 46.02M
Sep 26, 1997, 25.91, 26.11, 26.32, 25.87, 40.08M
Sep 25, 1997, 25.99, 25.59, 26.04, 25.57, 39.74M
Sep 24, 1997, 25.78, 26.26, 26.35, 25.71, 39.39M
Sep 23, 1997, 25.68, 25.48, 25.84, 25.40, 38.57M
Sep 22, 1997, 25.56, 25.97, 26.04, 25.50, 34.83M
