date, close, open, high, low, volume
Sep 03, 1999, 21.10, 20.90, 21.44, 20.90, 42.17M
Sep 02, 1999, 21.05, 21.56, 21.56, 20.67, 79.01M
Sep 01, 1999, 21.84, 22.90, 23.02, 21.56, 77.08M
Aug 31, 1999, 22.56, 23.11, 23.20, 22.36, 42.16M
Aug 30, 1999, 23.08, 22.74, 23.67, 22.74, 60.23M
Aug 27, 1999, 22.45, 22.63, 22.83, 22.37, 21.31M
Aug 26, 1999, 22.49, 22.83, 22.87, 22.19, 34.48M
Aug 25, 1999, 22.55, 23.77, 24.53, 21.85, 71.42M
Aug 24, 1999, 23.41, 23.02, 23.65, 23.02, 37.82M
Aug 23, 1999, 23.09, 23.49, 23.92, 22.92, 46.58M
Aug 20, 1999, 23.13, 23.07, 23.29, 22.81, 19.71M
Aug 19, 1999, 23.25, 23.45, 24.13, 23.14, 46.61M
Aug 18, 1999, 23.27, 22.97, 23.40, 22.84, 29.63M
Aug 17, 1999, 22.47, 22.59, 22.81, 22.36, 20.96M
Aug 16, 1999, 22.51, 22.25, 22.73, 22.25, 24.23M
Aug 13, 1999, 22.30, 22.83, 22.88, 22.22, 27.88M
Aug 12, 1999, 22.66, 22.12, 22.92, 22.03, 41.11M
Aug 11, 1999, 22.07, 21.60, 22.34, 21.60, 19.46M
Aug 10, 1999, 22.54, 22.36, 22.91, 21.99, 37.58M
Aug 09, 1999, 22.41, 22.36, 23.15, 22.18, 52.38M
Aug 06, 1999, 22.48, 22.67, 22.67, 22.23, 28.62M
Aug 05, 1999, 22.82, 23.49, 23.58, 22.65, 32.55M
Aug 04, 1999, 23.52, 23.02, 23.68, 22.92, 56.23M
Aug 03, 1999, 22.67, 22.42, 23.10, 22.18, 40.26M
Aug 02, 1999, 22.58, 23.13, 23.13, 22.45, 32.76M
Jul 30, 1999, 23.37, 23.87, 24.06, 23.03, 62.97M
Jul 29, 1999, 24.38, 24.35, 24.71, 24.07, 33.94M
Jul 28, 1999, 24.49, 24.70, 25.17, 24.25, 51.41M
Jul 27, 1999, 24.34, 24.91, 25.08, 24.20, 49.69M
Jul 26, 1999, 25.04, 25.58, 25.58, 24.62, 44.91M
Jul 23, 1999, 25.82, 26.79, 26.90, 25.66, 80.33M
