date, close, open, high, low, volume
Apr 25, 1996, 1.88, 1.88, 1.89, 1.85, 251.35K
Apr 24, 1996, 1.88, 1.85, 1.92, 1.85, 396.87K
Apr 23, 1996, 1.83, 1.84, 1.84, 1.82, 132.29K
Apr 22, 1996, 1.86, 1.88, 1.92, 1.83, 529.16K
Apr 19, 1996, 1.88, 1.85, 1.90, 1.84, 542.39K
Apr 18, 1996, 1.85, 1.79, 1.87, 1.79, 264.58K
Apr 17, 1996, 1.79, 1.76, 1.79, 1.76, 92.60K
Apr 16, 1996, 1.77, 1.74, 1.77, 1.74, 198.43K
Apr 15, 1996, 1.74, 1.73, 1.75, 1.73, 52.92K
Apr 12, 1996, 1.75, 1.74, 1.75, 1.73, 251.35K
Apr 11, 1996, 1.77, 1.79, 1.79, 1.75, 92.60K
Apr 10, 1996, 1.80, 1.81, 1.81, 1.80, 132.29K
Apr 09, 1996, 1.82, 1.82, 1.83, 1.79, 423.33K
Apr 08, 1996, 1.82, 1.79, 1.83, 1.79, 568.84K
Apr 04, 1996, 1.82, 1.82, 1.83, 1.81, 171.98K
Apr 03, 1996, 1.83, 1.83, 1.83, 1.81, 79.37K
Apr 02, 1996, 1.83, 1.79, 1.85, 1.79, 383.64K
Apr 01, 1996, 1.81, 1.81, 1.81, 1.81, 66.14K
Mar 29, 1996, 1.81, 1.80, 1.81, 1.79, 79.37K
Mar 28, 1996, 1.80, 1.79, 1.80, 1.79, 92.60K
Mar 27, 1996, 1.79, 1.79, 1.79, 1.79, 92.60K
Mar 26, 1996, 1.78, 1.76, 1.78, 1.75, 66.14K
Mar 25, 1996, 1.76, 1.76, 1.76, 1.75, 66.14K
Mar 22, 1996, 1.77, 1.77, 1.77, 1.77, 145.52K
Mar 21, 1996, 1.76, 1.76, 1.76, 1.75, 132.29K
Mar 19, 1996, 1.77, 1.77, 1.79, 1.75, 277.81K
Mar 18, 1996, 1.77, 1.78, 1.78, 1.77, 185.20K
Mar 15, 1996, 1.79, 1.79, 1.79, 1.77, 66.14K
Mar 14, 1996, 1.79, 1.79, 1.82, 1.79, 132.29K
Mar 13, 1996, 1.79, 1.78, 1.80, 1.78, 79.37K
Mar 12, 1996, 1.77, 1.79, 1.79, 1.77, 132.29K
Mar 11, 1996, 1.80, 1.82, 1.82, 1.77, 158.75K
Mar 08, 1996, 1.78, 1.73, 1.80, 1.73, 634.99K
Mar 07, 1996, 1.80, 1.83, 1.83, 1.80, 39.69K
Mar 06, 1996, 1.86, 1.89, 1.89, 1.86, 185.20K
Mar 04, 1996, 1.90, 1.89, 1.92, 1.89, 1.71M
Mar 01, 1996, 1.89, 1.89, 1.90, 1.89, 965.71K
Feb 29, 1996, 1.89, 1.89, 1.90, 1.89, 1.12M
Feb 28, 1996, 1.89, 1.89, 1.90, 1.89, 555.61K
Feb 27, 1996, 1.89, 1.89, 1.89, 1.89, 1.24M
Feb 26, 1996, 1.89, 1.89, 1.90, 1.89, 370.41K
Feb 23, 1996, 1.89, 1.89, 1.90, 1.89, 3.15M
Feb 22, 1996, 1.89, 1.89, 1.90, 1.86, 582.07K
Feb 20, 1996, 1.89, 1.86, 1.92, 1.85, 806.96K
Feb 19, 1996, 1.86, 1.83, 1.86, 1.82, 912.79K
Feb 16, 1996, 1.86, 1.79, 1.87, 1.79, 1.46M
Feb 15, 1996, 1.78, 1.75, 1.82, 1.75, 370.41K
Feb 14, 1996, 1.78, 1.70, 1.79, 1.70, 502.70K
Feb 13, 1996, 1.71, 1.68, 1.72, 1.65, 515.93K
Feb 12, 1996, 1.68, 1.69, 1.71, 1.65, 277.81K
Feb 09, 1996, 1.72, 1.65, 1.72, 1.63, 383.64K
Feb 08, 1996, 1.61, 1.55, 1.62, 1.55, 357.18K
Feb 07, 1996, 1.55, 1.52, 1.55, 1.50, 145.52K
Feb 06, 1996, 1.54, 1.55, 1.57, 1.54, 158.75K
Feb 05, 1996, 1.55, 1.54, 1.55, 1.54, 119.06K
Feb 02, 1996, 1.50, 1.48, 1.52, 1.48, 145.52K
Feb 01, 1996, 1.44, 1.44, 1.44, 1.44, 26.46K
Jan 31, 1996, 1.42, 1.42, 1.42, 1.38, 79.37K
Jan 30, 1996, 1.43, 1.41, 1.43, 1.40, 1.71M
Jan 29, 1996, 1.41, 1.40, 1.41, 1.37, 52.92K
Jan 25, 1996, 1.40, 1.39, 1.40, 1.37, 238.12K
Jan 24, 1996, 1.39, 1.41, 1.41, 1.38, 304.26K
Jan 23, 1996, 1.41, 1.42, 1.42, 1.36, 171.98K
Jan 22, 1996, 1.42, 1.41, 1.42, 1.38, 119.06K
Jan 19, 1996, 1.41, 1.42, 1.43, 1.41, 224.89K
Jan 18, 1996, 1.44, 1.45, 1.45, 1.42, 132.29K
Jan 17, 1996, 1.45, 1.47, 1.47, 1.35, 396.87K
Jan 16, 1996, 1.47, 1.46, 1.48, 1.43, 1.71M
Jan 15, 1996, 1.45, 1.46, 1.46, 1.45, 119.06K
Jan 12, 1996, 1.48, 1.45, 1.48, 1.45, 79.37K
Jan 11, 1996, 1.46, 1.46, 1.46, 1.46, 39.69K
Jan 10, 1996, 1.48, 1.41, 1.48, 1.40, 502.70K
Jan 09, 1996, 1.41, 1.42, 1.44, 1.41, 317.49K
Jan 08, 1996, 1.45, 1.50, 1.51, 1.45, 171.98K
Jan 05, 1996, 1.51, 1.51, 1.51, 1.51, 13.23K
Jan 04, 1996, 1.52, 1.52, 1.53, 1.52, 66.14K
Jan 03, 1996, 1.52, 1.52, 1.52, 1.52, 13.23K
Jan 02, 1996, 1.52, 1.57, 1.57, 1.52, 79.37K
Jan 01, 1996, 1.57, 1.57, 1.57, 1.57, 39.69K
Dec 29, 1995, 1.58, 1.57, 1.58, 1.57, 224.89K
Dec 28, 1995, 1.60, 1.58, 1.61, 1.58, 171.98K
Dec 27, 1995, 1.59, 1.60, 1.60, 1.58, 132.29K
