date, close, open, high, low, volume
Feb 13, 1998, 1.50, 1.50, 1.50, 1.50, 66.14K
Feb 12, 1998, 1.48, 1.48, 1.48, 1.48, 13.23K
Feb 11, 1998, 1.50, 1.49, 1.50, 1.49, 39.69K
Feb 10, 1998, 1.49, 1.49, 1.49, 1.49, 92.60K
Feb 09, 1998, 1.52, 1.50, 1.52, 1.50, 66.14K
Feb 06, 1998, 1.52, 1.51, 1.52, 1.51, 26.46K
Feb 05, 1998, 1.55, 1.54, 1.55, 1.53, 66.14K
Feb 04, 1998, 1.58, 1.60, 1.60, 1.58, 277.81K
Feb 03, 1998, 1.55, 1.52, 1.60, 1.52, 608.53K
Feb 02, 1998, 1.56, 1.48, 1.56, 1.48, 171.98K
Jan 30, 1998, 1.50, 1.49, 1.51, 1.49, 171.98K
Jan 29, 1998, 1.50, 1.50, 1.50, 1.50, 39.69K
Jan 28, 1998, 1.50, 1.52, 1.52, 1.50, 52.92K
Jan 27, 1998, 1.48, 1.49, 1.50, 1.48, 92.60K
Jan 23, 1998, 1.52, 1.50, 1.52, 1.50, 66.14K
Jan 22, 1998, 1.54, 1.57, 1.57, 1.54, 39.69K
Jan 21, 1998, 1.56, 1.54, 1.57, 1.54, 79.37K
Jan 20, 1998, 1.53, 1.54, 1.55, 1.53, 119.06K
Jan 19, 1998, 1.57, 1.57, 1.58, 1.55, 171.98K
Jan 16, 1998, 1.58, 1.56, 1.58, 1.56, 251.35K
Jan 15, 1998, 1.57, 1.50, 1.58, 1.50, 449.78K
Jan 14, 1998, 1.52, 1.52, 1.53, 1.51, 291.04K
Jan 13, 1998, 1.48, 1.51, 1.51, 1.46, 1.01M
Jan 12, 1998, 1.48, 1.52, 1.52, 1.48, 264.58K
Jan 09, 1998, 1.55, 1.60, 1.60, 1.53, 396.87K
Jan 08, 1998, 1.63, 1.66, 1.66, 1.63, 224.89K
Jan 07, 1998, 1.69, 1.70, 1.70, 1.69, 145.52K
Jan 06, 1998, 1.64, 1.68, 1.69, 1.63, 291.04K
Jan 05, 1998, 1.72, 1.69, 1.75, 1.69, 463.01K
Jan 02, 1998, 1.65, 1.63, 1.65, 1.59, 304.26K
Jan 01, 1998, 1.58, 1.51, 1.59, 1.51, 357.18K
Dec 31, 1997, 1.51, 1.48, 1.52, 1.48, 2.62M
Dec 30, 1997, 1.47, 1.46, 1.48, 1.46, 238.12K
Dec 29, 1997, 1.47, 1.46, 1.48, 1.46, 132.29K
Dec 26, 1997, 1.48, 1.51, 1.53, 1.42, 1.15M
Dec 24, 1997, 1.50, 1.52, 1.54, 1.49, 568.84K
Dec 23, 1997, 1.52, 1.52, 1.53, 1.50, 304.26K
Dec 22, 1997, 1.51, 1.48, 1.51, 1.48, 119.06K
Dec 19, 1997, 1.48, 1.52, 1.52, 1.48, 251.35K
Dec 18, 1997, 1.50, 1.60, 1.60, 1.50, 343.95K
Dec 17, 1997, 1.58, 1.62, 1.62, 1.56, 277.81K
Dec 16, 1997, 1.59, 1.57, 1.59, 1.57, 132.29K
Dec 15, 1997, 1.58, 1.58, 1.58, 1.57, 4.38M
Dec 12, 1997, 1.60, 1.59, 1.61, 1.59, 79.37K
Dec 11, 1997, 1.60, 1.58, 1.60, 1.56, 5.87M
Dec 10, 1997, 1.59, 1.63, 1.63, 1.58, 171.98K
Dec 09, 1997, 1.66, 1.70, 1.70, 1.63, 158.75K
Dec 08, 1997, 1.64, 1.62, 1.65, 1.62, 66.14K
Dec 05, 1997, 1.65, 1.65, 1.65, 1.65, 211.66K
Dec 04, 1997, 1.67, 1.72, 1.72, 1.66, 383.64K
Dec 03, 1997, 1.70, 1.75, 1.75, 1.70, 423.33K
Dec 02, 1997, 1.74, 1.79, 1.79, 1.73, 608.53K
Dec 01, 1997, 1.79, 1.79, 1.80, 1.79, 66.14K
Nov 28, 1997, 1.79, 1.86, 1.86, 1.79, 198.43K
Nov 27, 1997, 1.89, 1.89, 1.91, 1.89, 119.06K
Nov 26, 1997, 1.90, 1.89, 1.92, 1.89, 92.60K
Nov 25, 1997, 1.84, 1.82, 1.85, 1.82, 119.06K
Nov 24, 1997, 1.82, 1.82, 1.82, 1.82, 26.46K
