date, close, open, high, low, volume
Sep 03, 1999, 4.67, 4.73, 4.82, 4.64, 3.52M
Sep 02, 1999, 4.69, 4.75, 4.91, 4.65, 2.46M
Sep 01, 1999, 4.93, 5.06, 5.10, 4.86, 3.53M
Aug 31, 1999, 5.00, 4.99, 5.06, 4.95, 7.29M
Aug 30, 1999, 5.04, 5.14, 5.21, 5.01, 5.61M
Aug 27, 1999, 5.08, 4.98, 5.19, 4.89, 10.53M
Aug 26, 1999, 4.84, 4.85, 4.88, 4.79, 2.87M
Aug 25, 1999, 4.69, 4.96, 4.99, 4.52, 3.20M
Aug 24, 1999, 4.81, 4.82, 4.98, 4.73, 7.20M
Aug 23, 1999, 4.86, 5.04, 5.08, 4.82, 5.83M
Aug 20, 1999, 4.97, 4.69, 5.02, 4.49, 9.15M
Aug 19, 1999, 4.70, 5.08, 5.08, 4.70, 7.51M
Aug 18, 1999, 5.10, 5.26, 5.38, 4.95, 17.57M
Aug 17, 1999, 5.03, 4.82, 5.03, 4.76, 8.69M
Aug 16, 1999, 4.66, 4.39, 4.66, 4.34, 9.68M
Aug 13, 1999, 4.32, 4.26, 4.36, 4.24, 6.56M
Aug 12, 1999, 4.20, 4.11, 4.40, 4.08, 14.33M
Aug 11, 1999, 4.08, 3.98, 4.17, 3.97, 7.00M
Aug 10, 1999, 4.12, 4.22, 4.22, 3.95, 10.35M
Aug 09, 1999, 4.19, 4.04, 4.21, 3.95, 17.18M
Aug 06, 1999, 3.92, 3.73, 3.94, 3.60, 13.57M
Aug 05, 1999, 3.65, 3.63, 3.75, 3.60, 5.07M
Aug 04, 1999, 3.47, 3.34, 3.47, 3.33, 740.82K
Aug 03, 1999, 3.21, 3.25, 3.27, 3.18, 1.97M
Aug 02, 1999, 3.28, 3.27, 3.33, 3.27, 687.90K
Jul 30, 1999, 3.39, 3.44, 3.47, 3.37, 1.34M
Jul 29, 1999, 3.45, 3.49, 3.49, 3.44, 846.65K
Jul 28, 1999, 3.47, 3.49, 3.57, 3.45, 1.20M
Jul 27, 1999, 3.47, 3.51, 3.55, 3.44, 5.21M
Jul 26, 1999, 3.56, 3.58, 3.63, 3.56, 1.83M
Jul 23, 1999, 3.56, 3.67, 3.67, 3.54, 2.12M
Jul 22, 1999, 3.64, 3.84, 3.86, 3.63, 4.25M
Jul 21, 1999, 3.79, 3.57, 3.79, 3.57, 6.12M
Jul 20, 1999, 3.51, 3.89, 3.89, 3.47, 7.01M
Jul 19, 1999, 3.60, 3.56, 3.60, 3.56, 674.67K
Jul 16, 1999, 3.33, 3.11, 3.33, 3.11, 6.12M
Jul 15, 1999, 3.09, 3.19, 3.19, 3.03, 4.25M
Jul 14, 1999, 3.14, 3.17, 3.20, 3.12, 3.11M
Jul 13, 1999, 3.11, 3.17, 3.19, 3.10, 873.11K
Jul 12, 1999, 3.19, 3.17, 3.20, 3.14, 608.53K
Jul 09, 1999, 3.11, 3.08, 3.13, 3.08, 423.33K
Jul 08, 1999, 3.14, 3.11, 3.15, 3.11, 277.81K
Jul 07, 1999, 3.15, 3.17, 3.20, 3.15, 291.04K
Jul 06, 1999, 3.15, 3.14, 3.19, 3.14, 463.01K
Jul 05, 1999, 3.17, 3.12, 3.17, 3.07, 555.61K
Jul 02, 1999, 3.07, 3.07, 3.08, 3.06, 343.95K
Jul 01, 1999, 3.05, 3.10, 3.10, 3.05, 251.35K
Jun 30, 1999, 3.08, 3.10, 3.10, 3.00, 383.64K
Jun 29, 1999, 3.05, 3.16, 3.16, 3.04, 1.39M
Jun 28, 1999, 3.16, 3.16, 3.20, 3.14, 1.32M
Jun 25, 1999, 3.14, 3.09, 3.18, 3.09, 2.18M
Jun 24, 1999, 3.08, 3.11, 3.13, 3.07, 502.70K
Jun 23, 1999, 3.15, 3.17, 3.20, 3.11, 2.74M
Jun 22, 1999, 3.09, 3.01, 3.13, 3.00, 6.10M
Jun 21, 1999, 3.00, 3.14, 3.14, 2.94, 2.54M
Jun 18, 1999, 3.13, 3.13, 3.16, 3.12, 1.08M
Jun 17, 1999, 3.14, 3.14, 3.17, 3.13, 873.11K
Jun 16, 1999, 3.15, 3.14, 3.17, 3.11, 1.12M
Jun 15, 1999, 3.17, 3.17, 3.20, 3.15, 595.30K
Jun 14, 1999, 3.17, 3.20, 3.20, 3.14, 1.48M
Jun 11, 1999, 3.26, 3.25, 3.26, 3.25, 476.24K
Jun 10, 1999, 3.28, 3.25, 3.28, 3.25, 502.70K
Jun 09, 1999, 3.26, 3.30, 3.30, 3.26, 542.39K
Jun 08, 1999, 3.28, 3.27, 3.30, 3.26, 886.34K
Jun 07, 1999, 3.29, 3.31, 3.31, 3.28, 780.51K
Jun 04, 1999, 3.31, 3.30, 3.33, 3.30, 806.96K
Jun 03, 1999, 3.31, 3.33, 3.34, 3.30, 1.11M
Jun 02, 1999, 3.32, 3.34, 3.34, 3.29, 1.27M
Jun 01, 1999, 3.33, 3.33, 3.39, 3.29, 2.02M
May 31, 1999, 3.37, 3.26, 3.37, 3.26, 3.24M
May 28, 1999, 3.22, 3.27, 3.30, 3.13, 5.52M
May 27, 1999, 3.30, 3.41, 3.45, 3.30, 4.27M
May 26, 1999, 3.37, 3.53, 3.55, 3.34, 5.93M
May 25, 1999, 3.43, 3.26, 3.43, 3.26, 12.71M
May 24, 1999, 3.32, 3.43, 3.43, 3.29, 3.00M
May 21, 1999, 3.38, 3.37, 3.44, 3.32, 4.34M
May 20, 1999, 3.41, 3.47, 3.47, 3.30, 5.24M
May 19, 1999, 3.35, 3.18, 3.35, 3.14, 4.86M
May 18, 1999, 3.10, 3.16, 3.24, 3.07, 2.91M
May 17, 1999, 3.23, 3.35, 3.35, 3.08, 2.39M
May 14, 1999, 3.35, 3.43, 3.43, 3.30, 2.70M
May 13, 1999, 3.37, 3.33, 3.44, 3.29, 2.69M
May 12, 1999, 3.29, 3.57, 3.57, 3.23, 5.08M
May 11, 1999, 3.50, 3.51, 3.56, 3.45, 7.91M
May 10, 1999, 3.49, 3.36, 3.51, 3.34, 13.53M
May 07, 1999, 3.35, 3.38, 3.45, 3.33, 5.75M
May 06, 1999, 3.35, 3.32, 3.49, 3.29, 9.54M
May 05, 1999, 3.28, 3.12, 3.30, 3.03, 7.54M
May 04, 1999, 3.06, 3.10, 3.14, 2.98, 12.61M
May 03, 1999, 3.10, 3.22, 3.22, 2.99, 8.72M
Apr 30, 1999, 2.99, 2.89, 2.99, 2.87, 3.44M
Apr 29, 1999, 2.77, 2.63, 2.77, 2.59, 4.17M
