date, close, open, high, low, volume
Apr 13, 2009, 142.94, 145.90, 146.98, 138.82, 4.12M
Apr 09, 2009, 145.43, 147.71, 149.61, 143.42, 6.59M
Apr 08, 2009, 145.81, 141.21, 148.12, 135.40, 10.19M
Apr 06, 2009, 139.87, 141.14, 143.36, 138.95, 5.41M
Apr 02, 2009, 139.68, 131.69, 141.67, 131.69, 8.50M
Apr 01, 2009, 131.42, 129.36, 133.66, 125.62, 6.72M
Mar 31, 2009, 129.98, 126.71, 131.27, 126.71, 4.78M
Mar 30, 2009, 126.29, 128.82, 137.57, 125.02, 5.15M
Mar 27, 2009, 138.74, 129.52, 141.19, 129.52, 7.08M
Mar 26, 2009, 134.78, 123.73, 139.49, 123.73, 15.23M
Mar 25, 2009, 126.95, 121.56, 127.89, 121.56, 3.83M
Mar 24, 2009, 125.90, 126.03, 128.52, 123.62, 6.68M
Mar 23, 2009, 125.42, 126.59, 127.82, 123.33, 4.59M
Mar 20, 2009, 123.04, 127.65, 127.65, 122.00, 4.14M
Mar 19, 2009, 124.28, 122.00, 125.02, 121.06, 7.38M
Mar 18, 2009, 121.92, 120.68, 124.17, 120.68, 6.41M
Mar 17, 2009, 120.08, 124.30, 125.02, 119.00, 6.95M
Mar 16, 2009, 125.45, 123.09, 126.18, 121.25, 4.67M
Mar 13, 2009, 122.33, 114.24, 123.09, 114.24, 10.20M
Mar 12, 2009, 115.22, 111.42, 117.06, 111.42, 8.62M
Mar 09, 2009, 111.75, 113.70, 115.85, 110.78, 4.54M
Mar 06, 2009, 116.26, 111.02, 117.02, 110.45, 5.81M
Mar 05, 2009, 111.79, 112.22, 113.65, 110.54, 4.28M
Mar 04, 2009, 111.15, 108.13, 112.10, 107.69, 3.26M
Mar 03, 2009, 107.69, 109.09, 112.47, 106.04, 3.56M
Mar 02, 2009, 110.99, 114.42, 116.33, 109.77, 3.99M
Feb 27, 2009, 116.60, 116.33, 118.02, 109.87, 6.75M
Feb 26, 2009, 116.38, 116.09, 118.41, 115.12, 8.81M
Feb 25, 2009, 116.03, 113.43, 117.01, 113.43, 5.52M
Feb 24, 2009, 113.17, 113.43, 114.81, 111.14, 4.50M
Feb 20, 2009, 114.41, 117.42, 117.66, 112.06, 4.77M
Feb 19, 2009, 118.14, 116.33, 118.94, 115.61, 3.48M
Feb 18, 2009, 116.03, 116.17, 118.48, 115.12, 2.63M
Feb 17, 2009, 117.12, 119.71, 120.63, 115.85, 2.95M
Feb 16, 2009, 120.86, 122.51, 124.28, 120.19, 2.50M
