date, close, open, high, low, volume
Apr 04, 2014, 152.20, 152.00, 153.80, 150.15, 1.97M
Apr 03, 2014, 151.55, 154.00, 154.30, 149.40, 2.35M
Apr 02, 2014, 153.50, 155.00, 155.65, 152.10, 2.60M
Apr 01, 2014, 154.25, 151.45, 154.75, 148.80, 4.86M
Mar 31, 2014, 150.05, 150.00, 152.70, 148.10, 4.14M
Mar 28, 2014, 148.00, 142.85, 148.60, 142.30, 3.91M
Mar 27, 2014, 141.80, 143.00, 143.75, 141.30, 3.15M
Mar 26, 2014, 142.75, 144.00, 144.80, 142.25, 1.76M
Mar 25, 2014, 142.90, 142.55, 144.00, 142.40, 1.21M
Mar 24, 2014, 142.85, 143.15, 144.85, 142.50, 1.24M
Mar 22, 2014, 143.65, 144.15, 144.15, 143.25, 125.03K
Mar 21, 2014, 143.40, 143.00, 146.00, 142.45, 2.77M
Mar 20, 2014, 141.40, 140.70, 143.20, 140.70, 1.58M
Mar 19, 2014, 141.30, 143.20, 143.80, 141.10, 1.98M
Mar 18, 2014, 143.15, 142.70, 144.80, 142.55, 926.63K
Mar 14, 2014, 142.70, 142.00, 143.40, 141.00, 1.24M
Mar 13, 2014, 142.55, 146.00, 146.90, 141.90, 1.24M
Mar 12, 2014, 145.65, 146.05, 147.50, 145.15, 2.11M
Mar 11, 2014, 145.15, 143.80, 146.00, 143.00, 2.11M
Mar 10, 2014, 143.80, 143.90, 145.10, 142.25, 2.13M
Mar 07, 2014, 143.30, 143.50, 144.35, 141.30, 2.91M
Mar 06, 2014, 142.55, 141.50, 143.00, 140.15, 3.01M
Mar 05, 2014, 140.90, 141.45, 142.25, 139.45, 2.32M
Mar 04, 2014, 140.40, 136.80, 141.15, 135.90, 3.00M
Mar 03, 2014, 135.95, 139.95, 141.00, 135.25, 2.98M
Feb 28, 2014, 139.70, 140.15, 142.15, 139.15, 1.85M
Feb 26, 2014, 139.80, 141.70, 141.90, 139.10, 1.87M
Feb 25, 2014, 141.20, 143.20, 143.55, 141.00, 1.03M
