date, close, open, high, low, volume
Apr 04, 2014, 401.20, 410.00, 410.00, 400.16, 2.93M
Apr 03, 2014, 406.98, 411.49, 413.56, 402.78, 5.36M
Apr 02, 2014, 409.71, 402.48, 410.60, 400.70, 6.36M
Apr 01, 2014, 398.87, 400.85, 402.19, 395.26, 3.99M
Mar 31, 2014, 394.42, 396.74, 399.86, 392.44, 4.16M
Mar 28, 2014, 393.08, 396.55, 399.07, 391.20, 3.40M
Mar 27, 2014, 392.49, 398.72, 400.65, 389.57, 9.26M
Mar 26, 2014, 397.39, 390.41, 398.72, 390.41, 7.43M
Mar 25, 2014, 386.70, 387.84, 389.32, 382.55, 3.93M
Mar 24, 2014, 387.35, 386.85, 390.26, 385.12, 3.19M
Mar 22, 2014, 384.87, 384.48, 385.86, 382.45, 304.04K
Mar 21, 2014, 385.02, 378.09, 385.86, 377.85, 5.75M
Mar 20, 2014, 375.67, 377.95, 380.91, 374.73, 4.14M
Mar 19, 2014, 380.27, 381.80, 383.54, 375.52, 6.33M
Mar 18, 2014, 377.20, 389.82, 393.13, 376.46, 6.88M
Mar 14, 2014, 389.08, 378.94, 390.51, 378.94, 3.24M
Mar 13, 2014, 383.88, 389.27, 392.44, 380.77, 3.90M
Mar 12, 2014, 384.72, 392.89, 393.78, 383.88, 4.53M
Mar 11, 2014, 393.73, 388.83, 400.21, 388.83, 6.11M
Mar 10, 2014, 391.80, 400.11, 402.33, 389.27, 5.84M
Mar 07, 2014, 404.76, 404.16, 411.44, 401.20, 6.06M
Mar 06, 2014, 404.12, 407.13, 407.92, 400.11, 5.72M
Mar 05, 2014, 405.25, 410.60, 411.78, 402.83, 4.05M
Mar 04, 2014, 408.52, 406.89, 416.24, 401.49, 5.62M
Mar 03, 2014, 406.34, 410.60, 410.60, 403.92, 6.68M
Feb 28, 2014, 412.52, 405.65, 413.76, 400.06, 12.68M
Feb 26, 2014, 396.94, 392.89, 398.28, 391.85, 7.32M
Feb 25, 2014, 394.27, 394.77, 395.46, 389.37, 3.06M
Feb 24, 2014, 392.34, 392.84, 396.60, 390.02, 5.25M
Feb 21, 2014, 392.00, 390.81, 393.58, 388.68, 6.40M
Feb 20, 2014, 387.69, 387.35, 390.81, 385.27, 6.74M
Feb 19, 2014, 387.35, 387.84, 388.83, 383.78, 3.95M
Feb 18, 2014, 387.25, 383.83, 390.07, 381.21, 6.08M
Feb 17, 2014, 382.50, 387.89, 391.25, 380.17, 8.64M
Feb 14, 2014, 384.67, 376.16, 385.86, 376.16, 6.76M
Feb 13, 2014, 371.96, 375.97, 379.38, 370.72, 6.83M
Feb 12, 2014, 372.65, 372.01, 378.94, 371.17, 7.80M
Feb 11, 2014, 370.53, 377.01, 378.64, 366.72, 15.83M
Feb 10, 2014, 360.19, 361.13, 363.50, 354.20, 6.58M
Feb 07, 2014, 356.38, 356.18, 359.15, 352.32, 5.49M
Feb 06, 2014, 353.85, 349.30, 356.43, 345.30, 8.09M
Feb 05, 2014, 351.33, 339.36, 354.70, 335.95, 9.44M
Feb 04, 2014, 342.18, 328.58, 343.02, 328.58, 11.46M
Feb 03, 2014, 332.83, 343.32, 346.04, 332.04, 5.64M
Jan 31, 2014, 345.84, 354.60, 354.60, 343.32, 6.93M
Jan 30, 2014, 357.91, 345.59, 363.60, 345.30, 9.12M
Jan 29, 2014, 348.02, 356.28, 358.70, 346.83, 3.29M
Jan 28, 2014, 352.47, 341.83, 355.59, 341.83, 6.61M
Jan 27, 2014, 344.55, 359.15, 359.15, 341.88, 9.24M
Jan 24, 2014, 366.47, 374.98, 378.00, 364.89, 3.62M
Jan 23, 2014, 379.53, 381.16, 384.87, 376.66, 3.79M
