date, close, open, high, low, volume
Feb 13, 1998, 44.96, 43.76, 45.14, 43.57, 7.78M
Feb 12, 1998, 43.61, 43.68, 43.86, 43.16, 2.59M
Feb 11, 1998, 43.72, 44.18, 44.62, 43.59, 3.47M
Feb 10, 1998, 43.88, 44.65, 44.93, 43.72, 10.31M
Feb 09, 1998, 44.75, 43.16, 45.07, 42.77, 16.61M
Feb 06, 1998, 43.18, 43.83, 44.07, 43.01, 7.25M
Feb 05, 1998, 43.63, 43.28, 44.24, 43.28, 7.76M
Feb 04, 1998, 43.19, 42.72, 44.72, 41.79, 24.03M
Feb 03, 1998, 42.63, 44.09, 44.45, 42.34, 10.99M
Feb 02, 1998, 44.51, 45.45, 45.79, 44.11, 6.54M
Jan 30, 1998, 45.41, 45.02, 45.68, 44.84, 3.50M
Jan 29, 1998, 44.86, 44.85, 45.22, 43.97, 3.93M
Jan 28, 1998, 45.05, 45.02, 45.90, 44.52, 4.58M
Jan 27, 1998, 45.12, 46.79, 47.38, 44.55, 7.35M
Jan 23, 1998, 46.81, 46.80, 47.32, 46.36, 5.98M
Jan 22, 1998, 47.02, 47.90, 47.91, 46.84, 5.71M
Jan 21, 1998, 48.32, 47.73, 48.95, 47.51, 5.74M
Jan 20, 1998, 48.20, 48.93, 49.60, 47.92, 11.26M
Jan 19, 1998, 48.63, 47.62, 48.89, 47.13, 9.02M
Jan 16, 1998, 48.03, 47.05, 48.76, 46.65, 12.18M
Jan 15, 1998, 46.77, 48.54, 48.57, 45.91, 16.81M
Jan 14, 1998, 49.06, 55.37, 55.37, 48.73, 11.47M
Jan 13, 1998, 52.48, 51.44, 53.54, 51.40, 4.33M
Jan 12, 1998, 51.92, 53.57, 53.57, 51.55, 4.00M
Jan 09, 1998, 54.03, 55.04, 55.04, 53.72, 4.39M
Jan 08, 1998, 55.28, 55.67, 56.33, 55.01, 4.58M
Jan 07, 1998, 56.16, 56.62, 57.07, 55.48, 4.44M
Jan 06, 1998, 56.09, 56.62, 57.41, 55.81, 6.99M
Jan 05, 1998, 57.22, 59.16, 59.20, 56.81, 7.58M
Jan 02, 1998, 58.66, 57.76, 59.09, 57.57, 7.95M
Jan 01, 1998, 57.53, 57.07, 58.05, 56.81, 3.70M
Dec 31, 1997, 57.05, 56.76, 58.44, 55.99, 7.05M
Dec 30, 1997, 56.62, 58.25, 60.04, 55.95, 17.79M
Dec 29, 1997, 57.59, 53.24, 58.20, 52.74, 11.65M
Dec 26, 1997, 52.90, 52.50, 53.44, 52.13, 3.43M
Dec 24, 1997, 52.40, 53.07, 53.15, 51.38, 3.74M
Dec 23, 1997, 53.95, 54.58, 54.89, 53.45, 3.33M
Dec 22, 1997, 54.43, 54.79, 55.94, 53.87, 3.23M
Dec 19, 1997, 54.69, 53.37, 54.89, 53.37, 2.38M
Dec 18, 1997, 53.73, 54.32, 55.06, 53.46, 2.64M
Dec 17, 1997, 54.65, 56.52, 57.00, 54.10, 3.02M
Dec 16, 1997, 55.41, 53.07, 55.94, 52.97, 6.31M
Dec 15, 1997, 52.88, 51.99, 53.26, 51.57, 6.00M
Dec 12, 1997, 51.48, 50.79, 52.02, 49.91, 5.02M
Dec 11, 1997, 50.72, 49.33, 51.03, 48.50, 8.21M
Dec 10, 1997, 49.27, 51.55, 51.92, 48.69, 5.85M
Dec 09, 1997, 52.24, 53.66, 54.39, 51.73, 3.92M
Dec 08, 1997, 53.75, 53.65, 54.01, 52.83, 3.17M
Dec 05, 1997, 53.76, 55.18, 56.31, 53.50, 5.48M
Dec 04, 1997, 55.42, 55.02, 56.69, 54.62, 4.36M
Dec 03, 1997, 55.71, 56.52, 56.88, 55.40, 4.30M
Dec 02, 1997, 56.30, 57.53, 58.82, 55.94, 6.35M
Dec 01, 1997, 58.01, 59.42, 60.33, 57.11, 7.82M
Nov 28, 1997, 60.19, 61.50, 61.80, 59.50, 4.13M
Nov 27, 1997, 61.71, 59.16, 62.17, 59.16, 5.13M
Nov 26, 1997, 59.56, 60.34, 60.91, 58.85, 3.69M
Nov 25, 1997, 59.84, 59.39, 61.50, 59.12, 4.62M
Nov 24, 1997, 59.34, 60.93, 61.69, 58.93, 6.64M
Nov 21, 1997, 61.28, 60.46, 61.97, 60.16, 2.66M
Nov 20, 1997, 60.76, 59.69, 61.12, 58.83, 3.05M
Nov 19, 1997, 60.19, 60.64, 60.88, 58.63, 6.59M
Nov 18, 1997, 62.36, 61.11, 63.22, 59.68, 6.85M
Nov 17, 1997, 60.58, 62.94, 63.42, 59.68, 10.34M
Nov 13, 1997, 63.51, 63.80, 63.99, 61.93, 7.04M
Nov 12, 1997, 63.95, 64.57, 64.90, 63.54, 3.85M
Nov 11, 1997, 65.21, 64.95, 65.72, 64.50, 5.72M
Nov 10, 1997, 65.17, 65.14, 65.52, 64.40, 4.08M
Nov 07, 1997, 64.80, 64.09, 65.60, 63.99, 7.97M
Nov 06, 1997, 64.03, 63.99, 64.28, 62.86, 2.99M
Nov 05, 1997, 64.00, 64.37, 64.74, 63.45, 3.23M
Nov 04, 1997, 65.19, 62.83, 65.91, 62.65, 6.59M
Nov 03, 1997, 62.71, 62.08, 62.89, 60.74, 4.34M
Oct 30, 1997, 61.10, 61.70, 62.27, 60.73, 1.95M
Oct 29, 1997, 62.53, 63.22, 63.22, 59.39, 3.99M
Oct 28, 1997, 57.99, 61.93, 62.33, 56.56, 9.57M
Oct 27, 1997, 62.33, 63.80, 64.37, 61.74, 7.40M
Oct 24, 1997, 63.79, 63.70, 64.18, 62.84, 3.75M
Oct 23, 1997, 64.02, 63.42, 64.36, 62.67, 4.45M
Oct 22, 1997, 63.44, 63.42, 64.16, 60.16, 4.79M
Oct 21, 1997, 64.10, 64.89, 65.14, 63.51, 4.47M
Oct 20, 1997, 65.18, 66.10, 66.58, 64.49, 4.73M
Oct 17, 1997, 66.57, 66.46, 68.00, 66.39, 4.24M
Oct 16, 1997, 67.31, 66.23, 67.73, 65.96, 7.81M
Oct 15, 1997, 65.68, 65.14, 66.19, 64.38, 3.12M
Oct 14, 1997, 64.65, 64.37, 65.52, 64.01, 2.51M
Oct 13, 1997, 64.39, 65.76, 66.46, 64.18, 3.26M
Oct 10, 1997, 65.60, 63.80, 65.81, 63.70, 5.21M
Oct 09, 1997, 64.03, 63.03, 64.14, 62.91, 2.68M
Oct 01, 1997, 63.41, 64.76, 65.49, 62.46, 4.83M
Sep 30, 1997, 65.33, 63.99, 66.09, 63.45, 3.30M
Sep 29, 1997, 64.38, 64.16, 64.76, 63.80, 3.20M
Sep 26, 1997, 63.05, 63.22, 63.68, 62.67, 3.76M
Sep 25, 1997, 62.54, 62.03, 62.84, 61.88, 2.83M
Sep 24, 1997, 62.25, 61.69, 62.94, 60.93, 7.18M
Sep 23, 1997, 60.34, 61.40, 62.04, 59.98, 5.19M
