date, close, open, high, low, volume
Sep 03, 1999, 56.86, 58.05, 58.76, 56.62, 13.69M
Sep 02, 1999, 57.82, 56.90, 59.20, 56.75, 22.44M
Sep 01, 1999, 57.91, 61.21, 61.21, 56.98, 16.02M
Aug 31, 1999, 59.55, 60.35, 61.20, 59.11, 11.74M
Aug 30, 1999, 60.73, 59.78, 62.15, 58.10, 23.32M
Aug 27, 1999, 60.08, 60.35, 60.69, 58.67, 12.12M
Aug 26, 1999, 59.19, 58.44, 60.91, 57.74, 16.19M
Aug 25, 1999, 57.55, 60.83, 61.29, 54.55, 14.83M
Aug 24, 1999, 59.29, 58.65, 60.35, 57.50, 17.28M
Aug 23, 1999, 58.40, 54.79, 58.40, 54.79, 21.70M
Aug 20, 1999, 54.07, 52.67, 54.96, 49.26, 15.08M
Aug 19, 1999, 52.71, 56.13, 56.13, 52.52, 14.27M
Aug 18, 1999, 56.94, 53.63, 57.33, 53.45, 27.06M
Aug 17, 1999, 53.08, 50.65, 53.64, 49.50, 22.28M
Aug 16, 1999, 50.55, 48.47, 51.10, 48.13, 15.03M
Aug 13, 1999, 47.74, 49.62, 50.01, 47.51, 7.36M
Aug 12, 1999, 49.64, 50.59, 51.35, 49.43, 6.40M
Aug 11, 1999, 50.85, 48.66, 52.29, 48.48, 19.56M
Aug 10, 1999, 50.65, 53.31, 53.31, 50.05, 21.42M
Aug 09, 1999, 53.49, 50.20, 53.67, 49.81, 29.55M
Aug 06, 1999, 49.70, 49.18, 50.72, 47.93, 18.73M
Aug 05, 1999, 48.42, 47.99, 49.13, 46.00, 19.04M
Aug 04, 1999, 47.87, 46.15, 48.01, 45.29, 19.84M
Aug 03, 1999, 44.45, 44.53, 45.20, 43.61, 11.39M
Aug 02, 1999, 44.24, 46.56, 46.56, 43.99, 7.46M
Jul 30, 1999, 46.71, 46.03, 47.50, 45.33, 14.31M
Jul 29, 1999, 46.31, 48.64, 48.64, 45.82, 10.75M
Jul 28, 1999, 48.16, 49.24, 50.10, 47.64, 11.45M
Jul 27, 1999, 49.63, 49.62, 50.92, 49.10, 10.10M
Jul 26, 1999, 49.87, 50.84, 50.84, 49.26, 8.74M
Jul 23, 1999, 51.43, 52.67, 53.12, 51.15, 9.78M
Jul 22, 1999, 52.37, 52.21, 53.55, 51.93, 10.71M
Jul 21, 1999, 52.28, 49.81, 53.63, 47.92, 15.84M
Jul 20, 1999, 50.57, 52.94, 54.02, 49.87, 15.69M
Jul 19, 1999, 53.37, 54.89, 56.40, 52.80, 10.89M
Jul 16, 1999, 54.36, 53.89, 55.35, 51.96, 17.32M
Jul 15, 1999, 53.57, 53.66, 56.10, 52.39, 31.71M
Jul 14, 1999, 53.36, 56.50, 56.50, 53.08, 18.47M
Jul 13, 1999, 57.69, 57.96, 57.97, 55.75, 27.32M
Jul 12, 1999, 53.66, 53.26, 53.66, 53.26, 3.21M
Jul 09, 1999, 49.69, 47.27, 49.69, 47.27, 28.53M
Jul 08, 1999, 46.00, 42.95, 46.00, 42.95, 38.08M
Jul 07, 1999, 42.59, 42.24, 43.59, 41.56, 27.23M
Jul 06, 1999, 41.54, 42.25, 42.57, 40.91, 25.09M
Jul 05, 1999, 41.96, 39.85, 42.42, 39.85, 32.99M
Jul 02, 1999, 39.49, 38.79, 39.76, 38.41, 19.60M
Jul 01, 1999, 38.47, 39.57, 39.76, 38.07, 29.14M
Jun 30, 1999, 39.45, 40.94, 40.94, 39.29, 17.68M
Jun 29, 1999, 40.75, 40.77, 41.36, 40.06, 8.09M
Jun 28, 1999, 40.45, 40.56, 41.10, 39.89, 11.51M
Jun 25, 1999, 40.18, 40.43, 41.75, 39.95, 24.40M
Jun 24, 1999, 40.07, 39.09, 40.43, 38.34, 19.13M
Jun 23, 1999, 39.49, 42.05, 42.48, 39.28, 23.65M
Jun 22, 1999, 42.12, 40.80, 42.82, 40.08, 31.41M
Jun 21, 1999, 39.89, 38.39, 40.37, 38.32, 21.31M
Jun 18, 1999, 38.12, 37.33, 38.88, 37.26, 27.90M
Jun 17, 1999, 37.23, 36.81, 37.74, 36.25, 23.10M
Jun 16, 1999, 36.27, 34.87, 36.67, 33.34, 25.39M
Jun 15, 1999, 34.52, 34.43, 36.19, 34.02, 19.38M
Jun 14, 1999, 34.21, 33.34, 34.49, 32.79, 6.51M
Jun 11, 1999, 34.97, 36.98, 36.98, 34.73, 10.01M
Jun 10, 1999, 36.73, 38.60, 39.07, 36.44, 9.43M
Jun 09, 1999, 38.10, 39.60, 40.17, 37.75, 15.33M
Jun 08, 1999, 39.18, 37.02, 39.42, 36.91, 11.87M
Jun 07, 1999, 37.47, 38.45, 38.49, 37.25, 8.90M
Jun 04, 1999, 38.32, 36.90, 39.03, 36.90, 20.17M
Jun 03, 1999, 36.21, 35.63, 36.21, 34.89, 9.85M
Jun 02, 1999, 35.20, 34.29, 35.40, 33.84, 6.53M
Jun 01, 1999, 33.83, 34.87, 35.61, 33.75, 10.54M
May 31, 1999, 35.20, 33.53, 35.20, 33.34, 13.58M
May 28, 1999, 32.59, 31.88, 33.00, 30.27, 10.27M
May 27, 1999, 32.19, 33.72, 34.85, 32.19, 6.99M
May 26, 1999, 33.56, 35.54, 36.02, 33.30, 6.53M
May 25, 1999, 35.16, 33.68, 36.21, 33.40, 9.07M
May 24, 1999, 33.72, 33.91, 33.91, 32.87, 4.77M
May 21, 1999, 34.29, 36.61, 36.61, 33.74, 6.30M
May 20, 1999, 36.21, 37.17, 38.87, 36.21, 9.10M
May 19, 1999, 37.01, 35.43, 38.03, 35.43, 13.83M
May 18, 1999, 36.86, 36.40, 38.30, 36.04, 11.00M
May 17, 1999, 36.78, 36.51, 39.28, 34.77, 16.45M
May 14, 1999, 37.71, 35.64, 37.71, 34.64, 20.24M
May 13, 1999, 34.92, 34.19, 34.92, 32.88, 15.73M
May 12, 1999, 32.33, 32.38, 33.91, 30.76, 17.80M
May 11, 1999, 31.42, 31.13, 32.73, 30.96, 7.16M
May 10, 1999, 31.04, 30.85, 31.89, 30.10, 8.30M
May 07, 1999, 31.06, 30.46, 31.40, 29.89, 10.03M
May 06, 1999, 29.07, 27.21, 29.07, 26.92, 8.22M
May 05, 1999, 26.92, 27.01, 28.68, 26.84, 6.36M
May 04, 1999, 27.93, 25.86, 27.93, 25.84, 4.13M
May 03, 1999, 25.86, 27.59, 27.76, 25.86, 2.74M
Apr 30, 1999, 27.41, 27.30, 27.78, 27.01, 3.36M
Apr 29, 1999, 26.75, 25.43, 26.75, 25.34, 3.65M
Apr 28, 1999, 25.29, 24.67, 25.47, 24.16, 2.23M
Apr 26, 1999, 24.67, 24.73, 26.25, 24.67, 3.52M
Apr 23, 1999, 26.80, 26.59, 27.21, 26.46, 2.09M
Apr 22, 1999, 26.79, 27.65, 28.02, 26.44, 3.00M
Apr 21, 1999, 27.63, 27.88, 28.26, 27.45, 3.37M
Apr 20, 1999, 27.60, 28.00, 28.72, 27.22, 3.12M
Apr 19, 1999, 28.17, 27.01, 29.00, 26.84, 3.34M
Apr 17, 1999, 27.11, 29.70, 30.58, 26.95, 7.06M
Apr 16, 1999, 29.28, 27.21, 29.28, 27.21, 4.46M
Apr 15, 1999, 27.11, 26.39, 27.18, 26.06, 3.14M
Apr 13, 1999, 26.94, 26.73, 27.38, 26.63, 3.48M
Apr 12, 1999, 27.49, 26.76, 27.59, 26.08, 3.65M
Apr 09, 1999, 27.05, 28.74, 28.93, 27.01, 4.02M
Apr 08, 1999, 28.74, 29.79, 30.16, 28.37, 3.82M
Apr 07, 1999, 29.60, 28.59, 30.44, 28.56, 10.65M
Apr 06, 1999, 28.36, 28.17, 28.93, 27.49, 4.26M
Apr 05, 1999, 29.36, 30.76, 30.85, 29.36, 3.64M
Apr 01, 1999, 31.91, 32.59, 32.74, 31.76, 3.74M
Mar 31, 1999, 32.28, 32.77, 33.34, 32.19, 5.33M
Mar 30, 1999, 30.87, 31.25, 31.78, 30.27, 10.11M
Mar 26, 1999, 31.80, 33.28, 33.32, 31.61, 6.35M
Mar 25, 1999, 32.95, 33.34, 34.45, 32.95, 7.87M
Mar 24, 1999, 33.80, 33.82, 35.60, 32.96, 17.92M
Mar 23, 1999, 34.66, 32.00, 34.66, 31.61, 9.63M
Mar 22, 1999, 32.09, 32.29, 33.24, 31.90, 4.90M
Mar 20, 1999, 32.80, 32.95, 33.13, 32.39, 850.51K
Mar 19, 1999, 32.88, 33.53, 33.72, 32.76, 4.86M
Mar 18, 1999, 33.51, 33.72, 34.08, 32.95, 7.07M
