date, close, open, high, low, volume
Apr 04, 2014, 36.07, 35.88, 36.31, 35.48, 48.15M
Apr 03, 2014, 35.68, 36.19, 36.97, 35.33, 73.98M
Apr 02, 2014, 36.20, 36.11, 36.34, 35.80, 56.29M
Apr 01, 2014, 35.99, 35.53, 36.19, 34.68, 87.86M
Mar 31, 2014, 35.35, 34.51, 35.56, 34.36, 73.89M
Mar 28, 2014, 34.23, 33.99, 34.43, 33.74, 39.45M
Mar 27, 2014, 33.68, 33.65, 34.05, 33.49, 60.26M
Mar 26, 2014, 33.63, 33.32, 33.74, 33.22, 58.64M
Mar 25, 2014, 32.94, 32.50, 33.35, 32.44, 55.41M
Mar 24, 2014, 32.58, 32.73, 32.93, 31.95, 58.58M
Mar 22, 2014, 32.51, 32.54, 32.64, 32.32, 6.96M
Mar 21, 2014, 32.56, 31.51, 32.75, 31.51, 85.58M
Mar 20, 2014, 31.40, 32.05, 32.29, 31.19, 53.21M
Mar 19, 2014, 32.00, 30.81, 32.24, 30.52, 100.49M
Mar 18, 2014, 30.57, 31.04, 31.22, 30.43, 43.60M
Mar 14, 2014, 30.66, 29.97, 30.76, 29.79, 64.65M
Mar 13, 2014, 30.22, 30.69, 31.21, 29.99, 58.46M
Mar 12, 2014, 30.47, 30.60, 31.28, 30.27, 91.70M
Mar 11, 2014, 30.84, 32.67, 32.70, 30.72, 96.01M
Mar 10, 2014, 32.67, 33.04, 33.27, 32.52, 52.04M
Mar 07, 2014, 33.30, 33.04, 33.50, 32.71, 66.31M
Mar 06, 2014, 32.68, 32.12, 32.78, 31.94, 59.84M
Mar 05, 2014, 31.94, 31.83, 32.28, 31.56, 69.71M
Mar 04, 2014, 31.56, 31.09, 31.63, 30.99, 59.89M
Mar 03, 2014, 30.98, 30.86, 31.36, 30.57, 59.78M
Feb 28, 2014, 30.85, 31.49, 31.82, 30.57, 103.85M
Feb 26, 2014, 31.34, 32.39, 32.56, 31.26, 105.94M
Feb 25, 2014, 32.35, 33.16, 33.38, 32.26, 46.04M
Feb 24, 2014, 33.13, 33.54, 33.54, 32.87, 34.36M
Feb 21, 2014, 33.59, 32.91, 33.71, 32.91, 33.40M
Feb 20, 2014, 32.91, 33.12, 33.18, 32.66, 44.92M
Feb 19, 2014, 33.54, 34.08, 34.09, 33.30, 33.24M
Feb 18, 2014, 34.06, 33.55, 34.27, 33.39, 37.85M
Feb 17, 2014, 33.56, 33.33, 33.68, 32.88, 36.02M
Feb 14, 2014, 33.27, 33.10, 33.41, 32.25, 63.37M
Feb 13, 2014, 32.97, 33.74, 33.99, 32.77, 61.43M
Feb 12, 2014, 33.59, 34.59, 34.71, 33.44, 98.45M
Feb 11, 2014, 34.97, 34.72, 35.26, 34.57, 44.86M
Feb 10, 2014, 34.32, 34.71, 35.28, 34.14, 65.53M
Feb 07, 2014, 34.49, 32.53, 34.72, 32.53, 123.03M
Feb 06, 2014, 32.41, 32.47, 32.95, 31.96, 67.92M
Feb 05, 2014, 32.25, 30.94, 32.38, 30.87, 49.94M
Feb 04, 2014, 30.77, 30.33, 31.12, 30.15, 76.32M
Feb 03, 2014, 30.78, 31.84, 31.84, 30.69, 37.36M
Jan 31, 2014, 31.95, 31.26, 32.11, 31.18, 54.54M
Jan 30, 2014, 31.09, 31.67, 31.76, 30.61, 58.97M
Jan 29, 2014, 32.12, 33.06, 33.14, 31.96, 47.64M
Jan 28, 2014, 32.90, 31.76, 33.10, 31.63, 50.91M
Jan 27, 2014, 31.72, 33.14, 33.17, 31.58, 46.32M
Jan 24, 2014, 33.74, 34.55, 34.63, 33.60, 31.29M
Jan 23, 2014, 34.92, 35.25, 35.26, 34.73, 26.21M
Jan 22, 2014, 35.28, 34.48, 35.35, 34.48, 48.63M
Jan 21, 2014, 34.42, 33.74, 34.63, 33.74, 42.96M
