date, close, open, high, low, volume
Feb 13, 1998, 6.47, 6.35, 6.49, 6.35, 17.11M
Feb 12, 1998, 6.37, 6.34, 6.40, 6.31, 10.62M
Feb 11, 1998, 6.36, 6.40, 6.47, 6.30, 17.47M
Feb 10, 1998, 6.41, 6.46, 6.48, 6.40, 17.83M
Feb 09, 1998, 6.49, 6.56, 6.56, 6.43, 18.44M
Feb 06, 1998, 6.58, 6.63, 6.63, 6.56, 10.81M
Feb 05, 1998, 6.60, 6.58, 6.65, 6.57, 10.78M
Feb 04, 1998, 6.58, 6.71, 6.75, 6.54, 23.66M
Feb 03, 1998, 6.63, 6.70, 6.71, 6.61, 15.01M
Feb 02, 1998, 6.70, 6.71, 6.76, 6.62, 17.48M
Jan 30, 1998, 6.67, 6.53, 6.69, 6.52, 27.92M
Jan 29, 1998, 6.50, 6.43, 6.53, 6.40, 17.82M
Jan 28, 1998, 6.47, 6.48, 6.58, 6.41, 25.30M
Jan 27, 1998, 6.50, 6.61, 6.65, 6.46, 31.11M
Jan 23, 1998, 6.63, 6.67, 6.71, 6.61, 18.92M
Jan 22, 1998, 6.69, 6.80, 6.81, 6.67, 30.39M
Jan 21, 1998, 6.92, 6.81, 6.98, 6.77, 33.07M
Jan 20, 1998, 6.81, 6.91, 6.99, 6.77, 33.98M
Jan 19, 1998, 6.84, 6.67, 6.92, 6.61, 35.26M
Jan 16, 1998, 6.70, 6.61, 6.75, 6.54, 33.16M
Jan 15, 1998, 6.59, 6.52, 6.63, 6.43, 35.00M
Jan 14, 1998, 6.56, 6.74, 6.79, 6.51, 39.16M
Jan 13, 1998, 6.59, 6.61, 6.77, 6.56, 41.01M
Jan 12, 1998, 6.56, 6.80, 6.82, 6.48, 54.67M
Jan 09, 1998, 6.91, 7.10, 7.10, 6.86, 39.53M
Jan 08, 1998, 7.14, 7.35, 7.35, 7.12, 35.19M
Jan 07, 1998, 7.40, 7.45, 7.52, 7.30, 27.88M
Jan 06, 1998, 7.38, 7.50, 7.50, 7.32, 29.35M
Jan 05, 1998, 7.50, 7.53, 7.61, 7.46, 37.83M
Jan 02, 1998, 7.46, 7.21, 7.50, 7.21, 71.53M
Jan 01, 1998, 7.17, 7.14, 7.21, 7.06, 13.23M
Dec 31, 1997, 7.17, 7.16, 7.27, 7.09, 20.68M
Dec 30, 1997, 7.11, 7.23, 7.26, 7.06, 30.78M
Dec 29, 1997, 7.21, 7.03, 7.24, 7.01, 33.80M
Dec 26, 1997, 6.99, 6.87, 7.03, 6.87, 16.90M
Dec 24, 1997, 6.88, 6.74, 6.92, 6.74, 20.18M
Dec 23, 1997, 6.98, 6.90, 7.04, 6.90, 30.67M
Dec 22, 1997, 6.88, 6.82, 6.90, 6.81, 17.86M
Dec 19, 1997, 6.79, 6.71, 6.82, 6.67, 16.05M
Dec 18, 1997, 6.73, 6.78, 6.93, 6.69, 37.01M
Dec 17, 1997, 6.80, 6.97, 6.97, 6.73, 18.19M
Dec 16, 1997, 6.80, 6.73, 6.86, 6.62, 39.35M
Dec 15, 1997, 6.72, 6.45, 6.74, 6.45, 47.91M
Dec 12, 1997, 6.47, 6.48, 6.64, 6.33, 42.27M
Dec 11, 1997, 6.40, 6.24, 6.45, 6.16, 43.73M
Dec 10, 1997, 6.24, 6.43, 6.43, 6.16, 31.16M
Dec 09, 1997, 6.35, 6.50, 6.58, 6.27, 30.52M
Dec 08, 1997, 6.49, 6.52, 6.56, 6.43, 22.32M
Dec 05, 1997, 6.55, 6.62, 6.77, 6.48, 31.32M
Dec 04, 1997, 6.68, 6.73, 6.87, 6.48, 22.21M
Dec 03, 1997, 6.80, 6.82, 6.87, 6.72, 12.57M
Dec 02, 1997, 6.81, 6.88, 6.89, 6.76, 20.38M
Dec 01, 1997, 6.87, 6.80, 6.89, 6.74, 21.28M
Nov 28, 1997, 6.88, 7.06, 7.09, 6.81, 38.21M
Nov 27, 1997, 7.14, 6.88, 7.16, 6.88, 32.56M
Nov 26, 1997, 6.98, 7.03, 7.14, 6.95, 19.59M
Nov 25, 1997, 6.96, 6.74, 7.03, 6.48, 44.28M
Nov 24, 1997, 6.78, 7.27, 7.27, 6.78, 42.40M
Nov 21, 1997, 7.29, 7.73, 7.73, 7.27, 60.47M
Nov 20, 1997, 7.82, 7.77, 7.90, 7.57, 18.87M
Nov 19, 1997, 7.86, 7.94, 7.98, 7.75, 23.14M
Nov 18, 1997, 8.05, 8.13, 8.14, 7.99, 23.07M
Nov 17, 1997, 8.15, 7.94, 8.19, 7.94, 13.98M
Nov 13, 1997, 8.15, 8.33, 8.35, 8.09, 29.07M
Nov 12, 1997, 8.36, 8.51, 8.55, 8.33, 24.53M
Nov 11, 1997, 8.51, 8.54, 8.59, 8.48, 21.51M
Nov 10, 1997, 8.52, 8.54, 8.59, 8.51, 17.44M
Nov 07, 1997, 8.59, 8.62, 8.65, 8.51, 28.36M
Nov 06, 1997, 8.59, 8.57, 8.60, 8.43, 26.41M
Nov 05, 1997, 8.57, 8.46, 8.65, 8.37, 36.54M
Nov 04, 1997, 8.46, 8.46, 8.52, 8.39, 24.57M
Nov 03, 1997, 8.48, 8.56, 8.71, 8.33, 22.88M
Oct 30, 1997, 8.50, 8.66, 8.68, 8.25, 18.25M
Oct 29, 1997, 8.66, 7.94, 8.83, 7.94, 63.25M
Oct 28, 1997, 8.06, 8.89, 8.89, 8.04, 59.01M
Oct 27, 1997, 8.93, 8.90, 8.99, 8.83, 24.71M
Oct 24, 1997, 8.95, 9.09, 9.11, 8.87, 37.19M
Oct 23, 1997, 9.14, 9.33, 9.38, 9.05, 40.24M
Oct 22, 1997, 9.32, 9.52, 9.56, 9.29, 33.74M
Oct 21, 1997, 9.41, 9.73, 9.75, 9.30, 54.08M
Oct 20, 1997, 9.73, 9.79, 9.86, 9.57, 51.18M
Oct 17, 1997, 9.84, 9.90, 9.95, 9.81, 56.01M
Oct 16, 1997, 9.88, 9.94, 10.03, 9.76, 68.32M
Oct 15, 1997, 9.80, 9.48, 9.88, 9.48, 94.21M
Oct 14, 1997, 9.32, 9.25, 9.64, 9.21, 61.79M
Oct 13, 1997, 9.26, 9.44, 9.65, 9.23, 51.82M
Oct 10, 1997, 9.34, 9.15, 9.40, 9.14, 59.55M
Oct 09, 1997, 9.13, 9.04, 9.15, 9.02, 21.14M
Oct 01, 1997, 9.06, 9.18, 9.18, 8.95, 42.11M
Sep 30, 1997, 9.13, 9.23, 9.23, 9.10, 24.05M
Sep 29, 1997, 9.24, 9.23, 9.35, 9.18, 25.37M
Sep 26, 1997, 9.16, 9.23, 9.28, 9.15, 21.80M
Sep 25, 1997, 9.20, 9.09, 9.23, 9.08, 20.46M
Sep 24, 1997, 9.14, 9.20, 9.56, 9.13, 27.58M
Sep 23, 1997, 9.04, 9.00, 9.15, 9.00, 31.42M
Sep 22, 1997, 9.10, 9.25, 9.28, 9.08, 22.82M
Sep 19, 1997, 9.34, 9.41, 9.50, 9.33, 30.12M
Sep 18, 1997, 9.46, 9.57, 9.57, 9.41, 44.34M
Sep 17, 1997, 9.74, 9.67, 9.82, 9.67, 24.54M
Sep 16, 1997, 9.61, 9.68, 9.75, 9.57, 40.82M
Sep 15, 1997, 9.66, 9.65, 9.68, 9.62, 16.22M
