date, close, open, high, low, volume
Sep 03, 1999, 8.32, 8.27, 8.50, 8.26, 38.92M
Sep 02, 1999, 8.28, 8.51, 8.54, 8.22, 45.76M
Sep 01, 1999, 8.65, 8.93, 9.01, 8.41, 66.56M
Aug 31, 1999, 8.78, 8.99, 9.09, 8.72, 46.65M
Aug 30, 1999, 9.09, 8.93, 9.24, 8.79, 114.17M
Aug 27, 1999, 8.75, 8.29, 8.88, 8.27, 81.85M
Aug 26, 1999, 8.22, 8.29, 8.43, 8.06, 40.72M
Aug 25, 1999, 8.12, 8.67, 8.76, 7.82, 46.81M
Aug 24, 1999, 8.50, 8.37, 8.64, 8.20, 98.43M
Aug 23, 1999, 8.29, 7.76, 8.29, 7.76, 86.46M
Aug 20, 1999, 7.67, 7.56, 7.72, 7.41, 54.35M
Aug 19, 1999, 7.55, 7.74, 7.90, 7.51, 91.78M
Aug 18, 1999, 7.75, 7.51, 7.82, 7.44, 102.52M
Aug 17, 1999, 7.24, 7.24, 7.31, 7.14, 57.54M
Aug 16, 1999, 7.25, 7.39, 7.55, 7.17, 49.55M
Aug 13, 1999, 7.29, 7.65, 7.65, 7.27, 42.51M
Aug 12, 1999, 7.55, 7.65, 7.85, 7.51, 67.81M
Aug 11, 1999, 7.59, 7.14, 7.67, 7.01, 84.38M
Aug 10, 1999, 7.26, 7.41, 7.44, 7.22, 36.07M
Aug 09, 1999, 7.49, 7.13, 7.58, 7.13, 68.69M
Aug 06, 1999, 7.05, 7.10, 7.13, 6.98, 19.85M
Aug 05, 1999, 7.10, 7.32, 7.40, 7.03, 29.24M
Aug 04, 1999, 7.32, 7.16, 7.43, 7.14, 46.75M
Aug 03, 1999, 6.94, 7.04, 7.13, 6.88, 35.01M
Aug 02, 1999, 7.08, 7.35, 7.35, 7.04, 18.39M
Jul 30, 1999, 7.34, 7.35, 7.50, 7.28, 40.54M
Jul 29, 1999, 7.38, 7.30, 7.45, 7.26, 35.28M
Jul 28, 1999, 7.37, 7.79, 7.90, 7.28, 48.70M
Jul 27, 1999, 7.67, 7.51, 7.97, 7.48, 67.99M
Jul 26, 1999, 7.55, 7.67, 7.67, 7.51, 16.22M
Jul 23, 1999, 7.70, 7.70, 7.82, 7.64, 24.25M
Jul 22, 1999, 7.69, 7.91, 7.97, 7.64, 38.25M
Jul 21, 1999, 7.88, 7.82, 8.06, 7.72, 36.10M
Jul 20, 1999, 7.84, 7.85, 8.15, 7.77, 82.98M
Jul 19, 1999, 7.94, 8.45, 8.47, 7.85, 58.93M
Jul 16, 1999, 8.33, 8.20, 8.48, 8.00, 105.90M
Jul 15, 1999, 8.31, 9.09, 9.09, 8.26, 130.43M
Jul 14, 1999, 8.98, 8.67, 9.14, 8.52, 122.14M
Jul 13, 1999, 8.68, 9.15, 9.22, 8.57, 81.20M
Jul 12, 1999, 9.10, 8.78, 9.17, 8.75, 115.87M
Jul 09, 1999, 8.74, 8.14, 8.77, 8.11, 174.67M
Jul 08, 1999, 8.12, 8.18, 8.27, 8.04, 43.87M
Jul 07, 1999, 8.11, 8.24, 8.38, 8.04, 69.43M
Jul 06, 1999, 8.28, 8.65, 8.65, 8.22, 98.24M
Jul 05, 1999, 8.41, 7.82, 8.41, 7.82, 85.84M
Jul 02, 1999, 7.78, 7.59, 7.85, 7.59, 90.65M
Jul 01, 1999, 7.53, 7.40, 7.63, 7.40, 77.39M
Jun 30, 1999, 7.36, 7.38, 7.39, 7.12, 53.64M
Jun 29, 1999, 7.31, 7.35, 7.49, 7.27, 36.83M
