date, close, open, high, low, volume
Apr 13, 2009, 177.04, 160.49, 202.56, 147.23, 19.35M
Apr 09, 2009, 158.27, 160.47, 168.92, 155.18, 1.13M
Apr 08, 2009, 156.27, 150.29, 158.57, 148.22, 1.51M
Apr 06, 2009, 152.76, 139.94, 155.38, 139.94, 1.38M
Apr 02, 2009, 138.78, 135.37, 141.94, 135.37, 512.03K
Apr 01, 2009, 134.58, 131.42, 138.48, 131.42, 428.76K
Mar 31, 2009, 130.97, 130.13, 133.37, 127.00, 192.84K
Mar 30, 2009, 129.19, 123.51, 136.41, 123.51, 278.99K
Mar 27, 2009, 136.11, 134.85, 137.84, 132.73, 398.47K
Mar 26, 2009, 132.65, 133.42, 137.27, 131.49, 366.93K
Mar 25, 2009, 134.09, 133.39, 139.32, 131.91, 398.29K
Mar 24, 2009, 135.47, 138.33, 145.55, 132.90, 1.45M
Mar 23, 2009, 137.07, 138.33, 140.51, 135.91, 274.32K
Mar 20, 2009, 136.28, 134.36, 141.00, 134.36, 664.29K
Mar 19, 2009, 135.05, 133.15, 144.41, 132.50, 1.02M
Mar 18, 2009, 131.47, 133.39, 137.30, 130.48, 366.39K
Mar 17, 2009, 130.90, 126.97, 133.89, 126.53, 394.64K
Mar 16, 2009, 126.11, 127.47, 127.86, 124.55, 200.29K
Mar 13, 2009, 126.35, 132.41, 133.86, 125.51, 364.97K
Mar 12, 2009, 130.38, 132.41, 141.50, 127.47, 490.00K
Mar 09, 2009, 129.91, 124.95, 131.39, 122.67, 192.64K
Mar 06, 2009, 125.61, 120.55, 126.97, 120.55, 147.05K
Mar 05, 2009, 122.30, 124.50, 127.39, 120.13, 169.44K
Mar 04, 2009, 123.88, 120.99, 125.09, 120.99, 149.38K
Mar 03, 2009, 120.97, 121.59, 122.67, 118.87, 215.32K
Mar 02, 2009, 121.36, 120.55, 126.92, 118.77, 224.03K
Feb 27, 2009, 122.85, 125.49, 127.96, 121.26, 285.85K
Feb 26, 2009, 127.44, 135.27, 142.29, 126.28, 604.86K
Feb 25, 2009, 136.26, 137.72, 140.80, 133.96, 796.41K
Feb 24, 2009, 134.11, 130.92, 136.26, 127.47, 679.93K
Feb 20, 2009, 133.32, 106.34, 135.72, 106.34, 2.16M
Feb 19, 2009, 131.74, 116.60, 135.27, 115.61, 1.03M
Feb 18, 2009, 117.98, 115.06, 120.55, 114.62, 137.15K
Feb 17, 2009, 117.31, 117.83, 120.05, 116.13, 160.40K
Feb 16, 2009, 121.24, 123.51, 124.01, 118.57, 230.25K
Feb 13, 2009, 123.29, 122.23, 125.49, 121.09, 347.16K
Feb 12, 2009, 120.84, 114.57, 123.51, 113.63, 472.20K
Feb 11, 2009, 115.34, 115.11, 117.09, 114.40, 34.62K
Feb 10, 2009, 116.99, 116.15, 118.30, 116.10, 64.45K
Feb 09, 2009, 115.95, 115.11, 118.55, 114.60, 91.50K
Feb 06, 2009, 114.62, 111.41, 115.41, 111.41, 239.86K
Feb 05, 2009, 111.28, 115.11, 115.68, 109.73, 82.95K
Feb 04, 2009, 114.25, 115.11, 119.46, 113.63, 120.81K
Feb 03, 2009, 114.82, 120.55, 120.55, 113.68, 165.14K
Feb 02, 2009, 116.32, 118.57, 120.55, 114.97, 130.05K
Jan 30, 2009, 117.53, 113.04, 118.57, 111.16, 263.53K
Jan 29, 2009, 113.80, 112.15, 116.10, 110.22, 332.70K
Jan 28, 2009, 110.74, 107.70, 111.19, 107.70, 223.58K
Jan 27, 2009, 106.59, 113.58, 113.58, 102.76, 206.65K
Jan 23, 2009, 103.40, 111.75, 113.14, 101.28, 232.03K
Jan 22, 2009, 113.34, 114.13, 117.76, 107.53, 471.67K
Jan 21, 2009, 112.00, 114.37, 119.02, 110.72, 104.96K
Jan 20, 2009, 116.94, 116.10, 120.05, 113.90, 111.04K
Jan 19, 2009, 118.47, 122.48, 122.48, 116.60, 63.29K
Jan 16, 2009, 118.75, 119.81, 122.99, 117.68, 116.85K
Jan 15, 2009, 119.39, 112.64, 123.51, 104.27, 327.84K
Jan 14, 2009, 116.50, 117.34, 122.03, 115.11, 232.95K
Jan 13, 2009, 115.31, 122.97, 122.97, 113.68, 307.66K
Jan 12, 2009, 121.56, 124.50, 127.93, 120.55, 170.80K
Jan 09, 2009, 123.44, 123.51, 130.33, 116.10, 339.34K
Jan 07, 2009, 124.50, 148.22, 148.78, 121.54, 851.94K
Jan 06, 2009, 145.40, 138.33, 167.98, 138.33, 2.34M
Jan 05, 2009, 140.26, 137.30, 142.78, 137.30, 379.24K
Jan 02, 2009, 135.32, 132.90, 137.84, 130.45, 278.56K
Jan 01, 2009, 129.07, 122.25, 131.37, 122.25, 218.21K
Dec 31, 2008, 122.25, 125.29, 125.98, 121.17, 100.53K
Dec 30, 2008, 122.70, 120.55, 124.99, 120.20, 136.33K
Dec 29, 2008, 119.51, 115.36, 121.54, 114.18, 265.27K
Dec 26, 2008, 116.67, 120.55, 123.51, 115.21, 199.88K
Dec 24, 2008, 121.76, 131.42, 132.41, 121.04, 229.55K
Dec 23, 2008, 131.84, 132.03, 134.26, 130.92, 80.56K
Dec 22, 2008, 134.88, 131.91, 135.86, 130.18, 217.89K
Dec 19, 2008, 130.78, 132.45, 135.86, 128.50, 200.75K
Dec 18, 2008, 132.83, 132.01, 133.39, 126.97, 176.92K
Dec 17, 2008, 131.05, 138.38, 143.18, 128.50, 386.30K
Dec 16, 2008, 135.69, 127.22, 139.52, 127.22, 232.10K
Dec 15, 2008, 129.79, 125.98, 131.89, 125.98, 92.58K
Dec 12, 2008, 128.92, 123.51, 129.66, 122.28, 157.41K
Dec 11, 2008, 125.51, 130.43, 132.38, 124.03, 115.61K
Dec 10, 2008, 129.54, 123.51, 130.68, 123.51, 165.09K
Dec 08, 2008, 124.15, 130.80, 130.80, 122.55, 114.86K
Dec 05, 2008, 124.50, 127.96, 130.92, 123.12, 133.55K
Dec 04, 2008, 126.85, 123.12, 127.96, 123.02, 239.68K
Dec 03, 2008, 121.91, 113.63, 123.02, 113.16, 303.60K
Dec 02, 2008, 114.42, 110.17, 116.00, 108.69, 123.73K
Dec 01, 2008, 113.16, 111.16, 118.08, 111.16, 265.34K
Nov 28, 2008, 111.46, 108.69, 115.11, 107.75, 296.93K
Nov 26, 2008, 110.32, 113.19, 113.63, 107.04, 285.60K
Nov 25, 2008, 111.83, 118.55, 122.48, 109.68, 230.56K
Nov 24, 2008, 114.92, 123.02, 125.93, 113.66, 195.21K
Nov 21, 2008, 121.68, 120.00, 127.47, 116.60, 219.82K
Nov 20, 2008, 120.57, 125.98, 125.98, 118.13, 391.16K
Nov 19, 2008, 126.45, 139.32, 141.79, 124.13, 239.78K
Nov 18, 2008, 138.61, 144.26, 144.76, 136.46, 93.46K
Nov 17, 2008, 144.71, 148.22, 148.22, 140.80, 262.37K
Nov 14, 2008, 147.23, 157.11, 159.58, 145.30, 280.92K
Nov 12, 2008, 154.71, 156.61, 160.20, 153.30, 117.60K
Nov 11, 2008, 158.00, 163.04, 165.53, 156.79, 136.96K
Nov 10, 2008, 165.43, 163.04, 167.48, 161.06, 206.63K
Nov 07, 2008, 160.76, 163.04, 163.04, 157.11, 227.81K
Nov 06, 2008, 163.36, 161.55, 167.41, 159.08, 109.08K
Nov 05, 2008, 167.41, 163.04, 171.44, 161.55, 470.31K
Nov 04, 2008, 159.80, 167.48, 168.47, 158.10, 335.13K
Nov 03, 2008, 165.48, 174.99, 175.34, 161.60, 265.56K
Oct 31, 2008, 163.04, 158.10, 167.93, 154.00, 669.49K
Oct 29, 2008, 153.33, 173.41, 182.80, 147.70, 308.82K
Oct 28, 2008, 170.10, 167.98, 172.92, 158.10, 56.81K
Oct 27, 2008, 154.44, 165.26, 172.92, 147.28, 158.55K
Oct 24, 2008, 166.74, 182.33, 192.19, 158.10, 377.47K
Oct 23, 2008, 185.47, 201.57, 201.57, 180.87, 282.73K
Oct 22, 2008, 206.83, 202.56, 221.68, 200.19, 543.89K
Oct 21, 2008, 204.19, 195.10, 206.88, 184.28, 175.53K
Oct 20, 2008, 181.56, 170.94, 188.23, 170.94, 120.84K
Oct 17, 2008, 169.71, 194.56, 194.56, 164.69, 162.65K
Oct 16, 2008, 178.97, 182.80, 185.66, 169.95, 150.81K
Oct 15, 2008, 190.01, 208.04, 208.74, 187.74, 154.57K
Oct 14, 2008, 215.01, 228.40, 241.59, 214.91, 132.78K
Oct 13, 2008, 209.28, 197.62, 211.95, 197.62, 88.25K
Oct 10, 2008, 195.64, 222.22, 222.22, 191.44, 161.70K
Oct 08, 2008, 229.49, 237.69, 247.00, 224.35, 147.89K
Oct 07, 2008, 252.78, 288.03, 295.84, 249.54, 246.21K
Oct 06, 2008, 285.54, 303.84, 303.84, 282.15, 219.80K
Oct 03, 2008, 308.16, 311.15, 311.25, 302.38, 83.18K
Oct 01, 2008, 313.70, 308.78, 315.90, 307.32, 146.33K
Sep 30, 2008, 305.92, 297.17, 308.98, 279.19, 272.12K
Sep 29, 2008, 301.30, 297.10, 311.25, 297.10, 118.23K
Sep 26, 2008, 308.86, 311.25, 319.01, 306.39, 89.65K
Sep 25, 2008, 316.17, 331.01, 331.01, 313.92, 125.60K
Sep 24, 2008, 321.26, 329.43, 330.52, 315.70, 81.49K
Sep 23, 2008, 315.45, 318.66, 322.12, 311.25, 54.24K
Sep 22, 2008, 324.20, 336.94, 340.38, 322.61, 51.77K
Sep 19, 2008, 333.51, 328.54, 339.91, 324.10, 136.57K
Sep 18, 2008, 313.15, 314.22, 323.60, 279.26, 248.81K
Sep 17, 2008, 329.90, 345.84, 345.84, 326.07, 206.40K
Sep 16, 2008, 342.01, 350.78, 350.78, 324.15, 127.49K
Sep 15, 2008, 354.68, 365.62, 370.54, 353.25, 111.85K
Sep 12, 2008, 375.11, 399.19, 399.19, 373.65, 96.68K
Sep 11, 2008, 384.59, 404.58, 407.59, 381.46, 184.56K
Sep 10, 2008, 394.33, 390.30, 406.23, 390.30, 544.33K
Sep 09, 2008, 392.52, 380.42, 400.08, 375.48, 591.11K
Sep 08, 2008, 382.49, 390.30, 395.24, 380.49, 126.99K
Sep 05, 2008, 374.34, 379.43, 380.42, 372.51, 62.31K
Sep 04, 2008, 382.32, 371.03, 385.85, 370.56, 159.31K
Sep 02, 2008, 375.06, 370.54, 376.91, 360.66, 238.47K
Sep 01, 2008, 368.41, 371.03, 371.16, 365.60, 61.76K
Aug 29, 2008, 369.33, 374.00, 374.00, 364.12, 140.30K
Aug 28, 2008, 363.97, 382.89, 387.29, 361.27, 281.61K
Aug 27, 2008, 384.52, 395.12, 395.24, 381.56, 153.87K
Aug 26, 2008, 388.15, 376.91, 392.75, 376.91, 122.99K
Aug 25, 2008, 376.91, 378.94, 384.62, 372.02, 32.92K
Aug 22, 2008, 378.69, 371.03, 382.40, 371.03, 48.01K
Aug 21, 2008, 377.90, 379.92, 387.78, 375.63, 79.12K
Aug 20, 2008, 384.00, 382.40, 387.83, 378.15, 161.86K
Aug 19, 2008, 376.27, 366.59, 377.95, 366.59, 58.44K
Aug 18, 2008, 370.69, 382.86, 387.83, 368.66, 182.42K
Aug 14, 2008, 379.01, 390.30, 394.75, 377.01, 161.14K
Aug 13, 2008, 389.53, 387.83, 394.25, 382.89, 108.87K
Aug 12, 2008, 388.08, 400.18, 402.01, 385.85, 84.46K
Aug 11, 2008, 396.10, 395.24, 406.46, 394.25, 320.04K
Aug 08, 2008, 392.82, 382.89, 395.14, 382.89, 309.32K
Aug 07, 2008, 383.73, 381.46, 387.83, 375.53, 76.30K
Aug 06, 2008, 380.17, 381.60, 389.81, 376.52, 251.63K
Aug 05, 2008, 375.13, 368.61, 379.90, 368.61, 66.91K
Aug 04, 2008, 374.56, 375.48, 378.69, 370.54, 60.30K
Aug 01, 2008, 373.63, 370.04, 379.92, 363.13, 181.64K
Jul 31, 2008, 374.93, 375.48, 381.85, 368.12, 408.06K
Jul 30, 2008, 371.23, 359.67, 373.01, 355.72, 224.87K
Jul 29, 2008, 354.16, 354.88, 364.81, 351.27, 152.04K
Jul 28, 2008, 354.88, 353.74, 359.92, 353.72, 62.87K
Jul 25, 2008, 354.18, 350.78, 360.51, 346.03, 125.97K
Jul 24, 2008, 349.64, 374.00, 378.89, 347.84, 264.21K
Jul 23, 2008, 371.90, 380.37, 391.24, 368.12, 246.51K
Jul 22, 2008, 367.28, 345.34, 373.85, 345.34, 632.07K
Jul 21, 2008, 336.35, 333.48, 338.92, 323.60, 221.68K
Jul 18, 2008, 329.66, 329.06, 332.99, 310.39, 151.65K
Jul 17, 2008, 326.02, 321.13, 339.61, 318.74, 83.92K
Jul 16, 2008, 319.58, 333.98, 340.89, 317.67, 129.17K
Jul 15, 2008, 331.33, 324.74, 335.09, 317.18, 630.81K
Jul 14, 2008, 327.48, 344.23, 346.33, 326.07, 177.68K
Jul 11, 2008, 344.23, 378.25, 378.25, 340.89, 151.16K
Jul 10, 2008, 370.17, 370.04, 375.43, 364.12, 197.75K
Jul 09, 2008, 371.06, 360.11, 373.01, 355.72, 163.22K
Jul 08, 2008, 352.31, 346.33, 356.26, 346.33, 57.22K
Jul 07, 2008, 359.69, 349.17, 367.30, 349.17, 115.26K
Jul 04, 2008, 349.17, 346.03, 351.76, 337.51, 95.20K
Jul 03, 2008, 341.86, 347.07, 351.27, 336.94, 119.48K
Jul 02, 2008, 351.91, 345.84, 353.54, 333.48, 117.43K
Jul 01, 2008, 343.24, 355.72, 356.21, 340.89, 163.81K
Jun 30, 2008, 353.42, 353.25, 358.19, 347.32, 265.84K
Jun 27, 2008, 350.78, 360.66, 360.66, 347.32, 98.60K
Jun 26, 2008, 360.48, 375.48, 375.48, 358.19, 302.48K
Jun 25, 2008, 371.25, 370.54, 377.95, 363.70, 231.52K
Jun 24, 2008, 373.75, 382.40, 394.25, 368.31, 179.38K
Jun 23, 2008, 376.86, 370.56, 379.65, 364.02, 216.52K
Jun 20, 2008, 372.88, 387.83, 392.75, 371.03, 184.73K
Jun 19, 2008, 385.04, 385.36, 396.18, 382.89, 185.24K
Jun 18, 2008, 390.08, 409.27, 409.27, 385.48, 174.09K
Jun 17, 2008, 402.01, 395.24, 407.54, 385.36, 249.39K
Jun 16, 2008, 389.29, 395.78, 402.16, 386.45, 128.55K
Jun 13, 2008, 392.10, 390.25, 402.65, 382.15, 343.75K
Jun 12, 2008, 383.63, 365.60, 394.72, 355.72, 233.83K
Jun 11, 2008, 377.70, 366.59, 381.41, 363.13, 289.94K
Jun 10, 2008, 365.25, 390.30, 392.77, 361.15, 320.62K
Jun 09, 2008, 392.45, 395.73, 397.44, 385.36, 142.68K
Jun 06, 2008, 406.31, 420.44, 428.84, 404.13, 206.99K
Jun 05, 2008, 417.92, 394.65, 423.90, 387.83, 437.01K
Jun 04, 2008, 388.84, 407.59, 411.54, 382.99, 260.05K
