date, close, open, high, low, volume
Apr 04, 2014, 269.80, 270.10, 274.30, 266.00, 961.37K
Apr 03, 2014, 268.00, 266.00, 270.85, 263.00, 1.54M
Apr 02, 2014, 265.35, 266.45, 267.00, 263.00, 357.89K
Apr 01, 2014, 265.15, 266.45, 268.00, 260.60, 986.67K
Mar 31, 2014, 262.70, 255.00, 268.35, 254.10, 2.09M
Mar 28, 2014, 253.15, 254.80, 256.10, 250.40, 674.42K
Mar 27, 2014, 253.80, 249.20, 254.65, 246.10, 1.32M
Mar 26, 2014, 248.75, 256.00, 256.90, 248.20, 658.82K
Mar 25, 2014, 255.40, 253.05, 257.30, 253.05, 654.92K
Mar 24, 2014, 252.90, 254.30, 258.50, 251.15, 638.00K
Mar 22, 2014, 254.95, 255.00, 256.35, 254.50, 50.93K
Mar 21, 2014, 255.00, 256.40, 257.40, 253.40, 948.53K
Mar 20, 2014, 253.40, 257.00, 262.45, 252.00, 2.16M
Mar 19, 2014, 254.85, 256.00, 257.25, 251.55, 829.85K
Mar 18, 2014, 255.35, 254.95, 257.00, 253.15, 1.29M
Mar 14, 2014, 253.15, 251.75, 254.35, 248.50, 653.40K
Mar 13, 2014, 251.65, 254.00, 258.50, 248.40, 1.67M
Mar 12, 2014, 252.25, 248.50, 257.00, 248.40, 1.35M
Mar 11, 2014, 248.75, 252.25, 254.50, 247.00, 1.19M
Mar 10, 2014, 250.55, 254.00, 258.50, 249.30, 1.53M
Mar 07, 2014, 255.00, 249.60, 256.40, 246.00, 1.89M
Mar 06, 2014, 246.80, 245.60, 250.60, 243.15, 1.08M
Mar 05, 2014, 245.65, 252.55, 252.85, 244.00, 1.42M
Mar 04, 2014, 254.80, 250.50, 258.40, 250.30, 2.54M
Mar 03, 2014, 249.25, 242.50, 251.50, 239.50, 2.03M
Feb 28, 2014, 242.50, 246.10, 246.90, 240.05, 716.55K
Feb 26, 2014, 245.60, 244.50, 247.30, 242.50, 1.50M
Feb 25, 2014, 243.20, 237.35, 244.30, 236.50, 2.39M
Feb 24, 2014, 235.70, 234.70, 237.50, 231.50, 729.67K
Feb 21, 2014, 234.05, 235.20, 236.80, 232.80, 691.02K
Feb 20, 2014, 234.15, 233.00, 237.80, 231.10, 1.30M
Feb 19, 2014, 232.60, 228.90, 233.90, 228.20, 1.31M
Feb 18, 2014, 228.65, 231.00, 231.00, 225.95, 609.40K
Feb 17, 2014, 228.95, 233.65, 236.30, 225.15, 2.33M
Feb 14, 2014, 231.55, 230.00, 232.60, 226.65, 723.07K
Feb 13, 2014, 229.35, 230.00, 232.00, 226.60, 755.69K
Feb 12, 2014, 230.30, 233.00, 233.80, 228.60, 714.28K
Feb 11, 2014, 232.30, 231.25, 235.65, 230.10, 1.51M
Feb 10, 2014, 230.95, 225.00, 233.75, 223.60, 1.76M
Feb 07, 2014, 225.70, 226.05, 228.60, 223.15, 1.03M
Feb 06, 2014, 225.55, 221.90, 226.20, 219.35, 977.40K
Feb 05, 2014, 220.90, 221.20, 224.00, 219.00, 545.19K
Feb 04, 2014, 221.75, 218.70, 225.90, 217.10, 1.09M
Feb 03, 2014, 219.95, 220.15, 227.50, 218.65, 1.43M
Jan 31, 2014, 221.55, 222.80, 223.50, 216.65, 1.22M
Jan 30, 2014, 222.80, 210.00, 224.40, 202.45, 5.93M
Jan 29, 2014, 214.65, 218.40, 219.00, 212.00, 1.08M
Jan 28, 2014, 217.00, 216.50, 218.60, 214.95, 440.88K
Jan 27, 2014, 215.85, 217.00, 218.00, 212.35, 830.74K
Jan 24, 2014, 218.70, 226.40, 227.90, 218.00, 2.04M
Jan 23, 2014, 225.35, 216.75, 227.40, 216.20, 2.57M
Jan 22, 2014, 217.35, 217.20, 219.25, 216.25, 656.09K
Jan 21, 2014, 217.80, 217.00, 220.30, 216.10, 875.41K
Jan 20, 2014, 216.50, 216.10, 217.95, 215.00, 392.82K
Jan 17, 2014, 217.05, 216.70, 220.75, 216.55, 645.92K
Jan 16, 2014, 218.20, 218.05, 219.70, 216.65, 809.13K
Jan 15, 2014, 218.05, 221.15, 222.25, 216.15, 1.06M
Jan 14, 2014, 221.00, 221.25, 222.40, 220.00, 364.39K
Jan 13, 2014, 221.10, 221.00, 223.40, 214.10, 1.25M
Jan 10, 2014, 220.25, 224.00, 227.25, 219.00, 983.76K
Jan 09, 2014, 223.85, 225.15, 227.45, 221.40, 1.13M
Jan 08, 2014, 222.75, 226.90, 226.95, 222.10, 878.31K
Jan 07, 2014, 226.05, 230.00, 230.90, 224.80, 713.96K
Jan 06, 2014, 227.80, 228.00, 230.30, 225.55, 497.19K
Jan 03, 2014, 227.40, 226.00, 228.75, 224.00, 818.98K
Jan 02, 2014, 226.35, 229.50, 235.95, 225.10, 1.57M
Jan 01, 2014, 230.80, 230.00, 232.50, 229.35, 538.94K
Dec 31, 2013, 229.50, 230.05, 230.30, 228.20, 486.57K
Dec 30, 2013, 228.95, 231.80, 231.90, 228.10, 845.70K
Dec 27, 2013, 229.45, 231.30, 232.50, 226.65, 1.05M
Dec 26, 2013, 229.95, 228.20, 232.00, 228.20, 2.08M
Dec 24, 2013, 228.20, 230.00, 231.05, 227.00, 988.24K
Dec 23, 2013, 229.10, 229.05, 233.35, 228.60, 918.68K
Dec 20, 2013, 228.65, 230.40, 235.55, 227.80, 1.11M
Dec 19, 2013, 232.80, 236.75, 237.00, 229.55, 913.78K
Dec 18, 2013, 235.50, 230.10, 237.50, 230.10, 2.51M
Dec 17, 2013, 229.70, 226.10, 233.50, 224.05, 1.50M
Dec 16, 2013, 225.05, 220.60, 226.95, 220.60, 1.45M
Dec 13, 2013, 219.85, 221.90, 222.15, 218.20, 1.18M
Dec 12, 2013, 222.40, 225.50, 225.80, 222.00, 968.01K
Dec 11, 2013, 225.00, 226.50, 228.35, 224.05, 1.08M
Dec 10, 2013, 226.75, 227.05, 232.50, 226.20, 842.97K
Dec 09, 2013, 229.75, 236.00, 236.00, 226.60, 943.50K
Dec 06, 2013, 231.05, 227.00, 234.15, 225.95, 1.96M
Dec 05, 2013, 226.70, 228.40, 228.40, 225.20, 1.17M
Dec 04, 2013, 225.05, 224.05, 226.95, 223.75, 892.76K
Dec 03, 2013, 225.40, 227.90, 229.00, 225.00, 836.45K
Dec 02, 2013, 228.45, 229.40, 231.35, 226.45, 819.52K
Nov 29, 2013, 229.05, 227.40, 231.00, 227.35, 708.69K
Nov 28, 2013, 227.25, 227.25, 230.55, 225.30, 2.03M
Nov 27, 2013, 227.80, 228.05, 229.60, 223.75, 1.38M
Nov 26, 2013, 224.50, 228.00, 232.55, 221.40, 9.70M
Nov 25, 2013, 228.30, 228.20, 232.00, 225.75, 1.29M
Nov 22, 2013, 227.55, 224.95, 230.85, 224.90, 1.86M
Nov 21, 2013, 223.80, 227.00, 227.50, 221.30, 1.87M
Nov 20, 2013, 227.80, 233.00, 234.50, 227.00, 1.33M
Nov 19, 2013, 234.10, 235.20, 237.85, 232.25, 829.91K
Nov 18, 2013, 236.25, 236.10, 238.35, 234.20, 622.30K
Nov 14, 2013, 233.65, 234.10, 238.90, 233.00, 755.39K
Nov 13, 2013, 232.85, 230.00, 237.35, 230.00, 792.04K
Nov 12, 2013, 231.80, 230.00, 234.70, 230.00, 815.46K
Nov 11, 2013, 231.80, 234.50, 236.85, 230.30, 1.12M
Nov 08, 2013, 234.40, 240.00, 240.00, 232.80, 1.35M
Nov 07, 2013, 242.05, 246.45, 248.00, 240.05, 1.39M
Nov 06, 2013, 248.65, 257.10, 262.90, 248.00, 2.28M
Nov 05, 2013, 258.65, 257.55, 261.05, 254.60, 1.23M
Nov 01, 2013, 261.65, 258.50, 265.00, 254.25, 4.42M
Oct 31, 2013, 267.20, 256.00, 272.00, 251.30, 4.13M
Oct 30, 2013, 256.20, 256.00, 257.40, 253.00, 978.94K
Oct 29, 2013, 255.15, 251.55, 257.35, 251.10, 2.52M
Oct 28, 2013, 250.80, 245.00, 253.60, 244.80, 2.75M
Oct 25, 2013, 244.15, 241.00, 245.40, 238.70, 2.16M
Oct 24, 2013, 241.85, 240.00, 247.50, 240.00, 2.47M
Oct 23, 2013, 239.80, 239.00, 242.55, 237.05, 1.36M
Oct 22, 2013, 238.80, 241.00, 244.30, 237.55, 1.44M
Oct 21, 2013, 241.05, 242.40, 243.75, 235.70, 3.13M
Oct 18, 2013, 242.40, 244.60, 245.75, 240.55, 1.50M
Oct 17, 2013, 241.50, 232.05, 243.80, 232.05, 1.34M
Oct 15, 2013, 234.05, 237.00, 239.15, 232.00, 938.05K
Oct 14, 2013, 237.00, 238.65, 241.55, 234.40, 736.66K
Oct 11, 2013, 237.80, 240.00, 241.25, 235.00, 1.37M
Oct 10, 2013, 238.90, 238.00, 242.00, 238.00, 1.23M
Oct 09, 2013, 239.95, 238.00, 241.60, 235.60, 1.59M
Oct 08, 2013, 241.00, 241.00, 243.70, 239.75, 1.34M
Oct 07, 2013, 239.00, 239.00, 242.00, 235.60, 779.21K
Oct 04, 2013, 240.50, 237.00, 245.00, 237.00, 1.80M
Oct 03, 2013, 239.50, 235.00, 241.00, 235.00, 2.63M
Oct 01, 2013, 234.95, 235.00, 236.60, 230.15, 889.33K
Sep 30, 2013, 232.10, 233.55, 237.25, 231.00, 1.09M
Sep 27, 2013, 235.00, 243.30, 244.15, 234.40, 944.76K
Sep 26, 2013, 241.25, 242.10, 245.10, 239.40, 1.14M
Sep 25, 2013, 244.40, 241.95, 246.90, 239.60, 2.58M
Sep 24, 2013, 244.35, 243.00, 249.00, 242.00, 4.77M
Sep 23, 2013, 241.85, 229.80, 246.25, 229.05, 3.88M
Sep 20, 2013, 232.70, 227.00, 235.30, 223.00, 2.49M
Sep 19, 2013, 228.70, 227.00, 233.45, 224.20, 3.45M
Sep 18, 2013, 222.75, 227.00, 227.00, 220.20, 1.79M
Sep 17, 2013, 221.80, 224.50, 227.00, 219.10, 1.92M
Sep 16, 2013, 223.95, 231.50, 231.80, 219.10, 2.03M
