date, close, open, high, low, volume
Apr 17, 2004, 32.26, 32.67, 32.67, 32.02, 3.75K
Apr 16, 2004, 32.67, 32.53, 32.82, 32.40, 132.36K
Apr 15, 2004, 32.37, 31.73, 32.53, 31.73, 55.80K
Apr 13, 2004, 31.73, 31.37, 32.14, 31.37, 194.29K
Apr 12, 2004, 31.90, 31.67, 32.16, 31.67, 80.34K
Apr 08, 2004, 32.10, 32.13, 32.46, 32.00, 263.23K
Apr 07, 2004, 32.14, 31.59, 32.67, 31.59, 58.56K
Apr 06, 2004, 32.08, 32.15, 32.33, 31.75, 360.18K
Apr 05, 2004, 32.45, 32.01, 32.99, 31.67, 51.19K
Apr 02, 2004, 32.04, 32.67, 32.67, 31.67, 25.41K
Apr 01, 2004, 32.28, 30.67, 33.33, 30.67, 125.44K
Mar 31, 2004, 30.63, 30.67, 30.86, 30.10, 109.98K
Mar 30, 2004, 30.51, 30.67, 30.80, 30.47, 24.61K
Mar 29, 2004, 30.12, 30.98, 30.98, 30.00, 79.83K
Mar 26, 2004, 30.38, 29.40, 30.92, 29.40, 72.60K
Mar 25, 2004, 29.08, 28.73, 30.00, 28.67, 95.43K
Mar 24, 2004, 28.82, 29.07, 29.53, 28.67, 15.97K
Mar 23, 2004, 29.63, 30.35, 30.47, 28.53, 174.67K
Mar 22, 2004, 30.76, 31.68, 31.68, 30.67, 204.10K
Mar 19, 2004, 32.29, 32.14, 32.59, 32.00, 73.35K
Mar 18, 2004, 32.11, 32.21, 32.59, 31.67, 89.85K
Mar 17, 2004, 31.81, 32.33, 32.33, 31.73, 30.49K
Mar 16, 2004, 32.09, 32.09, 32.87, 31.80, 43.06K
Mar 15, 2004, 33.23, 32.35, 33.87, 30.00, 231.94K
Mar 12, 2004, 33.15, 34.33, 34.33, 32.47, 67.84K
Mar 11, 2004, 34.35, 33.67, 34.53, 33.67, 211.47K
Mar 10, 2004, 33.99, 33.67, 34.13, 33.67, 204.09K
