date, close, open, high, low, volume
Feb 13, 1998, 75.36, 75.22, 78.98, 74.52, 276.00K
Feb 12, 1998, 75.36, 76.16, 76.92, 74.75, 169.50K
Feb 11, 1998, 77.57, 78.28, 78.47, 76.16, 99.00K
Feb 10, 1998, 77.86, 80.25, 80.30, 77.10, 157.50K
Feb 09, 1998, 80.49, 79.92, 80.82, 78.80, 130.50K
Feb 06, 1998, 78.84, 82.28, 83.36, 78.51, 333.00K
Feb 05, 1998, 82.37, 86.98, 86.98, 80.87, 114.00K
Feb 04, 1998, 88.20, 87.92, 88.95, 87.21, 73.50K
Feb 03, 1998, 87.73, 87.54, 89.05, 86.84, 96.00K
Feb 02, 1998, 90.08, 90.74, 91.21, 90.08, 42.00K
Jan 30, 1998, 90.88, 90.79, 91.21, 90.27, 57.00K
Jan 29, 1998, 90.17, 89.80, 90.50, 88.67, 112.50K
Jan 28, 1998, 90.03, 90.27, 91.21, 88.39, 97.50K
Jan 27, 1998, 90.69, 92.43, 92.43, 90.36, 96.00K
Jan 23, 1998, 93.56, 94.03, 94.03, 92.95, 195.00K
Jan 22, 1998, 94.03, 95.16, 95.16, 94.03, 34.50K
Jan 21, 1998, 95.72, 96.24, 96.24, 94.97, 58.50K
Jan 20, 1998, 94.08, 97.23, 98.35, 92.85, 282.00K
Jan 19, 1998, 95.96, 97.70, 97.70, 92.85, 171.00K
Jan 16, 1998, 94.22, 99.58, 99.58, 93.28, 423.00K
Jan 15, 1998, 94.45, 94.03, 94.97, 92.15, 139.50K
Jan 14, 1998, 94.03, 98.64, 98.64, 93.61, 271.50K
Jan 13, 1998, 93.37, 95.67, 97.09, 92.67, 375.00K
Jan 12, 1998, 94.83, 92.38, 95.91, 92.38, 195.00K
Jan 09, 1998, 96.57, 101.08, 101.55, 95.20, 450.00K
Jan 08, 1998, 103.48, 106.91, 108.13, 101.79, 418.50K
Jan 07, 1998, 109.73, 108.13, 113.78, 108.13, 468.00K
Jan 06, 1998, 109.31, 111.89, 112.60, 108.13, 330.00K
Jan 05, 1998, 114.01, 108.13, 114.67, 107.66, 849.00K
Jan 02, 1998, 106.02, 109.78, 109.78, 103.43, 565.50K
Jan 01, 1998, 107.66, 100.42, 108.98, 99.15, 856.50K
Dec 31, 1997, 99.48, 93.94, 100.61, 93.94, 325.50K
Dec 30, 1997, 91.82, 94.97, 94.97, 91.21, 201.00K
Dec 29, 1997, 94.17, 97.09, 99.20, 92.15, 183.00K
Dec 26, 1997, 96.57, 96.14, 103.43, 94.55, 576.00K
Dec 24, 1997, 99.39, 99.67, 100.94, 98.73, 259.50K
Dec 23, 1997, 102.02, 103.53, 105.78, 99.95, 235.50K
Dec 22, 1997, 102.49, 103.43, 107.19, 102.07, 61.50K
Dec 19, 1997, 103.24, 102.87, 103.34, 101.93, 25.50K
Dec 18, 1997, 102.49, 103.43, 104.14, 102.02, 28.50K
Dec 17, 1997, 102.49, 105.31, 105.31, 101.55, 43.50K
Dec 16, 1997, 101.50, 101.55, 102.91, 100.71, 51.00K
Dec 15, 1997, 101.55, 98.73, 102.02, 98.73, 31.50K
Dec 12, 1997, 101.60, 103.43, 104.18, 101.55, 55.50K
Dec 11, 1997, 104.89, 104.37, 105.31, 102.54, 45.00K
