date, close, open, high, low, volume
Sep 03, 1999, 181.90, 173.01, 188.01, 173.01, 4.62M
Sep 02, 1999, 175.98, 182.89, 182.89, 174.89, 1.31M
Sep 01, 1999, 184.53, 189.94, 191.11, 181.48, 1.90M
Aug 31, 1999, 184.77, 190.88, 192.76, 182.56, 4.63M
Aug 30, 1999, 193.32, 197.46, 200.28, 191.82, 2.00M
Aug 27, 1999, 196.47, 204.04, 205.83, 194.26, 3.17M
Aug 26, 1999, 202.54, 200.28, 207.76, 197.46, 4.35M
Aug 25, 1999, 196.14, 210.63, 211.57, 189.00, 5.52M
Aug 24, 1999, 205.03, 214.39, 214.39, 200.28, 7.81M
Aug 23, 1999, 210.77, 204.04, 211.38, 199.34, 9.07M
Aug 20, 1999, 195.72, 177.29, 195.72, 177.29, 6.69M
Aug 19, 1999, 181.19, 195.58, 195.58, 181.19, 4.94M
Aug 18, 1999, 196.94, 192.62, 199.91, 185.94, 15.95M
Aug 17, 1999, 185.10, 174.00, 185.10, 173.06, 8.74M
Aug 16, 1999, 171.37, 161.26, 171.37, 161.26, 7.92M
Aug 13, 1999, 158.67, 158.86, 165.02, 154.21, 5.30M
Aug 12, 1999, 157.26, 164.55, 166.20, 155.15, 3.39M
Aug 11, 1999, 163.99, 157.97, 170.19, 153.74, 9.52M
Aug 10, 1999, 161.97, 152.33, 164.46, 149.22, 4.44M
Aug 09, 1999, 155.01, 144.90, 156.37, 144.90, 4.47M
Aug 06, 1999, 144.76, 146.69, 147.06, 143.39, 1.70M
Aug 05, 1999, 147.30, 155.15, 155.15, 143.86, 1.64M
Aug 04, 1999, 148.99, 145.56, 150.87, 144.80, 4.25M
Aug 03, 1999, 139.68, 141.04, 143.68, 133.57, 4.01M
Aug 02, 1999, 145.04, 148.57, 151.39, 143.11, 2.02M
Jul 30, 1999, 154.35, 159.10, 161.21, 151.95, 3.37M
Jul 29, 1999, 162.53, 166.43, 166.43, 160.79, 1.73M
Jul 28, 1999, 165.12, 170.19, 172.97, 163.66, 3.99M
Jul 27, 1999, 165.63, 173.20, 173.77, 160.18, 6.85M
Jul 26, 1999, 174.10, 175.74, 179.50, 167.37, 12.24M
Jul 23, 1999, 166.20, 155.43, 166.20, 155.43, 9.02M
Jul 22, 1999, 153.88, 155.15, 155.81, 142.92, 7.64M
Jul 21, 1999, 144.52, 135.21, 144.52, 133.62, 4.97M
Jul 20, 1999, 133.80, 134.60, 136.34, 132.58, 1.45M
Jul 19, 1999, 136.15, 134.46, 139.16, 133.52, 2.98M
Jul 16, 1999, 130.94, 130.47, 134.37, 128.35, 1.69M
Jul 15, 1999, 131.73, 142.83, 143.86, 130.75, 4.43M
Jul 14, 1999, 139.07, 133.05, 140.90, 126.28, 5.74M
Jul 13, 1999, 131.22, 139.16, 139.16, 128.82, 4.83M
Jul 12, 1999, 128.96, 120.36, 128.96, 120.36, 3.83M
Jul 09, 1999, 119.37, 109.78, 119.37, 109.78, 5.88M
Jul 08, 1999, 110.53, 111.24, 111.38, 109.83, 1.21M
Jul 07, 1999, 111.24, 112.32, 112.84, 110.86, 804.00K
Jul 06, 1999, 112.18, 111.42, 112.74, 110.72, 1.06M
Jul 05, 1999, 110.06, 109.03, 110.95, 108.23, 1.22M
Jul 02, 1999, 107.29, 106.16, 108.04, 105.78, 955.50K
Jul 01, 1999, 106.16, 108.13, 108.93, 105.83, 894.00K
Jun 30, 1999, 108.13, 111.33, 111.33, 106.82, 1.17M
Jun 29, 1999, 110.67, 111.57, 112.36, 110.01, 609.00K
Jun 28, 1999, 112.04, 111.80, 112.55, 110.95, 700.50K
Jun 25, 1999, 111.24, 112.18, 114.67, 110.58, 1.70M
Jun 24, 1999, 113.21, 114.72, 117.07, 112.65, 2.63M
Jun 23, 1999, 117.11, 115.66, 118.81, 111.66, 7.18M
Jun 22, 1999, 113.40, 112.84, 115.84, 111.00, 2.05M
Jun 21, 1999, 113.07, 112.13, 114.72, 111.47, 4.05M
Jun 18, 1999, 110.81, 106.25, 112.36, 106.25, 4.12M
Jun 17, 1999, 104.84, 103.67, 106.16, 103.43, 802.50K
Jun 16, 1999, 104.28, 103.43, 105.22, 100.38, 939.00K
Jun 15, 1999, 101.60, 102.49, 106.68, 100.61, 1.97M
Jun 14, 1999, 102.07, 98.73, 103.43, 97.51, 1.00M
Jun 11, 1999, 105.59, 108.13, 109.36, 104.84, 1.37M
Jun 10, 1999, 109.21, 114.67, 114.67, 108.23, 1.01M
Jun 09, 1999, 111.38, 115.19, 116.60, 110.53, 1.67M
Jun 08, 1999, 112.88, 112.41, 115.56, 109.59, 2.93M
Jun 07, 1999, 115.66, 107.19, 115.66, 106.35, 3.49M
Jun 04, 1999, 107.10, 105.31, 108.84, 103.01, 2.53M
Jun 03, 1999, 102.49, 103.39, 103.43, 101.79, 481.50K
Jun 02, 1999, 102.96, 102.49, 102.96, 100.61, 691.50K
Jun 01, 1999, 102.96, 103.43, 105.31, 99.81, 1.91M
May 31, 1999, 105.27, 100.61, 105.50, 99.67, 1.82M
May 28, 1999, 97.79, 98.97, 99.67, 93.23, 2.20M
May 27, 1999, 100.47, 104.18, 108.60, 100.47, 2.05M
May 26, 1999, 104.37, 111.42, 113.26, 101.55, 3.70M
May 25, 1999, 108.70, 102.44, 108.70, 100.14, 2.67M
May 24, 1999, 100.61, 96.38, 100.61, 95.91, 946.50K
May 21, 1999, 95.91, 101.93, 101.93, 94.78, 933.00K
May 20, 1999, 100.33, 106.25, 109.07, 99.25, 1.88M
May 19, 1999, 101.83, 96.85, 101.83, 95.91, 879.00K
May 18, 1999, 94.26, 95.44, 97.23, 94.03, 916.50K
May 17, 1999, 94.97, 96.85, 98.73, 93.09, 948.00K
May 14, 1999, 96.85, 96.61, 100.28, 95.02, 906.00K
May 13, 1999, 95.91, 94.88, 96.61, 93.18, 598.50K
May 12, 1999, 92.24, 103.20, 103.34, 92.24, 1.29M
May 11, 1999, 100.24, 94.03, 101.08, 93.09, 1.28M
May 10, 1999, 94.03, 86.60, 94.31, 85.57, 1.64M
May 07, 1999, 87.31, 89.33, 90.55, 86.51, 718.50K
May 06, 1999, 88.95, 88.39, 90.46, 87.68, 690.00K
May 05, 1999, 87.45, 86.51, 90.27, 86.51, 945.00K
May 04, 1999, 88.39, 82.51, 88.39, 81.85, 1.10M
May 03, 1999, 82.70, 81.81, 85.57, 81.81, 702.00K
Apr 30, 1999, 82.28, 80.16, 84.63, 78.04, 942.00K
Apr 29, 1999, 80.96, 81.34, 83.64, 79.36, 826.50K
Apr 28, 1999, 80.87, 74.33, 81.62, 74.33, 975.00K
Apr 26, 1999, 78.47, 80.11, 80.16, 78.47, 880.50K
Apr 23, 1999, 85.28, 88.39, 89.28, 82.75, 1.07M
Apr 22, 1999, 88.15, 92.38, 93.09, 87.02, 537.00K
Apr 21, 1999, 92.62, 92.15, 94.78, 91.35, 499.50K
Apr 20, 1999, 92.10, 92.15, 94.03, 89.56, 594.00K
Apr 19, 1999, 93.04, 89.33, 93.94, 87.92, 466.50K
Apr 17, 1999, 87.49, 101.79, 102.68, 87.49, 1.43M
Apr 16, 1999, 95.06, 89.19, 95.06, 88.39, 1.02M
Apr 15, 1999, 88.01, 89.28, 90.41, 87.45, 513.00K
Apr 13, 1999, 91.77, 94.08, 94.50, 91.30, 828.00K
Apr 12, 1999, 95.44, 92.62, 95.91, 90.97, 501.00K
Apr 09, 1999, 94.97, 100.61, 100.99, 94.97, 858.00K
Apr 08, 1999, 100.61, 104.84, 104.84, 99.67, 354.00K
Apr 07, 1999, 104.94, 107.85, 108.13, 104.37, 441.00K
Apr 06, 1999, 105.41, 100.61, 106.72, 100.61, 861.00K
Apr 05, 1999, 106.25, 106.39, 110.95, 105.45, 922.50K
Apr 01, 1999, 112.79, 113.78, 113.82, 111.99, 688.50K
Mar 31, 1999, 113.45, 117.44, 117.44, 111.89, 1.47M
Mar 30, 1999, 116.97, 110.95, 116.97, 110.95, 1.72M
Mar 26, 1999, 115.47, 117.72, 117.72, 111.89, 808.50K
Mar 25, 1999, 118.71, 122.14, 122.14, 117.54, 424.50K
Mar 24, 1999, 119.04, 127.41, 128.11, 116.22, 1.74M
Mar 23, 1999, 124.40, 122.28, 127.41, 121.77, 2.89M
Mar 22, 1999, 124.31, 115.19, 124.31, 115.09, 2.86M
Mar 20, 1999, 115.09, 114.67, 115.37, 112.84, 141.00K
Mar 19, 1999, 114.25, 118.48, 119.42, 112.74, 1.51M
Mar 18, 1999, 120.83, 113.68, 121.67, 112.84, 1.46M
Mar 17, 1999, 112.65, 112.84, 115.00, 111.89, 901.50K
Mar 16, 1999, 109.12, 115.42, 116.60, 108.18, 2.12M
Mar 15, 1999, 114.95, 115.66, 117.07, 114.72, 1.07M
Mar 12, 1999, 115.56, 115.66, 117.02, 113.78, 1.07M
Mar 11, 1999, 115.19, 124.64, 126.00, 114.95, 934.50K
Mar 10, 1999, 124.12, 132.39, 132.39, 120.08, 3.37M
Mar 09, 1999, 124.54, 116.60, 124.54, 115.23, 1.53M
Mar 08, 1999, 115.28, 113.78, 117.44, 111.89, 1.48M
Mar 05, 1999, 112.55, 112.60, 115.19, 111.89, 792.00K
Mar 04, 1999, 114.39, 118.01, 118.01, 113.31, 382.50K
Mar 03, 1999, 117.30, 117.35, 121.20, 113.92, 1.91M
Mar 01, 1999, 112.88, 111.52, 115.56, 110.20, 1.43M
Feb 27, 1999, 114.25, 110.01, 114.72, 108.65, 933.00K
Feb 26, 1999, 110.58, 112.88, 113.21, 107.19, 1.20M
Feb 25, 1999, 113.73, 115.66, 116.41, 113.31, 399.00K
Feb 24, 1999, 116.55, 114.76, 116.60, 113.92, 613.50K
Feb 23, 1999, 113.07, 113.31, 116.46, 112.08, 2.21M
Feb 22, 1999, 115.00, 120.78, 122.10, 114.95, 975.00K
Feb 19, 1999, 118.52, 124.59, 125.06, 118.48, 949.50K
Feb 18, 1999, 122.24, 122.00, 127.74, 118.95, 2.87M
Feb 17, 1999, 120.36, 117.54, 122.14, 114.90, 1.26M
Feb 16, 1999, 116.13, 113.73, 117.44, 112.08, 1.58M
Feb 15, 1999, 113.59, 116.60, 118.01, 112.93, 1.12M
Feb 12, 1999, 115.66, 118.48, 119.13, 115.66, 1.03M
Feb 11, 1999, 118.85, 121.30, 123.13, 118.15, 1.22M
Feb 10, 1999, 119.89, 117.21, 120.36, 113.82, 1.45M
Feb 09, 1999, 114.10, 107.48, 114.72, 107.48, 1.87M
Feb 08, 1999, 110.63, 119.42, 120.12, 110.63, 1.23M
Feb 05, 1999, 118.57, 125.53, 126.94, 117.54, 1.79M
Feb 04, 1999, 124.12, 125.11, 128.35, 122.47, 879.00K
Feb 03, 1999, 126.19, 124.12, 126.80, 123.18, 1.35M
Feb 02, 1999, 120.36, 125.11, 127.88, 119.93, 3.30M
Feb 01, 1999, 125.06, 130.70, 134.46, 125.06, 3.40M
Jan 29, 1999, 130.47, 130.94, 133.52, 126.94, 2.40M
Jan 28, 1999, 132.58, 140.01, 140.01, 130.70, 2.55M
Jan 27, 1999, 141.04, 148.57, 150.45, 141.04, 5.21M
Jan 25, 1999, 145.51, 135.68, 145.51, 131.64, 4.81M
Jan 22, 1999, 134.70, 132.49, 137.24, 130.70, 4.06M
Jan 21, 1999, 130.28, 122.99, 130.28, 121.81, 2.10M
Jan 19, 1999, 120.59, 126.85, 127.64, 119.93, 2.20M
Jan 18, 1999, 126.66, 120.36, 126.66, 118.05, 1.73M
Jan 15, 1999, 120.83, 130.47, 132.49, 120.36, 1.69M
Jan 14, 1999, 129.06, 127.93, 132.02, 127.50, 1.69M
Jan 13, 1999, 133.05, 136.34, 138.69, 132.58, 2.18M
Jan 12, 1999, 131.78, 133.29, 135.87, 129.76, 2.87M
Jan 11, 1999, 135.54, 135.03, 141.04, 132.68, 5.24M
Jan 08, 1999, 132.02, 127.64, 133.05, 125.06, 4.73M
Jan 07, 1999, 125.06, 124.59, 128.73, 122.47, 2.85M
Jan 06, 1999, 123.65, 128.58, 128.82, 121.53, 2.40M
Jan 05, 1999, 123.65, 125.01, 125.43, 122.43, 1.98M
Jan 04, 1999, 124.26, 125.34, 126.94, 124.26, 2.40M
Jan 01, 1999, 124.21, 124.12, 125.81, 121.81, 1.69M
Dec 31, 1998, 122.47, 128.82, 129.57, 121.30, 3.82M
