date, close, open, high, low, volume
Apr 13, 2009, 533.85, 529.40, 543.00, 529.40, 31.87K
Apr 09, 2009, 529.40, 532.00, 549.90, 523.00, 22.24K
Apr 08, 2009, 542.25, 530.00, 545.90, 516.05, 27.76K
Apr 06, 2009, 537.95, 555.00, 567.00, 532.00, 34.99K
Apr 02, 2009, 549.15, 550.00, 555.00, 537.05, 107.29K
Apr 01, 2009, 535.20, 555.00, 555.00, 527.10, 45.08K
Mar 31, 2009, 551.35, 520.10, 562.45, 520.00, 116.13K
Mar 30, 2009, 530.95, 526.00, 544.50, 513.40, 100.14K
Mar 27, 2009, 529.20, 520.00, 538.00, 516.10, 70.67K
Mar 26, 2009, 519.95, 513.00, 525.00, 507.00, 235.11K
Mar 25, 2009, 512.75, 517.50, 534.85, 496.00, 63.74K
Mar 24, 2009, 512.45, 523.90, 540.00, 488.00, 73.87K
Mar 23, 2009, 509.85, 480.00, 523.80, 472.15, 72.81K
Mar 20, 2009, 471.65, 482.95, 482.95, 457.10, 53.04K
Mar 19, 2009, 473.10, 473.80, 480.00, 456.00, 23.69K
Mar 18, 2009, 464.25, 488.00, 488.00, 462.00, 18.33K
Mar 17, 2009, 478.40, 494.90, 494.90, 468.00, 143.57K
Mar 16, 2009, 482.50, 452.00, 487.00, 452.00, 34.67K
Mar 13, 2009, 471.00, 465.00, 474.00, 456.30, 50.78K
Mar 12, 2009, 454.60, 479.45, 479.45, 449.10, 64.00K
Mar 09, 2009, 467.55, 520.00, 520.00, 463.00, 80.50K
Mar 06, 2009, 497.50, 520.00, 520.00, 466.00, 101.68K
Mar 05, 2009, 477.40, 499.00, 499.00, 470.50, 104.11K
Mar 04, 2009, 475.30, 471.00, 487.00, 443.50, 138.98K
Mar 03, 2009, 457.95, 480.00, 480.00, 443.05, 51.77K
Mar 02, 2009, 452.05, 456.00, 463.90, 450.15, 73.13K
Feb 27, 2009, 470.10, 477.00, 488.00, 455.00, 148.24K
Feb 26, 2009, 476.00, 458.00, 483.00, 440.10, 580.16K
Feb 25, 2009, 440.65, 439.00, 449.80, 427.10, 63.50K
Feb 24, 2009, 424.15, 408.00, 429.70, 408.00, 43.71K
Feb 20, 2009, 416.95, 415.00, 421.50, 410.05, 20.49K
Feb 19, 2009, 419.15, 422.50, 426.95, 407.70, 33.58K
Feb 18, 2009, 420.20, 384.25, 429.00, 384.25, 45.04K
Feb 17, 2009, 409.85, 419.00, 422.95, 405.25, 51.76K
Feb 16, 2009, 422.35, 420.70, 436.90, 417.50, 37.87K
Feb 13, 2009, 420.70, 419.75, 427.95, 413.10, 42.31K
Feb 12, 2009, 412.05, 423.00, 423.00, 409.00, 39.81K
