date, close, open, high, low, volume
Apr 25, 1996, 1.57, 1.58, 1.58, 1.57, 90.00K
Apr 24, 1996, 1.55, 1.53, 1.55, 1.53, 60.00K
Apr 23, 1996, 1.44, 1.41, 1.44, 1.41, 45.00K
Apr 18, 1996, 1.33, 1.32, 1.33, 1.32, 60.00K
Apr 17, 1996, 1.29, 1.29, 1.29, 1.29, 15.00K
Apr 16, 1996, 1.28, 1.29, 1.29, 1.28, 45.00K
Apr 15, 1996, 1.29, 1.29, 1.29, 1.29, 120.00K
Apr 12, 1996, 1.29, 1.29, 1.29, 1.29, 150.00K
Apr 11, 1996, 1.29, 1.29, 1.29, 1.29, 135.00K
Apr 10, 1996, 1.32, 1.32, 1.32, 1.32, 15.00K
Apr 09, 1996, 1.29, 1.29, 1.29, 1.29, 15.00K
Apr 08, 1996, 1.29, 1.29, 1.29, 1.29, 15.00K
Apr 04, 1996, 1.29, 1.29, 1.29, 1.29, 15.00K
Apr 03, 1996, 1.29, 1.29, 1.29, 1.29, 300.00K
Apr 02, 1996, 1.30, 1.29, 1.30, 1.27, 45.00K
Apr 01, 1996, 1.29, 1.29, 1.29, 1.29, 30.00K
Mar 29, 1996, 1.29, 1.29, 1.29, 1.29, 15.00K
Mar 27, 1996, 1.32, 1.32, 1.32, 1.32, 15.00K
Mar 26, 1996, 1.30, 1.29, 1.30, 1.29, 30.00K
Mar 19, 1996, 1.29, 1.32, 1.32, 1.29, 45.00K
Mar 18, 1996, 1.29, 1.27, 1.29, 1.27, 45.00K
Mar 15, 1996, 1.25, 1.26, 1.26, 1.25, 45.00K
Mar 13, 1996, 1.23, 1.23, 1.23, 1.23, 300.00K
Mar 12, 1996, 1.32, 1.32, 1.32, 1.32, 15.00K
Mar 08, 1996, 1.31, 1.30, 1.32, 1.30, 30.00K
Mar 04, 1996, 1.32, 1.29, 1.32, 1.29, 30.00K
Mar 01, 1996, 1.32, 1.32, 1.32, 1.32, 15.00K
Feb 28, 1996, 1.32, 1.29, 1.32, 1.29, 60.00K
Feb 27, 1996, 1.27, 1.29, 1.29, 1.27, 30.00K
Feb 26, 1996, 1.32, 1.32, 1.32, 1.32, 15.00K
Feb 16, 1996, 1.32, 1.32, 1.32, 1.32, 45.00K
Feb 12, 1996, 1.26, 1.26, 1.26, 1.26, 30.00K
Feb 06, 1996, 1.23, 1.23, 1.23, 1.23, 60.00K
Feb 02, 1996, 1.26, 1.24, 1.26, 1.24, 30.00K
Jan 30, 1996, 1.22, 1.23, 1.23, 1.17, 90.00K
Jan 29, 1996, 1.23, 1.22, 1.23, 1.22, 330.00K
Jan 25, 1996, 1.23, 1.23, 1.23, 1.22, 465.00K
Jan 24, 1996, 1.23, 1.23, 1.23, 1.23, 30.00K
Jan 23, 1996, 1.23, 1.23, 1.23, 1.23, 60.00K
Jan 22, 1996, 1.25, 1.21, 1.25, 1.21, 75.00K
Jan 19, 1996, 1.23, 1.24, 1.24, 1.23, 30.00K
Jan 18, 1996, 1.25, 1.25, 1.25, 1.25, 15.00K
Jan 16, 1996, 1.23, 1.23, 1.23, 1.23, 15.00K
Jan 12, 1996, 1.26, 1.26, 1.26, 1.26, 15.00K
Jan 11, 1996, 1.26, 1.26, 1.27, 1.25, 60.00K
Jan 10, 1996, 1.26, 1.26, 1.26, 1.26, 45.00K
Jan 09, 1996, 1.26, 1.27, 1.27, 1.26, 30.00K
Jan 04, 1996, 1.26, 1.26, 1.26, 1.26, 90.00K
Jan 03, 1996, 1.26, 1.26, 1.26, 1.26, 15.00K
Jan 02, 1996, 1.22, 1.22, 1.22, 1.22, 30.00K
Jan 01, 1996, 1.32, 1.32, 1.32, 1.32, 15.00K
Dec 27, 1995, 1.26, 1.26, 1.26, 1.26, 180.00K
Dec 22, 1995, 1.24, 1.24, 1.24, 1.24, 270.00K
Dec 21, 1995, 1.25, 1.19, 1.25, 1.19, 60.00K
Dec 18, 1995, 1.24, 1.24, 1.24, 1.24, 60.00K
Dec 15, 1995, 1.26, 1.26, 1.26, 1.26, 15.00K
Dec 08, 1995, 1.27, 1.27, 1.27, 1.27, 15.00K
Dec 07, 1995, 1.26, 1.29, 1.29, 1.26, 45.00K
Dec 06, 1995, 1.29, 1.29, 1.29, 1.29, 30.00K
Dec 01, 1995, 1.24, 1.24, 1.24, 1.24, 15.00K
Nov 29, 1995, 1.23, 1.23, 1.23, 1.23, 15.00K
Nov 28, 1995, 1.20, 1.20, 1.20, 1.20, 30.00K
Nov 27, 1995, 1.20, 1.20, 1.20, 1.20, 30.00K
Nov 24, 1995, 1.20, 1.20, 1.20, 1.20, 15.00K
Nov 23, 1995, 1.24, 1.24, 1.24, 1.23, 300.00K
Nov 22, 1995, 1.26, 1.26, 1.26, 1.26, 165.00K
Nov 21, 1995, 1.27, 1.26, 1.27, 1.26, 60.00K
Nov 20, 1995, 1.26, 1.27, 1.27, 1.26, 45.00K
Nov 17, 1995, 1.26, 1.26, 1.26, 1.26, 30.00K
Nov 15, 1995, 1.26, 1.26, 1.26, 1.26, 75.00K
Nov 14, 1995, 1.20, 1.26, 1.26, 1.20, 75.00K
Nov 13, 1995, 1.23, 1.23, 1.23, 1.23, 60.00K
Nov 10, 1995, 1.29, 1.27, 1.29, 1.27, 30.00K
