date, close, open, high, low, volume
Feb 13, 1998, 4.36, 4.35, 4.37, 4.35, 95.00K
Feb 11, 1998, 4.35, 4.36, 4.38, 4.35, 175.00K
Feb 10, 1998, 4.35, 4.35, 4.37, 4.35, 560.00K
Feb 09, 1998, 4.35, 4.32, 4.37, 4.31, 130.00K
Feb 06, 1998, 4.39, 4.35, 4.39, 4.35, 240.00K
Feb 05, 1998, 4.35, 4.35, 4.37, 4.35, 175.00K
Feb 04, 1998, 4.35, 4.35, 4.39, 4.35, 150.00K
Feb 03, 1998, 4.35, 4.32, 4.37, 4.32, 1.10M
Feb 02, 1998, 4.35, 4.35, 4.36, 4.31, 75.00K
Jan 30, 1998, 4.38, 4.28, 4.38, 4.25, 285.00K
Jan 29, 1998, 4.33, 4.27, 4.35, 4.26, 370.00K
Jan 28, 1998, 4.35, 4.31, 4.39, 4.24, 1.83M
Jan 27, 1998, 4.34, 4.27, 4.38, 4.24, 1.82M
Jan 23, 1998, 4.28, 4.26, 4.31, 4.26, 175.00K
Jan 22, 1998, 4.26, 4.32, 4.32, 4.26, 65.00K
Jan 21, 1998, 4.31, 4.28, 4.31, 4.26, 190.00K
Jan 20, 1998, 4.33, 4.31, 4.37, 4.24, 495.00K
Jan 19, 1998, 4.43, 4.31, 4.44, 4.26, 1.76M
Jan 16, 1998, 4.33, 4.32, 4.33, 4.28, 45.00K
Jan 15, 1998, 4.31, 4.31, 4.33, 4.25, 195.00K
Jan 14, 1998, 4.29, 4.31, 4.31, 4.24, 125.00K
Jan 13, 1998, 4.27, 4.28, 4.31, 4.23, 385.00K
Jan 12, 1998, 4.28, 4.31, 4.33, 4.17, 685.00K
Jan 09, 1998, 4.36, 4.38, 4.38, 4.22, 325.00K
Jan 08, 1998, 4.43, 4.37, 4.48, 4.36, 955.00K
Jan 07, 1998, 4.42, 4.31, 4.44, 4.28, 1.02M
Jan 06, 1998, 4.28, 4.17, 4.33, 4.17, 560.00K
Jan 05, 1998, 4.31, 4.18, 4.31, 4.17, 570.00K
Jan 02, 1998, 4.18, 4.11, 4.21, 4.11, 215.00K
Jan 01, 1998, 4.11, 4.19, 4.19, 4.01, 285.00K
Dec 31, 1997, 4.22, 4.26, 4.26, 4.15, 345.00K
Dec 30, 1997, 4.18, 4.22, 4.26, 4.17, 250.00K
Dec 29, 1997, 4.27, 4.14, 4.27, 4.14, 120.00K
Dec 26, 1997, 4.31, 4.32, 4.32, 4.31, 70.00K
Dec 24, 1997, 4.36, 4.28, 4.37, 4.28, 110.00K
Dec 23, 1997, 4.35, 4.41, 4.41, 4.31, 145.00K
Dec 22, 1997, 4.37, 4.39, 4.39, 4.36, 75.00K
Dec 19, 1997, 4.39, 4.39, 4.39, 4.38, 90.00K
Dec 18, 1997, 4.39, 4.35, 4.42, 4.35, 140.00K
Dec 17, 1997, 4.41, 4.13, 4.44, 4.13, 185.00K
Dec 16, 1997, 4.27, 4.23, 4.35, 4.22, 350.00K
Dec 15, 1997, 4.20, 4.18, 4.22, 4.14, 150.00K
Dec 12, 1997, 4.20, 4.24, 4.26, 4.20, 105.00K
Dec 11, 1997, 4.25, 4.32, 4.38, 4.14, 545.00K
Dec 10, 1997, 4.36, 4.11, 4.36, 4.06, 590.00K
Dec 09, 1997, 4.15, 4.10, 4.20, 4.09, 645.00K
Dec 08, 1997, 4.26, 4.26, 4.37, 4.26, 165.00K
Dec 05, 1997, 4.48, 4.70, 4.70, 4.48, 425.00K
Dec 04, 1997, 4.71, 4.66, 4.79, 4.61, 1.96M
Dec 03, 1997, 4.57, 4.57, 4.57, 4.57, 10.00K
