date, close, open, high, low, volume
Sep 03, 1999, 45.69, 46.22, 46.58, 45.52, 199.00K
Sep 02, 1999, 46.35, 46.71, 46.97, 45.57, 115.50K
Sep 01, 1999, 47.16, 47.89, 48.11, 46.97, 212.90K
Aug 31, 1999, 47.18, 47.32, 47.32, 46.09, 487.30K
Aug 30, 1999, 46.97, 47.45, 48.33, 46.80, 357.50K
Aug 27, 1999, 47.09, 47.02, 47.45, 46.22, 272.80K
Aug 26, 1999, 46.65, 45.70, 46.80, 45.70, 293.20K
Aug 25, 1999, 45.58, 45.70, 46.14, 45.26, 251.10K
Aug 24, 1999, 45.07, 45.70, 45.74, 44.69, 634.80K
Aug 23, 1999, 45.20, 45.69, 46.58, 44.82, 308.40K
Aug 20, 1999, 44.89, 45.60, 45.60, 44.38, 275.00K
Aug 19, 1999, 45.40, 46.14, 46.14, 45.26, 197.50K
Aug 18, 1999, 45.60, 45.26, 46.31, 45.06, 654.50K
Aug 17, 1999, 44.03, 43.94, 44.62, 43.59, 808.10K
Aug 16, 1999, 44.18, 44.38, 45.26, 43.85, 549.10K
Aug 13, 1999, 42.38, 44.81, 44.82, 42.01, 650.80K
Aug 12, 1999, 44.78, 45.17, 45.17, 44.38, 496.80K
Aug 11, 1999, 44.44, 43.76, 45.26, 41.83, 765.20K
Aug 10, 1999, 43.57, 46.22, 46.31, 42.93, 904.20K
Aug 09, 1999, 46.65, 46.22, 46.84, 46.22, 366.00K
Aug 06, 1999, 46.45, 46.13, 46.58, 45.27, 492.10K
Aug 05, 1999, 45.81, 46.58, 47.45, 45.53, 381.90K
Aug 04, 1999, 47.25, 47.02, 47.85, 46.58, 790.70K
Aug 03, 1999, 45.90, 45.70, 46.49, 45.35, 1.84M
Aug 02, 1999, 45.69, 44.82, 46.14, 44.48, 1.15M
Jul 30, 1999, 45.04, 45.70, 46.94, 44.05, 1.21M
Jul 29, 1999, 45.54, 44.99, 47.01, 43.20, 2.53M
Jul 28, 1999, 43.72, 41.65, 43.75, 41.30, 1.39M
Jul 27, 1999, 40.51, 41.30, 41.35, 39.78, 588.10K
Jul 26, 1999, 40.55, 39.18, 41.51, 39.15, 686.10K
Jul 23, 1999, 39.05, 39.55, 39.55, 38.84, 449.90K
Jul 22, 1999, 39.27, 39.55, 39.98, 39.11, 415.70K
Jul 21, 1999, 39.67, 38.75, 40.60, 37.61, 774.50K
Jul 20, 1999, 38.09, 37.92, 39.06, 37.61, 824.10K
Jul 19, 1999, 39.61, 36.82, 39.61, 36.82, 1.07M
Jul 16, 1999, 36.67, 36.90, 37.08, 36.34, 268.20K
Jul 15, 1999, 36.52, 37.54, 38.30, 36.40, 671.70K
Jul 14, 1999, 37.12, 36.56, 37.52, 36.38, 587.60K
Jul 13, 1999, 36.81, 36.91, 37.00, 36.61, 289.30K
Jul 12, 1999, 36.86, 36.82, 36.91, 36.24, 534.90K
Jul 09, 1999, 36.19, 36.47, 36.58, 36.03, 127.20K
Jul 08, 1999, 36.15, 36.35, 36.38, 36.14, 133.30K
Jul 07, 1999, 36.66, 36.56, 36.82, 36.54, 334.40K
Jul 06, 1999, 36.47, 36.22, 36.55, 36.22, 258.00K
Jul 05, 1999, 36.23, 35.94, 36.38, 35.94, 225.30K
Jul 02, 1999, 35.75, 36.21, 36.32, 35.59, 495.30K
Jul 01, 1999, 36.15, 36.43, 36.61, 36.12, 193.40K
